,Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 14
0,2014,1,1/6/14,7:01 AM,1/7/14,9:00 AM,"25 Hours, 59 Minutes",ERCOT,TRE,"Texas,nan","Weather - Cold,Public Appeal due to Severe",,,
1,2014,1,1/6/14,7:50 PM,1/6/14,8:44 PM,"0 Hours, 54 Minutes",PPL Electric Utilities Corp,RFC,"Pennsylvania,nan","Severe Weather - Cold,Voltage Reduction due to",Unknown,Unknown,
2,2014,1,1/6/14,7:50 PM,1/6/14,8:44 PM,"0 Hours, 54 Minutes",PJM Interconnection,RFC,"Unknown,nan","Severe Weather - Cold,Voltage Reduction due to",Unknown,Unknown,
3,2014,1,1/6/14,7:50 PM,1/6/14,8:44 PM,"0 Hours, 54 Minutes",Potomac Electric Power Co,RFC,"District of Columbia,nan","Severe Weather - Cold,Voltage Reduction due to",Unknown,Unknown,
4,2014,1,1/6/14,7:50 PM,1/6/14,8:49 PM,"0 Hours, 59 Minutes","UGI Utilities, Inc",RFC,"Pennsylvania,nan","Severe Weather - Cold,Voltage Reduction due to",200,62000,
5,2014,1,1/6/14,7:52 PM,1/6/14,8:45 PM,"0 Hours, 53 Minutes",Delmarva Power & Light Company,RFC,"Delaware,nan","Severe Weather - Cold,Voltage Reduction due to",Unknown,Unknown,
6,2014,1,1/6/14,8:45 PM,1/7/14,9:00 PM,"24 Hours, 15 Minutes",PJM Interconnection,RFC,"Unknown,nan","Weather - Cold,Public Appeal due to Severe",Unknown,Unknown,
7,2014,1,1/6/14 22:00,,1/6/14 22:01,,"0 Hours,1 Minutes",Louisville Gas & Electric Co,RFC,"Kentucky,nan","Weather - Cold,Public Appeal due to Severe",Unknown,Unknown,
8,2014,1,1/7/14,6:00 AM,1/7/14,8:30 AM,"2 Hours, 30 Minutes",Memphis Light Gas and Water Division,SERC,"Tennessee,nan","Weather - Cold,Public Appeal due to Severe",Unknown,Unknown,
9,2014,1,1/7/14,6:00 AM,1/7/14,8:30 AM,"2 Hours, 30 Minutes",Tennessee Valley Authority,SERC,"Northeast Tennessee,nan","Weather - Cold,Public Appeal due to Severe",Unknown,Unknown,
10,2014,1,1/7/14,7:58 AM,1/7/14 11:00,,"3 Hours,2 Minutes",Duke Energy Progress,SERC,"North Carolina,nan,nan","Cold,Appeal due to Severe Weather -,Voltage Reduction; Public",14435,Unknown,
11,2014,1,1/7/14,9:30 AM,1/8/14,9:30 AM,"24 Hours,0 Minutes",Duke Energy Carolinas,SERC,"Piedmont South Carolina,Piedmont North Carolina,","Severe Weather - Cold,Fuel Supply Emergency due to",Unknown,Unknown,
12,2014,1,1/7/14 10:59,,1/9/14,9:00 AM,"46 Hours,1 Minutes","Prairie Power, Inc.",RFC,"Illinois,nan","Natural Gas,Fuel Supply Emergency -",,,
13,2014,1,1/7/14,4:15 PM,1/8/14,1:20 PM,"21 Hours,5 Minutes",Duke Energy Progress,SERC,"North Carolina,nan","Weather - Cold,Public Appeal due to Severe",Unknown,Unknown,
14,2014,1,1/7/14,6:00 PM,1/7/14 23:00,,"5 Hours,0 Minutes",South Carolina Electric and Gas,SERC,"South Carolina,nan,nan","due to Severe Weather - Cold,Appeal; Load Shed 100+MW,Voltage Reduction; Public",4853,677858,
15,2014,1,1/7/14,9:00 PM,1/8/14,9:00 AM,"12 Hours,0 Minutes",PJM Interconnection,RFC,"Unknown,nan","Weather - Cold,Public Appeal due to Severe",Unknown,Unknown,
