Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Unnamed: 7,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,
,,,,,,,,,,,Public Appeal due to Severe,,,
2014,1,1/6/14,7:01 AM,1/7/14,9:00 AM,"25 Hours, 59 Minutes",,ERCOT,TRE,Texas,Weather - Cold,N/A,N/A,
,,,,,,,,,,,Voltage Reduction due to,,,
2014,1,1/6/14,7:50 PM,1/6/14,8:44 PM,"0 Hours, 54 Minutes",,PPL Electric Utilities Corp,RFC,Pennsylvania,Severe Weather - Cold,Unknown,Unknown,
,,,,,,,,,,,Voltage Reduction due to,,,
2014,1,1/6/14,7:50 PM,1/6/14,8:44 PM,"0 Hours, 54 Minutes",,PJM Interconnection,RFC,Unknown,Severe Weather - Cold,Unknown,Unknown,
,,,,,,,,,,,Voltage Reduction due to,,,
2014,1,1/6/14,7:50 PM,1/6/14,8:44 PM,"0 Hours, 54 Minutes",,Potomac Electric Power Co,RFC,District of Columbia,Severe Weather - Cold,Unknown,Unknown,
,,,,,,,,,,,Voltage Reduction due to,,,
2014,1,1/6/14,7:50 PM,1/6/14,8:49 PM,"0 Hours, 59 Minutes",,"UGI Utilities, Inc",RFC,Pennsylvania,Severe Weather - Cold,200,62000,
,,,,,,,,,,,Voltage Reduction due to,,,
2014,1,1/6/14,7:52 PM,1/6/14,8:45 PM,"0 Hours, 53 Minutes",,Delmarva Power & Light Company,RFC,Delaware,Severe Weather - Cold,Unknown,Unknown,
,,,,,,,,,,,Public Appeal due to Severe,,,
2014,1,1/6/14,8:45 PM,1/7/14,9:00 PM,"24 Hours, 15 Minutes",,PJM Interconnection,RFC,Unknown,Weather - Cold,Unknown,Unknown,
,,,,,,,,,,,Public Appeal due to Severe,,,
2014,1,1/6/14 22:00,,1/6/14 22:01,,"0 Hours,",1 Minutes,Louisville Gas & Electric Co,RFC,Kentucky,Weather - Cold,Unknown,Unknown,
,,,,,,,,,,,Public Appeal due to Severe,,,
2014,1,1/7/14,6:00 AM,1/7/14,8:30 AM,"2 Hours, 30 Minutes",,Memphis Light Gas and Water Division,SERC,Tennessee,Weather - Cold,Unknown,Unknown,
,,,,,,,,,,,Public Appeal due to Severe,,,
2014,1,1/7/14,6:00 AM,1/7/14,8:30 AM,"2 Hours, 30 Minutes",,Tennessee Valley Authority,SERC,Northeast Tennessee,Weather - Cold,Unknown,Unknown,
,,,,,,,,,,,Voltage Reduction; Public,,,
,,,,,,,,,,,Appeal due to Severe Weather -,,,
2014,1,1/7/14,7:58 AM,1/7/14 11:00,,"3 Hours,",2 Minutes,Duke Energy Progress,SERC,North Carolina,Cold,14435,Unknown,
,,,,,,,,,,"Piedmont North Carolina,",Fuel Supply Emergency due to,,,
2014,1,1/7/14,9:30 AM,1/8/14,9:30 AM,"24 Hours,",0 Minutes,Duke Energy Carolinas,SERC,Piedmont South Carolina,Severe Weather - Cold,Unknown,Unknown,
,,,,,,,,,,,Fuel Supply Emergency -,,,
