Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected
January,2014-01-06,19:50:00,2014-01-06,20:44:00,District of Columbia,RFC,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown
January,2014-01-06,19:50:00,2014-01-06,20:44:00,Unknown,RFC,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown
January,2014-01-06,19:52:00,2014-01-06,20:45:00,Delaware,RFC,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown
January,2014-01-06,20:45:00,2014-01-07,21:00:00,Unknown,RFC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
January,2014-01-06,19:50:00,2014-01-06,20:49:00,Pennsylvania,RFC,Voltage Reduction due to Severe Weather - Cold,200,62000
January,2014-01-06,19:50:00,2014-01-06,20:44:00,Pennsylvania,RFC,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown
January,2014-01-06,14:37:00,2014-01-06,14:38:00,Utah,RFC,Vandalism,,
January,2014-01-06,22:00:00,2014-01-06,22:01:00,Kentucky,RFC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
January,2014-01-06,07:01:00,2014-01-07,09:00:00,Texas,TRE,Public Appeal due to Severe Weather - Cold,,
January,2014-01-07,21:00:00,2014-01-08,09:00:00,Unknown,RFC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
January,2014-01-07,06:18:00,2014-01-07,06:19:00,Pennsylvania,RFC,Severe Weather - Cold,Unknown,Unknown
January,2014-01-07,07:58:00,2014-01-07,11:00:00,North Carolina,SERC,Voltage Reduction; Public Appeal due to Severe Weather - Cold,14435,Unknown
January,2014-01-07,16:15:00,2014-01-08,13:20:00,North Carolina,SERC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
January,2014-01-07,06:00:00,2014-01-07,08:30:00,Northeast Tennessee,SERC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
January,2014-01-07,06:00:00,2014-01-07,08:30:00,Tennessee,SERC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
January,2014-01-07,18:00:00,2014-01-07,23:00:00,South Carolina,SERC,Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,4853,677858
January,2014-01-07,10:59:00,2014-01-09,09:00:00,Illinois,RFC,Fuel Supply Emergency - Natural Gas,,
January,2014-01-07,09:30:00,2014-01-08,09:30:00,"Piedmont North Carolina, Piedmont South Carolina",SERC,Fuel Supply Emergency due to Severe Weather - Cold,Unknown,Unknown
January,2014-01-08,05:00:00,2014-01-08,06:30:00,Unknown,RFC,Voltage Reduction due to Severe Weather - Cold,576,Unknown
January,2014-01-08,06:00:00,2014-01-08,09:00:00,South Carolina,SERC,Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,4545,677858
January,2014-01-13,16:44:00,2014-01-13,16:45:00,Arizona,WECC,Physical Attack - Vandalism,,
January,2014-01-15,14:32:00,2014-01-15,14:45:00,Utah,WECC,Physical Attack - Vandalism,Unknown,Unknown
January,2014-01-16,12:30:00,2014-01-16,13:57:00,Arizona,WECC,Physical Attack - Vandalism,,
January,2014-01-17,12:20:00,2014-01-17,12:20:00,Ohio,RFC,Suspected Physical Attack,Unknown,Unknown
January,2014-01-17,10:30:00,2014-01-28,09:00:00,Illinois,RFC,Fuel Supply Emergency - Natural Gas,Unknown,Unknown
January,2014-01-18,17:39:00,Unknown,Unknown,Unknown,RFC,Electrical System Islanding,Unknown,Unknown
January,2014-01-18,09:00:00,2014-01-18,09:45:00,Texas,TRE,Public Appeal to Reduce Electricity Usage,Unknown,Unknown
January,2014-01-21,17:00:00,Unknown,Unknown,New Jersey,RFC,Physical Attack - Vandalism,Unknown,Unknown
January,2014-01-21,12:14:00,2014-01-21,12:39:00,Missouri,SERC,Physical Attack - Vandalism,10,Unknown
January,2014-01-22,13:55:00,2014-01-22,14:55:00,Wisconsin,MRO,Physical Attack - Vandalism,Unknown,Unknown
