,Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 14
0,2015,1,01/07/2015,5:00 PM,01/08/2015,8:35 AM,"15 Hours, 35 Minutes",Memphis Light Gas and Water Division,SERC,Tennessee,Public appeal to reduce the use of electricity - Severe Weather - Winter,Unknown,Unknown,
1,2015,1,01/07/2015,5:00 PM,01/08/2015,8:35 AM,"15 Hours, 35 Minutes",Tennessee Valley Authority,SERC,"Tennessee, Kentucky, Virginia, North Carolina, Georgia, Alabama, Missouri",Public appeal to reduce the use of electricity - Severe Weather - Winter,Unknown,Unknown,
2,2015,2,02/06/2015,8:58 PM,,.,".. Hours,",. Minutes,Pacific Gas & Electric Co,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather - Northern California",Wind,Unknown,65000
3,2015,2,02/16/2015,9:00 PM,02/18/2015,2:00 PM,"41 Hours,0 Minutes",Tennessee Valley Authority,SERC,"Tennessee, Kentucky, Virginia, North Carolina, Georgia, Alabama, Missouri","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather- Winter",Unknown,67189,
4,2015,2,02/16/2015,9:41 PM,02/18/2015,7:00 AM,"33 Hours, 19 Minutes",Southern Company,SERC,"Northern/North Eastern, Georgia","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather- Winter",620,186035,
5,2015,2,02/17/2015,2:12 AM,02/18/2015,4:00 PM,"37 Hours, 48 Minutes",Duke Energy Carolinas,SERC,"North Carolina, South Carolina","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather- Winter",Unknown,68000,
6,2015,2,02/17/2015,9:00 AM,02/18/2015 11:00 PM,,"38 Hours,0 Minutes",Duke Energy Progress,SERC,"North Carolina, South Carolina","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather- Winter",Unknown,52000,
7,2015,2,02/18/2015,3:00 PM,02/20/2015,9:00 AM,"42 Hours,0 Minutes",Tennessee Valley Authority,SERC,"Tennessee, Kentucky, Virginia, North Carolina, Georgia, Alabama, Missouri",Public appeal to reduce the use of electricity - Severe Weather- Winter,Unknown,Unknown,
8,2015,2,02/20/2015,6:00 AM,02/20/2015 10:00 AM,,"4 Hours,0 Minutes",Duke Energy Progress,SERC,"North Carolina, South Carolina",System-wide voltage reductions of 3 percent or more - Severe Weather- Winter,Unknown,Unknown,
9,2015,2,02/21/2015,8:34 AM,02/21/2015 12:45 PM,,"4 Hours, 11 Minutes",Tennessee Valley Authority,SERC,"Fentress County, Tennessee","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather- Winter",Unknown,50000,
10,2015,2,02/26/2015,3:12 AM,02/26/2015,8:00 PM,"16 Hours, 48 Minutes",Duke Energy Progress,SERC,"North Carolina, South Carolina","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather- Winter",Unknown,124000,
11,2015,2,02/26/2015,3:30 AM,02/27/2015 12:00 PM,,"32 Hours, 30 Minutes",Duke Energy Carolinas,SERC,North Carolina,"Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather- Winter",400,103776,
12,2015,3,03/15/2015,3:30 PM,03/15/2015,7:00 PM,"3 Hours, 30 Minutes",Portland General Electric Co,WECC,"Greater Portland & Salem , Oregon","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather - Wind",210,71000,
13,2015,3,03/26/2015,3:21 PM,03/26/2015,4:59 PM,"1 Hours, 38 Minutes",Pacific Gas & Electric Co,WECC,"Contra Costa County, California",Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational - System Operations,15,Unknown,
14,2015,4,04/03/2015,2:00 AM,04/03/2015,7:48 AM,"5 Hours, 48 Minutes",Westar Energy Inc,SPP,"Harvey, Reno, and Sedgwick Counties, Kansas","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather - Thunderstorms",Unknown,70000,
15,2015,4,04/06/2015,8:12 AM,04/06/2015 12:08 PM,,"3 Hours, 56 Minutes",Pacific Gas & Electric Co,WECC,"Butte County, California","Loss of electric service to more than 50,000 customers for 1 hour or more - System Operations",Unknown,80000,
16,2015,4,04/07/2015 12:30 PM,,04/07/2015,5:34 PM,"5 Hours,4 Minutes",Potomac Electric Power Co,RFC,Unknown,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident - System Operations,Unknown,Unknown,
17,2015,4,04/07/2015,3:34 PM,04/07/2015,3:46 PM,"0 Hours, 12 Minutes",WAPA Sierra Nevada Region,WECC,California,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational - System Operations,0,0,
18,2015,4,04/17/2015,9:16 AM,04/17/2015 11:00 AM,,"1 Hours, 44 Minutes",Peak Reliability,WECC,Canada,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational - System Operations,9300,Unknown,
19,2015,4,04/17/2015,9:30 PM,04/19/2015 11:50 PM,,"50 Hours, 20 Minutes",CenterPoint Energy,TRE,"Houston, Texas","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,280982,
20,2015,4,04/18/2015,9:00 PM,04/21/2015,4:00 AM,"55 Hours,0 Minutes",Oncor Electric Delivery Company LLC,TRE,"Dallas, Fort Worth, Texas","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,89000,
21,2015,4,04/24/2015,7:10 PM,04/26/2015,4:00 PM,"44 Hours, 50 Minutes",Oncor Electric Delivery Company LLC,TRE,"Dallas, Fort Worth, Texas","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,57000,
22,2015,4,04/27/2015 10:30 AM,,04/28/2015,6:45 PM,"32 Hours, 15 Minutes","Entergy Services, Inc.",SERC,Louisiana and Texas,"Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,199000,
23,2015,5,05/18/2015,3:28 PM,05/18/2015,3:47 PM,"0 Hours, 19 Minutes",Peak Reliability for BCHA,WECC,Washington,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational - Severe Weather,275,0,
24,2015,5,05/25/2015,6:00 PM,05/29/2015,7:15 AM,"85 Hours, 15 Minutes",Oncor Electric Delivery Company LLC,TRE,North Texas,"Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,454000,
25,2015,5,05/25/2015,8:30 PM,,.,".. Hours,",. Minutes,"Southwest Power Pool, Inc.",SPP,"Loss of electric service to more than 50,000 customers for 1 Texas, Louisiana, Arkansas",hour or more - Severe Weather,Unknown,57351
26,2015,5,05/25/2015,8:30 PM,05/26/2015,6:30 PM,"22 Hours,0 Minutes",American Electric Power - (SPP Reliability Region),SPP,Texas,"Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,57531,
27,2015,5,05/25/2015 10:45 PM,,05/28/2015,1:25 AM,"50 Hours, 40 Minutes",CenterPoint Energy,TRE,"Fort Bend County, & Harris County ,Texas","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,61000,
28,2015,5,05/26/2015,5:30 AM,05/27/2015,7:00 PM,"37 Hours, 30 Minutes","Entergy Services, Inc.",SERC,"Texas, Louisiana, Arkansas, Mississippi","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,78515,
29,2015,6,06/01/2015,7:19 PM,06/02/2015,8:36 AM,"13 Hours, 17 Minutes",Pacific Gas & Electric Co,WECC,California,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational - System Operations,5,484,
