Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Unnamed: 7,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,
,,,,,,,,,,,Public appeal to reduce the use,,,
,,,,,,,,,,,of electricity - Severe Weather -,,,
2015,1,01/07/2015,5:00 PM,01/08/2015,8:35 AM,"15 Hours, 35 Minutes",,Memphis Light Gas and Water Division,SERC,Tennessee,Winter,Unknown,Unknown,
,,,,,,,,,,"Tennessee, Kentucky, Virginia,",Public appeal to reduce the use,,,
,,,,,,,,,,"North Carolina, Georgia,",of electricity - Severe Weather -,,,
2015,1,01/07/2015,5:00 PM,01/08/2015,8:35 AM,"15 Hours, 35 Minutes",,Tennessee Valley Authority,SERC,"Alabama, Missouri",Winter,Unknown,Unknown,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,,,hour or more - Severe Weather -,,,
2015,2,02/06/2015,8:58 PM,,.,.,". Hours,",. Minutes,Pacific Gas & Electric Co,WECC,Northern California,Wind,Unknown,65000
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,"Tennessee, Kentucky, Virginia,","than 50,000 customers for 1",,,
,,,,,,,,,,"North Carolina, Georgia,",hour or more - Severe Weather-,,,
2015,2,02/16/2015,9:00 PM,02/18/2015,2:00 PM,"41 Hours,",0 Minutes,Tennessee Valley Authority,SERC,"Alabama, Missouri",Winter,Unknown,67189,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,,"Northern/North Eastern,",hour or more - Severe Weather-,,,
2015,2,02/16/2015,9:41 PM,02/18/2015,7:00 AM,"33 Hours, 19 Minutes",,Southern Company,SERC,Georgia,Winter,620,186035,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,,,hour or more - Severe Weather-,,,
2015,2,02/17/2015,2:12 AM,02/18/2015,4:00 PM,"37 Hours, 48 Minutes",,Duke Energy Carolinas,SERC,"North Carolina, South Carolina",Winter,Unknown,68000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,,,hour or more - Severe Weather-,,,
2015,2,02/17/2015,9:00 AM,02/18/2015 11:00 PM,,"38 Hours,",0 Minutes,Duke Energy Progress,SERC,"North Carolina, South Carolina",Winter,Unknown,52000,
,,,,,,,,,,"Tennessee, Kentucky, Virginia,",Public appeal to reduce the use,,,
,,,,,,,,,,"North Carolina, Georgia,",of electricity - Severe Weather-,,,
2015,2,02/18/2015,3:00 PM,02/20/2015,9:00 AM,"42 Hours,",0 Minutes,Tennessee Valley Authority,SERC,"Alabama, Missouri",Winter,Unknown,Unknown,
,,,,,,,,,,,System-wide voltage reductions,,,
,,,,,,,,,,,of 3 percent or more - Severe,,,
2015,2,02/20/2015,6:00 AM,02/20/2015 10:00 AM,,"4 Hours,",0 Minutes,Duke Energy Progress,SERC,"North Carolina, South Carolina",Weather- Winter,Unknown,Unknown,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,,,hour or more - Severe Weather-,,,
2015,2,02/21/2015,8:34 AM,02/21/2015 12:45 PM,,"4 Hours, 11 Minutes",,Tennessee Valley Authority,SERC,"Fentress County, Tennessee",Winter,Unknown,50000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,,,hour or more - Severe Weather-,,,
2015,2,02/26/2015,3:12 AM,02/26/2015,8:00 PM,"16 Hours, 48 Minutes",,Duke Energy Progress,SERC,"North Carolina, South Carolina",Winter,Unknown,124000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,,,hour or more - Severe Weather-,,,
2015,2,02/26/2015,3:30 AM,02/27/2015 12:00 PM,,"32 Hours, 30 Minutes",,Duke Energy Carolinas,SERC,North Carolina,Winter,400,103776,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,,"Greater Portland & Salem ,",hour or more - Severe Weather -,,,
2015,3,03/15/2015,3:30 PM,03/15/2015,7:00 PM,"3 Hours, 30 Minutes",,Portland General Electric Co,WECC,Oregon,Wind,210,71000,
,,,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,,,operational - System,,,
2015,3,03/26/2015,3:21 PM,03/26/2015,4:59 PM,"1 Hours, 38 Minutes",,Pacific Gas & Electric Co,WECC,"Contra Costa County, California",Operations,15,Unknown,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,,"Harvey, Reno, and Sedgwick",hour or more - Severe Weather -,,,
2015,4,04/03/2015,2:00 AM,04/03/2015,7:48 AM,"5 Hours, 48 Minutes",,Westar Energy Inc,SPP,"Counties, Kansas",Thunderstorms,Unknown,70000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,,,hour or more - System,,,
