Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
January ,01/05/2017,16:56:00,01/05/2017,16:57:00,Florida: Martin County;,FRCC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspected Physical Attack,0,0
January ,01/08/2017,09:07:00,01/13/2017,14:30:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,106000
January ,01/08/2017,23:59:00,Unknown,Unknown,California,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,0,0
January ,01/10/2017,19:30:00,01/13/2017,14:30:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,87000
January ,01/15/2017,06:35:00,01/15/2017,07:44:00,California: Los Angeles County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Transmission Disruption,176,126000
January ,01/15/2017,09:27:00,01/17/2017,01:58:00,Oklahoma: Harper County;,SPP,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Severe Weather,1,788
January ,01/18/2017,18:05:00,01/19/2017,00:05:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,75000
January ,01/22/2017,04:15:00,01/24/2017,14:00:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,97,64000
January ,01/22/2017,06:00:00,Unknown,Unknown,California,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,0,0
January ,01/22/2017,16:00:00,01/23/2017,03:26:00,Alabama: Georgia: Mississippi: Florida:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,100,29965
February,2017-02-02 ,01:04:00,2017-02-02 ,05:00:00,"New Mexico: Bernalillo County, Santa Fe County;",WECC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,Transmission Interruption,396,149223
February,2017-02-02 ,01:11:00,Unknown,Unknown,New Mexico: Bernalillo County;,WECC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,Transmission Interruption,400,Unknown
February,2017-02-06 ,01:00:00,2017-02-06 ,19:30:00,"Washington: Skagit County, King County, Kitsap County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,103000
February,2017-02-09 ,16:05:00,2017-02-10 ,05:15:00,Connecticut: Massachusetts: Rhode Island:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,11525
February,2017-02-11 ,15:46:00,2017-02-11 ,15:50:00,Utah,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack,0,0
February,2017-02-13 ,13:00:00,2017-02-15 ,13:35:00,North Carolina: Union County;,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism ,0,0
February,2017-02-17 ,13:00:00,2017-02-17 ,13:15:00,Nevada: Clark County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism ,0,0
February,2017-02-17 ,15:00:00,2017-02-20 ,11:00:00,California: Los Angeles County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,111591
February,2017-02-17 ,08:09:00,2017-02-22 ,19:30:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,254,169250
February,2017-02-17 ,04:32:00,2017-02-17 ,05:02:00,Missouri: Arkansas: Oklahoma: Texas:,SPP,Cyber event that could potentially impact electric power system adequacy or reliability,System Operations,0,0
March,03/01/2017,11:49:00,03/02/2017,21:30:00,Kentucky: West Virginia:,RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,98575
March,03/01/2017,08:30:00,03/01/2017,14:00:00,Tennessee: Kentucky:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,58000
March,03/02/2017,12:20:00,03/02/2017,23:45:00,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,54316
March,03/06/2017,20:00:00,03/07/2017,01:00:00,"Missouri: Jackson County, Platte County, Cass County, Lafayette County, Chariton County, Carroll County, Clay County, Johnson County;",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,97734
March,03/08/2017,11:30:00,03/08/2017,19:52:00,Ohio,RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,71012
March,03/08/2017,12:00:00,03/11/2017,11:31:00,Michigan,RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,800000
March,03/08/2017,09:30:00,03/11/2017,05:00:00,"Michigan: Jackson County, Calhoun County, Ingham County, Hillsdale County, Washtenaw County, Kent County, Ottawa County, Midland County, Saginaw County;",RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,343000
March,03/08/2017,13:30:00,03/08/2017,16:30:00,New York,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather/Transmission Interruption,Unknown,106869
March,03/08/2017,15:33:00,Unknown,Unknown,New York,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,50000
March,03/12/2017,09:56:00,03/12/2017,11:20:00,California: Imperial County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,1
March,03/14/2017,12:32:00,Unknown,Unknown,Connecticut: Massachusetts: Rhode Island: New Hampshire: Maine: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,69647
March,03/21/2017,20:00:00,03/22/2017,09:15:00,Georgia,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,857,257000
March,03/24/2017,06:29:00,03/24/2017,07:13:00,Oregon: Clatsop County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Sabotage,0,0
March,03/28/2017,16:07:00,03/28/2017,16:08:00,Oregon: Josephine County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspicious Activity,0,0
March,03/29/2017,03:30:00,03/31/2017,06:00:00,Texas,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,175000
March,03/31/2017,19:15:00,03/31/2017,21:07:00,Mississippi: DeSoto County;,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
April,04/03/2017,11:00:00,04/03/2017,20:00:00,"Alabama, Georgia",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,290,86330
April,04/06/2017,19:00:00,Unknown,Unknown,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,100000
April,04/07/2017,04:16:00,Unknown,Unknown,California: Fresno County,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,0,0
April,04/07/2017,08:15:00,04/08/2017,00:14:00,"Oregon: Multnomah County, Washington County, Marion County, Clackamas County",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,153867
