,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
0,2018,1,01/01/2018 5:43 PM,.,".. Hours, . Minutes",American Electric Power - Texas,TRE,Texas:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe nan,Weather,Unknown,Unknown
1,2018,1,01/01/2018 6:21 PM,01/02/2018 6:11 PM,"23 Hours, 50 Minutes",Tennessee Valley Authority,SERC,Tennessee:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe nan,Weather,Unknown,Unknown
2,2018,1,01/01/2018 9:37 PM,01/02/2018 10:30 AM,"12 Hours, 53 Minutes",Memphis Light Gas and Water Division,SERC,Tennessee:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System nan,Operations,Unknown,Unknown
3,2018,1,01/02/2018 6:45 AM,01/02/2018 9:00 AM,"nan2 Hours, 15 Minutes",Duke Energy Progress,SERC,North Carolina: South Carolina:,System-wide voltage reductions of 3 percent or more-Severe nan,Weather,14998,Unknown
4,2018,1,01/02/2018 7:30 AM,.,".. Hours, . Minutes",South Carolina Electric and Gas,SERC,South Carolina:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe nan,Weather,0,717000
5,2018,1,01/02/2018 10:00 AM,02/12/2018 8:00 AM,"982 Hours, 0 Minutes","Somerset Operating Company, LLC",NPCC,New York: Niagara County;,Fuel supply emergencies that could impact electric power system adequacy or reliability- Fuel Supply Deficiency,,675,Unknown
6,2018,1,01/15/2018 4:20 AM,01/18/2018 5:48 AM,"73 Hours, 28 Minutes",American Electric Power - Texas,TRE,Texas:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe nan,Weather,Unknown,Unknown
7,2018,1,01/16/2018 1:57 PM,01/16/2018 2:32 PM,"nan0 Hours, 35 Minutes",ERCOT,TRE,Texas:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Severe nan,Weather,Unknown,Unknown
8,2018,1,01/16/2018 3:00 PM,01/18/2018 1:00 PM,"nan46 Hours, 0 Minutes",Memphis Light Gas and Water Division,SERC,Tennessee: Shelby County;,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System nan,Operations,Unknown,Unknown
9,2018,1,01/16/2018 3:00 PM,01/18/2018 1:00 PM,"nan46 Hours, 0 Minutes",Tennessee Valley Authority,SERC,Tennessee:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe nan,Weather,Unknown,Unknown
10,2018,1,01/17/2018 5:10 AM,01/17/2018 1:00 PM,"nan7 Hours, 50 Minutes",Cooperative Energy,SERC,Mississippi:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System nan,Operations,1788,420000
11,2018,1,01/17/2018 6:10 AM,01/17/2018 2:00 PM,"nan7 Hours, 50 Minutes",Louisiana Generating LLC,SERC,Louisiana:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System nan,Operations,Unknown,Unknown
12,2018,1,01/18/2018 5:00 AM,01/18/2018 9:45 AM,"nan4 Hours, 45 Minutes",Cooperative Energy,SERC,Mississippi:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System nan,Operations,1760,420000
13,2018,1,01/18/2018 5:00 AM,01/18/2018 11:00 AM,"nan6 Hours, 0 Minutes","Entergy Services, Inc.",SERC,Arkansas: Mississippi: Louisiana: Texas:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe nan,Weather,31500,Unknown
14,2018,1,01/18/2018 6:00 AM,.,".. Hours, . Minutes",Louisiana Generating LLC,SERC,Louisiana:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System nan,Operations,Unknown,Unknown
15,2018,2,02/08/2018 1:25 PM,02/08/2018 1:31 PM,"nan0 Hours, 6 Minutes",Pacific Gas & Electric Co,WECC,California:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-System nan,Operations,30,10900
16,2018,3,03/01/2018 11:43 AM,03/01/2018 11:56 AM,"nan0 Hours, 13 Minutes",Pacific Gas & Electric Co,WECC,California:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Severe nan,Weather,38,10898
17,2018,3,03/01/2018 9:57 PM,03/02/2018 10:14 AM,"12 Hours, 17 Minutes",The Illuminating Company,RF,Ohio:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,86501
18,2018,3,03/01/2018 10:20 PM,03/04/2018 8:00 PM,"69 Hours, 40 Minutes",Detroit Edison Co,RF,"Michigan: Wayne County, Washtenaw County, Oakland County, Macomb County, Monroe County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,95000
19,2018,3,03/02/2018 7:00 AM,.,".. Hours, . Minutes",Central Hudson Gas & Elec Corp,NPCC,"New York: Dutchess County, Orange County, Greene County, Ulster County, Putnam County, Sullivan County, Albany County, Columbia County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,90000
20,2018,3,03/02/2018 8:00 AM,03/03/2018 11:00 PM,"nan39 Hours, 0 Minutes","(8400 Smiths Mill Road, New Albany Ohio 43054)",RF,Virginia: West Virginia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,65198
21,2018,3,03/02/2018 8:42 AM,.,".. Hours, . Minutes",Grid),NPCC,New York:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,63331
22,2018,3,03/02/2018 11:34 AM,.,".. Hours, . Minutes",New York State Electric & Gas,NPCC,New York:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,50000
23,2018,3,03/02/2018 11:58 AM,.,".. Hours, . Minutes",PPL Electric Utilities Corp,RF,"Pennsylvania: Berks County, Bucks County, Carbon County, Chester County, Clinton County, Columbia County, Cumberland County, Dauphin County, Juniata County, Lackawanna County, Lancaster County, Lebanon County, Lehigh County, Luzerne County, Lycoming County, Monroe County, Montgomery County, Montour County, Northampton County, Northumberland County, Pike County, Schuylkill County, Snyder County;",Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Severe nan,Weather,Unknown,126000
24,2018,3,03/02/2018 12:00 PM,.,".. Hours, . Minutes",Baltimore Gas and Electric,RF,Maryland:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe nan,Weather,670,474019
25,2018,3,03/02/2018 12:00 PM,03/05/2018 12:00 AM,"nan60 Hours, 0 Minutes",Exelon Corporation/PECO,RF,Pennsylvania:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,630000
26,2018,3,03/02/2018 1:51 PM,03/04/2018 12:11 PM,"46 Hours, 20 Minutes",Metropolitan Edison Co,RF,Pennsylvania:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,233136
27,2018,3,03/02/2018 1:51 PM,03/05/2018 1:18 PM,"71 Hours, 27 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: Rhode Island:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,325000
28,2018,3,03/02/2018 3:10 PM,03/06/2018 4:57 AM,"85 Hours, 47 Minutes",Jersey Central Power & Lt Co,RF,Ohio:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,249322
29,2018,3,03/02/2018 3:46 PM,03/04/2018 7:46 PM,"nan52 Hours, 0 Minutes",Consolidated Edison Co-NY Inc,NPCC,"New York: New York County, Westchester County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,72353
30,2018,3,03/02/2018 5:00 PM,03/06/2018 11:00 AM,"nan90 Hours, 0 Minutes",Delmarva Power & Light Company,RF,Delaware: Maryland:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,60000
31,2018,3,03/07/2018 12:00 PM,03/07/2018 5:00 PM,"nan5 Hours, 0 Minutes",Exelon Corporation/PECO,RF,Pennsylvania:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,120000
32,2018,3,03/07/2018 4:10 PM,03/10/2018 11:32 AM,"67 Hours, 22 Minutes",Jersey Central Power & Lt Co,RF,New Jersey:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,216800
33,2018,3,03/07/2018 5:15 PM,.,".. Hours, . Minutes",Public Service Electric & Gas,RF,New Jersey:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,50,58000
34,2018,3,03/07/2018 7:37 PM,03/10/2018 4:35 PM,"68 Hours, 58 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: Maine: New Hampshire: Rhode Island: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,102000
35,2018,3,03/13/2018 8:50 AM,03/14/2018 11:22 PM,"38 Hours, 32 Minutes",ISO New England,NPCC,Massachusetts: Rhode Island:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,123629
