,Unnamed: 0,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
0,2019,1,01/06/2019 1:00 AM,01/06/2019 12:00 PM,,"11 Hours, 0 Minutes",Puget Sound Energy,WECC,"Washington: King County, Thurston County, Pierce County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,230000,
1,2019,1,01/06/2019 3:00 AM,01/09/2019 7:00 AM,,"76 Hours, 0 Minutes",Peak Reliability,WECC,Washington:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",230,230000,
2,2019,1,01/06/2019 5:56 PM,01/06/2019 9:52 PM,,"3 Hours, 56 Minutes",Sacramento Municipal Util Dist,WECC,California: Sacramento County;,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",300,90382,
3,2019,1,01/10/2019 12:19 PM,01/10/2019 12:48 PM,,"0 Hours, 29 Minutes",Plains Region,WECC,Montana: Valley County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-System Operations",11,2,
4,2019,1,01/12/2019 11:30 AM,.,.,". Hours, . Minutes","Southwest Power Pool, Inc.",SERC,Missouri: Nebraska:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,116600,
5,2019,1,01/12/2019 11:30 AM,01/13/2019 10:00 PM,"34 Hours, 30 Minutes",,Kansas City Power & Light Co,SPP RE,Missouri: Jackson County; Kansas: Johnson County;,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,112530,
6,2019,1,01/13/2019 5:30 AM,01/15/2019 5:00 PM,"59 Hours, 30 Minutes",,Duke Energy Carolinas,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",133200,,
7,2019,1,01/16/2019 5:26 PM,01/17/2019 12:19 PM,"18 Hours, 53 Minutes",,Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",190,126700,
8,2019,1,01/18/2019 9:54 PM,01/19/2019 12:19 AM,,"2 Hours, 25 Minutes",Nebraska Public Power District,MRO,Nebraska:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,8,
9,2019,1,01/23/2019 7:26 AM,01/23/2019 5:05 PM,,"9 Hours, 39 Minutes",Western Area Power Administration,WECC,Colorado: Larimer County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-System Operations",0,0,
