,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
,,,,,,,,,Electrical System Separation,,
,,,,,,,,,(Islanding) where part or parts,,
,,,,,,,,,of power grid remain(s),,
,,,,,,,,,operational in an otherwise,,
,,,,,,,,,blacked out area or within the,,
,,,,,,,,,partial failure of an integrated,,
,,,,,,,,,electrical system.-System,,
2020,1,01/09/2020 11:07 PM,01/09/2020 11:18 PM,"0 Hours, 11 Minutes",,Entergy Transmission Control Center - South,SPP RE,Arkansas:,Operations,Unknown,Unknown
,,,,,,,,,Unexpected Transmission,,
,,,,,,,,,"loss within its area, contrary",,
,,,,,,,,,"to design, of three or more",,
,,,,,,,,,Bulk Electric System,,
,,,,,,,,,Facilities caused by a,,
,,,,,,,,,common disturbance,,
,,,,,,,,,(excluding successful,,
,,,,,,,,,automatic reclosing).-Severe,,
,,,,,,,,,Weather/Transmission,,
2020,1,01/09/2020 11:07 PM,01/09/2020 11:19 PM,"0 Hours, 12 Minutes",,Entergy - Transmission Operations Engineering,SPP RE,Arkansas: Yell County;,Interruption,0,0
,,,,,,,,,Unexpected Transmission,,
,,,,,,,,,"loss within its area, contrary",,
,,,,,,,,,"to design, of three or more",,
,,,,,,,,,Bulk Electric System,,
,,,,,,,,,Facilities caused by a,,
,,,,,,,,,common disturbance,,
,,,,,,,,,(excluding successful,,
,,,,,,,,,automatic reclosing).-Severe,,
,,,,,,,,,Weather/Transmission,,
2020,1,01/11/2020 2:25 AM,01/11/2020 7:56 AM,"5 Hours, 31 Minutes",,Entergy - Transmission Operations Engineering,SPP RE,Arkansas: Cross County;,Interruption,22,7541
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,1,01/11/2020 3:30 AM,01/11/2020 5:30 PM,"14 Hours, 0 Minutes",,Entergy Corp,SPP RE,Arkansas: Texas:,Weather,Unknown,68138
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,Alabama: Georgia:,for 1 hour or more.-Severe,,
2020,1,01/11/2020 12:50 PM,01/12/2020 1:33 PM,"24 Hours, 43 Minutes",,Southern Company,SERC,Mississippi:,Weather,219,30715
,,,,,,,,,Electrical System Separation,,
,,,,,,,,,(Islanding) where part or parts,,
,,,,,,,,,of power grid remain(s),,
,,,,,,,,,operational in an otherwise,,
,,,,,,,,,blacked out area or within the,,
,,,,,,,,,partial failure of an integrated,,
,,,,,,,,,electrical system.-Severe,,
2020,1,01/11/2020 1:20 PM,.,.,". Hours, . Minutes",Tennessee Valley Authority,SERC,Tennessee:,Weather,4,Unknown
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,North Carolina: South,for 1 hour or more.-Severe,,
2020,1,01/11/2020 11:02 PM,01/12/2020 2:01 AM,"2 Hours, 59 Minutes",,Duke Energy Carolinas,SERC,Carolina:,Weather,Unknown,66475
,,,,,,,,,Electrical System Separation,,
,,,,,,,,,(Islanding) where part or parts,,
,,,,,,,,,of power grid remain(s),,
,,,,,,,,,operational in an otherwise,,
,,,,,,,,,blacked out area or within the,,
,,,,,,,,,partial failure of an integrated,,
,,,,,,,,,electrical system.-Severe,,
,,,,,,,,,Weather/Transmission,,
2020,1,01/17/2020 5:28 AM,01/17/2020 10:13 AM,"4 Hours, 45 Minutes",,Pacific Gas & Electric Co,WECC,California: Humboldt County;,Interruption,87,67864
,,,,,,,,,Fuel supply emergencies that,,
,,,,,,,,,could impact electric power,,
,,,,,,,,,system adequacy or,,
,,,,,,,,,reliability.-Fuel Supply,,
2020,1,01/24/2020 4:34 AM,.,.,". Hours, . Minutes",California Department of Water Resources,WECC,California:,Deficiency,0,0
,,,,,,,,,Unexpected Transmission,,
,,,,,,,,,"loss within its area, contrary",,
,,,,,,,,,"to design, of three or more",,
,,,,,,,,,Bulk Electric System,,
,,,,,,,,,Facilities caused by a,,
,,,,,,,,,common disturbance,,
,,,,,,,,,(excluding successful,,
,,,,,,Western Area Power Administration - Upper Great,,North Dakota: Burleigh,automatic reclosing).-,,
2020,1,01/30/2020 3:01 AM,01/30/2020 4:36 AM,"1 Hours, 35 Minutes",,Plains Region,MRO,County;,Transmission Interruption,75,0
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
,,,,,,,,North Carolina: South,Weather/Transmission,,
2020,2,02/06/2020 1:30 PM,02/07/2020 8:08 PM,"30 Hours, 38 Minutes",,Duke Energy Carolinas,SERC,Carolina:,Interruption,Unknown,89500
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
,,,,,,,,,Weather/Distribution,,
2020,2,02/06/2020 2:29 PM,02/07/2020 12:44 PM,"22 Hours, 15 Minutes",,Duke Energy Progress,SERC,North Carolina:,Interruption,Unknown,284256
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,2,02/07/2020 8:48 AM,.,.,". Hours, . Minutes",Dominion Energy VA,SERC,Virginia: North Carolina:,Weather,Unknown,87000
,,,,,,,,,Loss of electric service to,,
