Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
January,01/01/2021,07:04:00,01/01/2021,07:05:00,California: Alameda County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0
January,01/02/2021,10:28:00,01/02/2021,10:29:00,California: Butte County;,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,System Operations,8,5803
January,01/04/2021,10:34:00,01/04/2021,10:49:00,Pennsylvania:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,6,3825
January,01/08/2021,01:26:00,01/08/2021,02:45:00,Arkansas: Prairie County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Sabotage,Unknown,1908
January,01/10/2021,22:44:00,01/13/2021,16:00:00,"Texas: Anderson County, Angelina County, Dallas County, Freestone County, Henderson County, Houston County, Leon County, Nacogdoches County, Smith County, Tarrant County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,188000
January,01/11/2021,05:00:00,01/11/2021,14:22:00,Louisiana: Texas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,Unknown,58000
January,01/12/2021,23:50:00,01/15/2021,13:00:00,"Washington: Kitsap County, Thurston County, King County, Pierce County, Skagit County, Whatcom County;",WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,100,320000
January,01/12/2021,20:46:00,01/13/2021,16:00:00,"Oregon: Clackamas County, Multnomah County, Washington County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,94231
January,01/12/2021,23:49:00,01/14/2021,14:00:00,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,150,70000
January,01/12/2021,20:30:00,Unknown,Unknown,Washington: Snohomish County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,200,62000
