,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,blacked out area or within the,,,
,,,,,,,,,partial failure of an integrated,,,
,,,,,,,,,electrical system-Severe,,,
2022,1,01/02/2022 1:21 PM,01/02/2022 5:38 PM,,"4 Hours, 17 Minutes",Pacific Gas & Electric Co,WECC,California: Tuolumne County;,,Weather,3,1706
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2022,1,01/03/2022 1:00 AM,01/03/2022 2:00 PM,,"13 Hours, 0 Minutes",Southern Company,SERC,Georgia: Alabama: Mississippi:,hour or more-Severe Weather,,283,40885
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2022,1,01/03/2022 5:00 AM,01/04/2022 6:00 PM,,"37 Hours, 0 Minutes",Dominion Energy South Carolina,SERC,South Carolina:,hour or more-Severe Weather,,Unknown,60424
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,North Carolina: South,"than 50,000 customers for 1",,,
2022,1,01/03/2022 5:30 AM,01/04/2022 12:30 PM,,"31 Hours, 0 Minutes",Duke Energy Carolinas,SERC,Carolina:,hour or more-Severe Weather,,Unknown,142000
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,Massachusetts: Plymouth,successful automatic,,,
2022,1,01/05/2022 12:32 PM,01/05/2022 12:45 PM,,"0 Hours, 13 Minutes",Eversource Energy Company (NSTAR),NPCC,County;,reclosing).-System Operations,,0,0
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,"Texas: Cameron County,",successful automatic,,,
2022,1,01/08/2022 2:56 AM,01/08/2022 3:03 AM,,"0 Hours, 7 Minutes",American Electric Power - Texas,TRE,Willacy County;,reclosing).-System Operations,,0,0
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
2022,1,01/09/2022 6:08 PM,.,.,". Hours, . Minutes",Entergy - Transmission Operations Engineering,SERC,Mississippi: Adams County;,reclosing).-System Operations,,Unknown,Unknown
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,TRE/WEC,Texas: Potter County; New,reclosing).-Transmission,,,
2022,1,01/14/2022 8:34 AM,01/14/2022 8:42 AM,,"0 Hours, 8 Minutes",Southwestern Public Service,C,Mexico:,,Interruption,0,0
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2022,1,01/16/2022 5:15 AM,01/17/2022 12:06 AM,"18 Hours, 51 Minutes",,Southern Company,SERC,Georgia: Alabama:,hour or more-Severe Weather,,436,61113
,,,,,,,,North Carolina: Jackson,Loss of electric service to more,,,
,,,,,,,,County; South Carolina:,"than 50,000 customers for 1",,,
2022,1,01/16/2022 12:05 PM,01/17/2022 8:45 AM,"20 Hours, 40 Minutes",,Duke Energy Carolinas,SERC,Greenville County;,hour or more-Severe Weather,,Unknown,51289
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,North Carolina: South,"than 50,000 customers for 1",,,
2022,1,01/16/2022 1:15 PM,01/16/2022 5:15 PM,,"4 Hours, 0 Minutes",Duke Energy Progress,SERC,Carolina:,hour or more-Severe Weather,,Unknown,74638
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
2022,1,01/24/2022 10:27 AM,01/24/2022 10:51 AM,,"0 Hours, 24 Minutes",Public Utility District #1 of Chelan County (CHPD),WECC,Washington: Chelan County;,reclosing).-System Operations,,0,0
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,"Colorado: Douglas County,",successful automatic,,,
,,,,,,,,"Pueblo County, El Paso",reclosing).-Transmission,,,
2022,1,01/28/2022 3:41 PM,01/28/2022 9:30 PM,,"5 Hours, 49 Minutes",Public Service Company of Colorado,WECC,"County, Prowers County;",,Interruption,0,0
