,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
0,January,01/28/2023,04:00:00,01/28/2023,05:00:00,Illinois: Franklin County;,SERC/RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,0,0
1,February,02/07/2023,06:15:00,02/07/2023,06:20:00,Illinois: DuPage County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2,March,03/03/2023,13:45:00,03/03/2023,13:50:00,Illinois: Cook County;,SERC/RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
3,March,03/31/2023,20:49:00,Unknown,Unknown,Illinois:,SERC / RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,65000
4,July,2023-07-01 00:00:00,14:58:00,2023-07-01 00:00:00,17:07:00,Illinois:,SERC/RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Other,0,0
5,July,2023-07-28 00:00:00,21:00:00,2023-07-30 00:00:00,10:00:00,"Illinois: Winnebago County, Cook County, Will County, DeKalb County, Kendall County;",MRO/RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,122921
6,August,,14:58:00,2023-07-01 00:00:00,17:07:00,Illinois:,SERC/RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Other,0,0
7,August,,21:00:00,2023-07-30 00:00:00,10:00:00,"Illinois: Winnebago County, Cook County, Will County, DeKalb County, Kendall County;",MRO/RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,122921
8,September,09/15/2023,16:30:00,09/15/2023,17:00:00,Illinois: Grundy County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
9,October,10/26/2023,10:05:00,10/26/2023,10:20:00,Illinois: Cook County;,RE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
10,October,10/26/2023,10:05:00,10/26/2023,10:20:00,Illinois: Cook County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
11,November,11/19/2023,14:00:00,11/19/2023,14:10:00,Illinois: Grundy County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
