Event Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
January,01/01/2023,00:06:00,01/01/2023,03:57:00,California: Riverside County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
January,01/01/2023,09:55:00,01/01/2023,10:30:00,California: Sacramento County;,WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
January,01/01/2023,14:47:00,01/01/2023,16:50:00,Florida: Citrus County;,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,19,3509
January,01/02/2023,16:12:00,01/03/2023,09:30:00,Texas: Dallas County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
January,01/02/2023,03:16:00,01/02/2023,16:46:00,New Mexico:,WECC,Physical attack that causes major interruptions or impacts to critical infrastructure or to operations,Vandalism,432,0
January,01/02/2023,18:22:00,01/02/2023,22:27:00,Arkansas: Union County; Louisiana: Ouachita Parish;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather,20,6849
January,01/03/2023,11:45:00,01/03/2023,12:00:00,Michigan: Ingham County;,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
January,01/05/2023,08:19:00,01/05/2023,08:20:00,Louisiana: Concordia Parish;,SERC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Transmission Interruption,23,1631
January,01/05/2023,07:30:00,01/05/2023,09:30:00,Washington: Lewis County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
January,01/06/2023,09:30:00,01/06/2023,11:30:00,Ohio: Sandusky County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Unknown,Unknown
January,01/07/2023,22:00:00,01/08/2023,21:00:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,458,185434
January,01/07/2023,23:44:00,01/08/2023,02:29:00,"Texas: Jasper County, Tyler County;",TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,20,9823
January,01/08/2023,18:40:00,01/08/2023,18:54:00,Texas: Bowie County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
January,01/12/2023,10:00:00,Unkonwn,Unknown,California: Sacramento County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
January,01/12/2023,14:00:00,01/13/2023,03:00:00,Alabama: Georgia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,1158,162000
January,01/12/2023,11:58:00,01/12/2023,12:30:00,Washington: King County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,Unknown
January,01/13/2023,00:00:00,01/13/2023,01:00:00,Texas: Fayette County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
January,01/19/2023,11:00:00,01/19/2023,13:00:00,South Carolina: Sumter County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Unknown,Unknown
January,01/20/2023,10:45:00,Unknown,Unknown,Michigan: Oakland County;,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,0
January,01/23/2023,07:05:00,01/24/2023,17:17:00,Connecticut: Rhode Island: Massachusetts: Vermont: New Hampshire: Maine:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,41000
January,01/23/2023,17:00:00,Unknown,Unknown,California: Sacramento County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Unknown,Unknown
January,01/23/2023,09:21:00,Unknown,Unknown,California: Sacramento County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Unknown,Unknown
January,01/24/2023,14:00:00,01/24/2023,15:00:00,Louisiana:,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
January,01/24/2023,17:10:00,01/24/2023,17:20:00,New York: Queens County;,NPCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
January,01/24/2023,15:25:00,01/26/2023,20:20:00,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,100731
January,01/25/2023,22:30:00,01/26/2023,00:01:00,Washington: Kitsap County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
January,01/25/2023,15:57:00,01/25/2023,17:38:00,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
January,01/25/2023,03:30:00,01/25/2023,13:00:00,Arkansas: Texas: Louisiana: Mississippi:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,60958
January,01/26/2023,07:00:00,01/26/2023,14:46:00,Washington: King County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
January,01/28/2023,04:00:00,01/28/2023,05:00:00,Illinois: Franklin County;,SERC/RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,0,0
January,01/29/2023,08:19:00,01/29/2023,11:07:00,Kentucky:,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
January,01/30/2023,10:30:00,Unknown,Unknown,Minnesota:,MRO,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",Suspicious Activity,Unknown,Unknown
January,01/31/2023,08:15:00,02/06/2023,17:00:00,"Texas: Dallas County, Anderson County, Bosque County, Collin County, Comanche County, Cooke County, Delta County, Denton County, Ellis County, Erath County, Fannin County, Freestone County, Hamilton County, Henderson County, Hill County, Hood County, Hopkins County, Hunt County, Jack County, Johnson County, Kaufman County, Lamar County, Navarro County, Palo Pinto County, Parker County, Rains County, Red River County, Rockwall County, Somervell County, Tarrant County, Van Zandt County, Wichita County, Wise County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,360000
February,02/01/2023,05:00:00,02/04/2023,22:39:00,Texas: Travis County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,370,173879
February,02/02/2023,22:07:00,02/03/2023,16:08:00,Colorado:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
February,02/02/2023,11:00:00,Unknown,Unknown,Pennsylvania: Westmoreland County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
February,02/02/2023,08:15:00,02/02/2023,19:45:00,Arkansas: Mississippi: Texas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,74426
February,02/02/2023,14:37:00,02/02/2023,14:47:00,Maryland: Cecil County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
February,02/03/2023,16:00:00,02/03/2023,16:45:00,Oregon: Washington: Yakima County; Idaho: Utah: Wyoming:,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
February,02/04/2023,11:14:00,02/04/2023,12:55:00,Ohio: Gallia County;,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,2000,Unknown
February,02/06/2023,17:06:00,02/06/2023,17:31:00,Florida: Hillsborough County;,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
February,02/06/2023,10:00:00,02/06/2023,10:02:00,Maryland:,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
February,02/07/2023,13:34:00,02/07/2023,14:06:00,Wisconsin: La Crosse County;,MRO,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
February,02/07/2023,06:15:00,02/07/2023,06:20:00,Illinois: DuPage County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
February,02/07/2023,08:30:00,Unknown,Unknown,New York: Queens County;,NPCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
February,02/08/2023,13:30:00,02/08/2023,14:00:00,Pennsylvania: Lawrence County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
February,02/11/2023,11:17:00,02/11/2023,18:20:00,Texas: Taylor County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
February,02/13/2023,21:50:00,02/14/2023,02:24:00,California: San Diego County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspicious Activity,0,0
February,02/13/2023,05:27:00,02/13/2023,15:00:00,Wisconsin: Chippewa County;,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
