,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Alert Criteria
0,January,2014-01-07,10:59:00,2014-01-09,09:00:00,Illinois,RFC,Fuel Supply Emergency - Natural Gas,,,
1,January,2014-01-17,10:30:00,2014-01-28,09:00:00,Illinois,RFC,Fuel Supply Emergency - Natural Gas,Unknown,Unknown,
2,February,2014-02-20,16:40:00,2014-02-21,23:59:00,"Missouri, Illinois",SERC,Severe Weather - Snow/Ice,Unknown,66000,
3,June,2014-06-30,20:00:00,2014-07-02 ,18:30:00,Illinois,RFC,Severe Weather - Thunderstorms,Unknown,420000,
4,August,2014-08-23,16:39:00,2014-08-24,01:46:00,"City of Highland, Illinois",RFC,Operational Failure of Electrical System,31,6549,
5,September,2014-09-05,16:30:00,2014-09-06,14:00:00,Illinois,RFC,Severe Weather - Thunderstorms,Unknown,180400,
6,August,2015-08-03,00:30:00,2015-08-03,02:00:00,Illinois,RFC,Severe Weather,Unknown,115000,"Loss of electric service to more than 50,000 customers for 1 hour or more"
7,July,07/23/2017,04:00:00,Unknown,Unknown,Missouri: Illinois,SERC,Severe Weather,Unknown,82000,"Loss of electric service to more than 50,000 customers for 1 hour or more"
8,June,06/28/2018,18:36:00,07/01/2018,07:00:00,Missouri: Illinois:,SERC,Severe Weather,Unknown,112000,"Loss of electric service to more than 50,000 customers for 1 hour or more"
9,August,08/29/2018,00:00:00,08/30/2018,00:00:00,Illinois:,SERC,Severe Weather,Unknown,100000,"Loss of electric service to more than 50,000 customers for 1 hour or more."
10,September,09/25/2018,00:33:00,09/25/2018,03:10:00,Illinois:,SERC,System Operations,0,0,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
11,October,10/03/2018,07:38:00,10/03/2018,07:48:00,Illinois:,SERC,System Operations,0,0,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
12,November,11/03/2018,05:53:00,11/03/2018,05:57:00,Illinois:,SERC,System Operations,0,0,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
13,November,11/25/2018,22:30:00,11/28/2018,20:17:00,"Illinois: Will County, DuPage County, Kane County, McHenry County, Winnebago County, Ogle County, DeKalb County, Lee County, Grundy County, Lake County, Cook County, Livingston County, Stephenson County, LaSalle County, Kankakee County, Kendall County, Boone County;",SERC,Severe Weather,Unknown,313448,"Loss of electric service to more than 50,000 customers for 1 hour or more."
14,January,01/30/2019,04:23:00,02/02/2019,09:00:00,Illinois: Scott County;,SERC,Fuel Supply Deficiency,Unknown,Unknown,Fuel supply emergencies that could impact electric power system adequacy or reliability.
15,January,01/30/2019,07:00:00,01/30/2019,08:08:00,Illinois: Pike County;,SERC,Severe Weather,Unknown,Unknown,Fuel supply emergencies that could impact electric power system adequacy or reliability.
16,February,02/20/2019,12:50:00,02/20/2019,13:32:00,"Wisconsin, Minnesota, Iowa, Illinois",MRO,System Operations,740,0,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
17,June,06/30/2019,15:30:00,06/30/2019,20:30:00,"Illinois: Cook County, DeKalb County, DuPage County, Grundy County, Iroquois County, Ford County, Lake County, Kendall County, Kankakee County, Kane County, Ogle County;",SERC,Severe Weather,Unknown,100000,"Loss of electric service to more than 50,000 customers for 1 hour or more."
18,December,12/24/2019,15:30:00,12/24/2019,19:34:00,Illinois:,SERC,Suspicious Activity,0,0,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
19,April,04/01/2020,21:43:00,04/01/2020,22:18:00,Illinois: Williamson County;,SERC,System Operations,0,0,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
20,August,08/02/2020,19:43:00,08/02/2020,22:27:00,Illinois: Rock Island County;,SERC,Transmission Interruption,0,0,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
21,August,08/10/2020,16:00:00,08/13/2020,15:00:00,Illinois: Missouri:,SERC,Severe Weather,Unknown,135000,"Loss of electric service to more than 50,000 customers for 1 hour or more."
