,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Alert Criteria
0,January,2014-01-06,19:50:00,2014-01-06,20:44:00,District of Columbia,RFC,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown,
1,January,2014-01-06,19:50:00,2014-01-06,20:44:00,Unknown,RFC,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown,
2,January,2014-01-06,19:52:00,2014-01-06,20:45:00,Delaware,RFC,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown,
3,January,2014-01-06,20:45:00,2014-01-07,21:00:00,Unknown,RFC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,
4,January,2014-01-06,19:50:00,2014-01-06,20:49:00,Pennsylvania,RFC,Voltage Reduction due to Severe Weather - Cold,200,62000,
5,January,2014-01-06,19:50:00,2014-01-06,20:44:00,Pennsylvania,RFC,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown,
6,January,2014-01-06,14:37:00,2014-01-06,14:38:00,Utah,RFC,Vandalism,,,
7,January,2014-01-06,22:00:00,2014-01-06,22:01:00,Kentucky,RFC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,
8,January,2014-01-06,07:01:00,2014-01-07,09:00:00,Texas,TRE,Public Appeal due to Severe Weather - Cold,,,
9,January,2014-01-07,21:00:00,2014-01-08,09:00:00,Unknown,RFC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,
10,January,2014-01-07,06:18:00,2014-01-07,06:19:00,Pennsylvania,RFC,Severe Weather - Cold,Unknown,Unknown,
11,January,2014-01-07,07:58:00,2014-01-07,11:00:00,North Carolina,SERC,Voltage Reduction; Public Appeal due to Severe Weather - Cold,14435,Unknown,
12,January,2014-01-07,16:15:00,2014-01-08,13:20:00,North Carolina,SERC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,
13,January,2014-01-07,06:00:00,2014-01-07,08:30:00,Northeast Tennessee,SERC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,
14,January,2014-01-07,06:00:00,2014-01-07,08:30:00,Tennessee,SERC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,
15,January,2014-01-07,18:00:00,2014-01-07,23:00:00,South Carolina,SERC,Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,4853,677858,
16,January,2014-01-07,10:59:00,2014-01-09,09:00:00,Illinois,RFC,Fuel Supply Emergency - Natural Gas,,,
17,January,2014-01-07,09:30:00,2014-01-08,09:30:00,"Piedmont North Carolina, Piedmont South Carolina",SERC,Fuel Supply Emergency due to Severe Weather - Cold,Unknown,Unknown,
18,January,2014-01-08,05:00:00,2014-01-08,06:30:00,Unknown,RFC,Voltage Reduction due to Severe Weather - Cold,576,Unknown,
19,January,2014-01-08,06:00:00,2014-01-08,09:00:00,South Carolina,SERC,Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,4545,677858,
20,January,2014-01-13,16:44:00,2014-01-13,16:45:00,Arizona,WECC,Physical Attack - Vandalism,,,
21,January,2014-01-15,14:32:00,2014-01-15,14:45:00,Utah,WECC,Physical Attack - Vandalism,Unknown,Unknown,
22,January,2014-01-16,12:30:00,2014-01-16,13:57:00,Arizona,WECC,Physical Attack - Vandalism,,,
23,January,2014-01-17,12:20:00,2014-01-17,12:20:00,Ohio,RFC,Suspected Physical Attack,Unknown,Unknown,
24,January,2014-01-17,10:30:00,2014-01-28,09:00:00,Illinois,RFC,Fuel Supply Emergency - Natural Gas,Unknown,Unknown,
25,January,2014-01-18,17:39:00,Unknown,Unknown,Unknown,RFC,Electrical System Islanding,Unknown,Unknown,
26,January,2014-01-18,09:00:00,2014-01-18,09:45:00,Texas,TRE,Public Appeal to Reduce Electricity Usage,Unknown,Unknown,
27,January,2014-01-21,17:00:00,Unknown,Unknown,New Jersey,RFC,Physical Attack - Vandalism,Unknown,Unknown,
28,January,2014-01-21,12:14:00,2014-01-21,12:39:00,Missouri,SERC,Physical Attack - Vandalism,10,Unknown,
29,January,2014-01-22,13:55:00,2014-01-22,14:55:00,Wisconsin,MRO,Physical Attack - Vandalism,Unknown,Unknown,
30,January,2014-01-22,09:45:00,2014-01-22,20:19:00,Ohio,RFC,Physical Attack - Vandalism,Unknown,Unknown,
31,January,2014-01-22,21:15:00,2014-01-23,03:08:00,"Burlington County, New Jersey",RFC,Suspected Physical Attack,Unknown,Unknown,
32,January,2014-01-22,00:30:00,2014-01-22,02:45:00,Wisconsin,MRO,Physical Attack - Vandalism,Unknown,Unknown,
33,January,2014-01-23,04:00:00,2014-01-24,12:00:00,Tennessee,SERC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,
34,January,2014-01-23,21:17:00,2014-01-24,17:00:00,"Wynoochee, Washington",WECC,Physical Attack - Vandalism,Unknown,Unknown,
35,January,2014-01-23,13:04:00,2014-01-24,09:00:00,Maryland,RFC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,
36,January,2014-01-23,16:00:00,2014-01-24,12:00:00,Tennessee,SERC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,
37,January,2014-01-24,00:00:00,2014-04-09,11:53:00,Wisconsin,RFC,Fuel Supply Emergency - Coal,Unknown,Unknown,
38,January,2014-01-24,15:30:00,2014-01-24,17:00:00,Wisconsin,MRO,Physical Attack - Vandalism,Unknown,Unknown,
39,January,2014-01-25,10:00:00,2014-01-25,11:00:00,"Madison, Wisconsin",MRO,Physical Attack - Vandalism,Unknown,Unknown,
40,January,2014-01-26,23:00:00,Unknown,Unknown,New Jersey,RFC,Physical Attack,Unknown,Unknown,
41,January,2014-01-26,21:00:00,2014-01-27,11:00:00,Oregon,WECC,Physical Attack - Vandalism,,,
42,January,2014-01-27,14:20:00,2014-01-28,21:00:00,Maryland,RFC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,
43,January,2014-01-29,16:00:00,2014-01-29,16:44:00,Unknown,MRO,Physical Attack - Vandalism,Unknown,Unknown,
44,January,2014-01-30,15:00:00,Unknown,Unknown,Arizona,WECC,Physical Attack - Vandalism,Unknown,Unknown,
