"","X","Month","Date.Event.Began","Time.Event.Began","Date.of.Restoration","Time.of.Restoration","Area.Affected","NERC.Region","Event.Type","Demand.Loss..MW.","Number.of.Customers.Affected","Alert.Criteria"
"1",3,"June","2014-06-30","20:00:00","2014-07-02 ","18:30:00","Illinois","RFC","Severe Weather - Thunderstorms","Unknown","420000",""
"2",5,"September","2014-09-05","16:30:00","2014-09-06","14:00:00","Illinois","RFC","Severe Weather - Thunderstorms","Unknown","180400",""
"3",6,"August","2015-08-03","00:30:00","2015-08-03","02:00:00","Illinois","RFC","Severe Weather","Unknown","115000","Loss of electric service to more than 50,000 customers for 1 hour or more"
"4",7,"July","07/23/2017","04:00:00","Unknown","Unknown","Missouri: Illinois","SERC","Severe Weather","Unknown","82000","Loss of electric service to more than 50,000 customers for 1 hour or more"
"5",8,"June","06/28/2018","18:36:00","07/01/2018","07:00:00","Missouri: Illinois:","SERC","Severe Weather","Unknown","112000","Loss of electric service to more than 50,000 customers for 1 hour or more"
"6",9,"August","08/29/2018","00:00:00","08/30/2018","00:00:00","Illinois:","SERC","Severe Weather","Unknown","100000","Loss of electric service to more than 50,000 customers for 1 hour or more."
"7",13,"November","11/25/2018","22:30:00","11/28/2018","20:17:00","Illinois: Will County, DuPage County, Kane County, McHenry County, Winnebago County, Ogle County, DeKalb County, Lee County, Grundy County, Lake County, Cook County, Livingston County, Stephenson County, LaSalle County, Kankakee County, Kendall County, Boone County;","SERC","Severe Weather","Unknown","313448","Loss of electric service to more than 50,000 customers for 1 hour or more."
"8",15,"January","01/30/2019","07:00:00","01/30/2019","08:08:00","Illinois: Pike County;","SERC","Severe Weather","Unknown","Unknown","Fuel supply emergencies that could impact electric power system adequacy or reliability."
"9",17,"June","06/30/2019","15:30:00","06/30/2019","20:30:00","Illinois: Cook County, DeKalb County, DuPage County, Grundy County, Iroquois County, Ford County, Lake County, Kendall County, Kankakee County, Kane County, Ogle County;","SERC","Severe Weather","Unknown","100000","Loss of electric service to more than 50,000 customers for 1 hour or more."
"10",21,"August","08/10/2020","16:00:00","08/13/2020","15:00:00","Illinois: Missouri:","SERC","Severe Weather","Unknown","135000","Loss of electric service to more than 50,000 customers for 1 hour or more."
"11",22,"August","08/10/2020","14:30:00","Unknown","Unknown","Illinois: Cook County, Will County, DuPage County, Lake County, Kane County, Grundy County, LaSalle County, DeKalb County, McHenry County, Lee County;","SERC","Severe Weather","Unknown","856000","Loss of electric service to more than 50,000 customers for 1 hour or more."
"12",23,"August","08/10/2020","10:00:00","Unknown","Unknown","Iowa: Dallas County, Polk County, Warren County, Madison County, Johnson County, Scott County; Illinois: Rock Island County, Henry County, Mercer County;","MRO","Severe Weather","950","300000","Loss of electric service to more than 50,000 customers for 1 hour or more."
"13",27,"February","02/16/2021","05:30:00","02/16/2021","14:00:00","Louisiana: Texas: Illinois:","SERC","Severe Weather","1420","Unknown","Firm load shedding of 100 Megawatts or more implemented under emergency operational policy."
"14",30,"August","08/10/2021","20:30:00","08/11/2021","19:00:00","Illinois:","RF/SERC","Severe Weather","Unknown","318761","Loss of electric service to more than 50,000 customers for 1 hour or more"
"15",31,"August","08/12/2021","18:57:00","08/13/2021","06:00:00","Illinois: Missouri:","RF/SERC","Severe Weather","Unknown","101000","Loss of electric service to more than 50,000 customers for 1 hour or more"
"16",35,"April","04/23/2022","19:42:00","04/24/2022","16:17:00","Iowa: Polk County, Warren County; Illinois:","SERC/MRO","Severe Weather","43","22400","Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
"17",36,"June","06/17/2022","06:02:00","Unknown","Unknown","Illinois: Missouri:","SERC/RF","Severe Weather","Unknown","80000","Cyber event that could potentially impact electric power system adequacy or reliability"
"18",43,"March","03/31/2023","20:49:00","Unknown","Unknown","Illinois:","SERC / RF","Severe Weather","Unknown","65000","Loss of electric service to more than 50,000 customers for 1 hour or more"
"19",45,"July","2023-07-28 00:00:00","21:00:00","2023-07-30 00:00:00","10:00:00","Illinois: Winnebago County, Cook County, Will County, DeKalb County, Kendall County;","MRO/RF","- Weather or natural disaster","Unknown","122921","Loss of electric service to more than 50,000 customers for 1 hour or more."
"20",47,"August","","21:00:00","2023-07-30 00:00:00","10:00:00","Illinois: Winnebago County, Cook County, Will County, DeKalb County, Kendall County;","MRO/RF","- Weather or natural disaster","Unknown","122921","Loss of electric service to more than 50,000 customers for 1 hour or more."
