"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","REM"
"99725599999","2020-01-01T00:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","240,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0023,1","-0059,1","10091,1","1,1,013,1,+999,9","5,99,0072,1,999","SYN074CMTI2 46/// /2408 11023 21059 40091 51013 90000 333 91214 555 11008 22009="
"99725599999","2020-01-01T01:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","250,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0020,1","-0054,1","10092,1","1,1,008,1,+999,9","5,99,0082,1,999","SYN074CMTI2 46/// /2508 11020 21054 40092 51008 90100 333 91216 555 11008 22008="
"99725599999","2020-01-01T02:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","240,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0017,1","-0049,1","10093,1","1,1,005,1,+999,9","5,99,0072,1,999","SYN074CMTI2 46/// /2408 11017 21049 40093 51005 90200 333 91214 555 11008 22009="
"99725599999","2020-01-01T03:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","240,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0018,1","-0049,1","10093,1","4,1,000,1,+999,9","5,99,0067,1,999","SYN074CMTI2 46/// /2406 11018 21049 40093 54000 90300 333 91213 555 11006 22007="
"99725599999","2020-01-01T04:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","250,1,N,0015,1","99999,9,9,N","999999,9,9,9","-0021,1","-0049,1","10094,1","4,1,000,1,+999,9","5,99,0031,1,999","SYN074CMTI2 46/// /2503 11021 21049 40094 54000 90400 333 91206 555 11003 22004="
"99725599999","2020-01-01T05:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","250,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0020,1","-0046,1","10095,1","4,1,000,1,+999,9","5,99,0062,1,999","SYN074CMTI2 46/// /2506 11020 21046 40095 54000 90500 333 91212 555 11006 22006="
"99725599999","2020-01-01T06:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","230,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0022,1","-0045,1","10092,1","9,9,000,1,+999,9","5,99,0051,1,999","SYN074CMTI2 46/// /2305 11022 21045 40092 50000 90600 333 91210 555 11005 22005="
"99725599999","2020-01-01T07:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","250,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0023,1","-0044,1","10092,1","4,1,000,1,+999,9","5,99,0051,1,999","SYN074CMTI2 46/// /2507 11023 21044 40092 54000 90700 333 91210 555 11007 22007="
"99725599999","2020-01-01T08:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","250,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0030,1","-0049,1","10092,1","6,1,003,1,+999,9","5,99,0062,1,999","SYN074CMTI2 46/// /2505 11030 21049 40092 56003 90800 333 91212 555 11005 22005="
"99725599999","2020-01-01T09:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","230,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0035,1","-0052,1","10095,1","3,1,003,1,+999,9","5,99,0051,1,999","SYN074CMTI2 46/// /2307 11035 21052 40095 53003 90900 333 91210 555 11007 22007="
"99725599999","2020-01-01T10:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","220,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0040,1","-0055,1","10093,1","4,1,000,1,+999,9","5,99,0046,1,999","SYN074CMTI2 46/// /2206 11040 21055 40093 54000 91000 333 91209 555 11006 22006="
"99725599999","2020-01-01T11:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","230,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0044,1","-0055,1","10091,1","9,9,000,1,+999,9","5,99,0051,1,999","SYN074CMTI2 46/// /2306 11044 21055 40091 50000 91100 333 91210 555 11006 22007="
"99725599999","2020-01-01T12:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","220,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0047,1","-0058,1","10091,1","7,1,004,1,+999,9","5,99,0051,1,999","SYN074CMTI2 46/// /2207 11047 21058 40091 57004 91200 333 91210 555 11007 22007="
"99725599999","2020-01-01T13:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","220,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0046,1","-0058,1","10091,1","4,1,000,1,+999,9","5,99,0046,1,999","SYN074CMTI2 46/// /2206 11046 21058 40091 54000 91300 333 91209 555 11006 22007="
"99725599999","2020-01-01T14:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","210,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0040,1","-0051,1","10092,1","4,1,000,1,+999,9","5,99,0051,1,999","SYN074CMTI2 46/// /2107 11040 21051 40092 54000 91400 333 91210 555 11007 22007="
