"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","OD1","REM","EQD"
"99849999999","2020-01-01T00:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","260,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0019,1","-0063,1","99999,9",,,"5,99,0088,1,999","SYN062CNII2 46/// /2612 11019 21063 92345 333 91217 555 11012 22013=",
"99849999999","2020-01-01T00:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","SHEF ","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","-0022,1","+9999,9","99999,9","240,M,-0011,1","240,N,-0033,1",,,
"99849999999","2020-01-01T01:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","270,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0016,1","-0057,1","99999,9",,,"5,99,0077,1,999","SYN062CNII2 46/// /2709 11016 21057 90045 333 91215 555 11009 22009=",
"99849999999","2020-01-01T02:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","280,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0016,1","-0055,1","99999,9",,,"5,99,0082,1,999","SYN062CNII2 46/// /2812 11016 21055 90145 333 91216 555 11012 22013=",
"99849999999","2020-01-01T03:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","260,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0016,1","-0053,1","99999,9",,,"5,99,0098,1,999","SYN062CNII2 46/// /2608 11016 21053 90245 333 91219 555 11008 22009=",
"99849999999","2020-01-01T04:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","250,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0016,1","-0051,1","99999,9",,,"5,99,0088,1,999","SYN062CNII2 46/// /2509 11016 21051 90345 333 91217 555 11009 22010=",
"99849999999","2020-01-01T05:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","280,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0016,1","-0048,1","99999,9",,,"5,99,0072,1,999","SYN062CNII2 46/// /2811 11016 21048 90445 333 91214 555 11011 22011=",
"99849999999","2020-01-01T06:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","240,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0019,1","-0048,1","99999,9",,,"5,99,0072,1,999","SYN062CNII2 46/// /2407 11019 21048 90545 333 91214 555 11007 22008=",
"99849999999","2020-01-01T07:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","270,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0025,1","-0053,1","99999,9",,,"5,99,0067,1,999","SYN062CNII2 46/// /2705 11025 21053 90645 333 91213 555 11005 22005=",
"99849999999","2020-01-01T08:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","280,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0028,1","-0055,1","99999,9",,,"5,99,0072,1,999","SYN062CNII2 46/// /2809 11028 21055 90745 333 91214 555 11009 22010=",
"99849999999","2020-01-01T09:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","260,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0032,1","-0058,1","99999,9",,,"5,99,0057,1,999","SYN062CNII2 46/// /2609 11032 21058 90845 333 91211 555 11009 22010=",
"99849999999","2020-01-01T10:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","260,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0035,1","-0061,1","99999,9",,,"5,99,0057,1,999","SYN062CNII2 46/// /2607 11035 21061 90945 333 91211 555 11007 22008=",
"99849999999","2020-01-01T11:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","240,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0036,1","-0059,1","99999,9",,,"5,99,0062,1,999","SYN062CNII2 46/// /2409 11036 21059 91045 333 91212 555 11009 22010=",
"99849999999","2020-01-01T12:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","240,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0039,1","-0063,1","99999,9",,,"5,99,0067,1,999","SYN062CNII2 46/// /2411 11039 21063 91145 333 91213 555 11012 22013=",
"99849999999","2020-01-01T13:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","250,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0042,1","-0067,1","99999,9",,,"5,99,0067,1,999","SYN062CNII2 46/// /2509 11042 21067 91245 333 91213 555 11009 22010=",
"99849999999","2020-01-01T14:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","230,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0041,1","-0067,1","99999,9",,,"5,99,0067,1,999","SYN062CNII2 46/// /2304 11041 21067 91345 333 91213 555 11004 22005=",
"99849999999","2020-01-01T15:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","210,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0028,1","-0053,1","99999,9",,,"5,99,0062,1,999","SYN062CNII2 46/// /2105 11028 21053 91445 333 91212 555 11005 22005=",
