"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","OD1","REM"
"99849999999","2021-01-01T00:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","190,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0024,1","-0069,1","99999,9",,,"5,99,0031,1,999","SYN062CNII2 46/// /1902 11024 21069 90000 333 91206 555 11002 22002="
"99849999999","2021-01-01T01:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","250,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0023,1","-0067,1","99999,9",,,"5,99,0031,1,999","SYN062CNII2 46/// /2502 11023 21067 90045 333 91206 555 11002 22002="
"99849999999","2021-01-01T16:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","030,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0004,1","-0025,1","99999,9",,,"5,99,0088,1,999","SYN062CNII2 46/// /0311 11004 21025 91600 333 91217 555 11011 22012="
"99849999999","2021-01-01T17:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","050,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0003,1","-0026,1","99999,9",,,"5,99,0088,1,999","SYN062CNII2 46/// /0511 11003 21026 91645 333 91217 555 11011 22012="
"99849999999","2021-01-01T18:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","030,1,N,0077,1","99999,9,9,N","999999,9,9,9","-0002,1","-0021,1","99999,9",,,,"SYN052CNII2 46/// /0315 11002 21021 91745 555 11015 22016="
"99849999999","2021-01-01T19:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","040,1,N,0108,1","99999,9,9,N","999999,9,9,9","+0000,1","-0013,1","99999,9",,,"5,99,0134,1,999","SYN062CNII2 46/// /0421 10000 21013 91900 333 91226 555 11021 22023="
"99849999999","2021-01-01T20:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","050,1,N,0088,1","99999,9,9,N","999999,9,9,9","+0003,1","-0009,1","99999,9",,,"5,99,0134,1,999","SYN062CNII2 46/// /0517 10003 21009 91945 333 91226 555 11017 22019="
"99849999999","2021-01-01T21:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","050,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0007,1","-0002,1","99999,9",,,"5,99,0113,1,999","SYN062CNII2 46/// /0516 10007 21002 92045 333 91222 555 11016 22017="
"99849999999","2021-01-01T22:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","040,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0008,1","+0000,1","99999,9",,,"5,99,0108,1,999","SYN062CNII2 46/// /0418 10008 20000 92145 333 91221 555 11018 22020="
"99849999999","2021-01-01T23:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","050,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0012,1","+0004,1","99999,9",,,"5,99,0108,1,999","SYN062CNII2 46/// /0515 10012 20004 92245 333 91221 555 11015 22017="
"99849999999","2021-01-02T00:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","040,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0013,1","+0006,1","99999,9",,,"5,99,0103,1,999","SYN062CNII2 46/// /0412 10013 20006 92345 333 91220 555 11012 22013="
"99849999999","2021-01-02T00:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","SHEF ","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+0006,1","+9999,9","99999,9","240,M,+0017,1",,,
"99849999999","2021-01-02T01:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","030,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0011,1","+0005,1","99999,9",,,"5,99,0077,1,999","SYN062CNII2 46/// /0307 10011 20005 90045 333 91215 555 11007 22008="
