ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE,GeoLevel,Comparison,STATE_NAME,STATE_ABBR,COUNTY_FIPS,COUNTY_NAME
17,Illinois,IL,17001,Adams,17001,"Adams County, Illinois",855.148820839176,65670,0,30226,109,27199,396,13408,1314,1400,235,5429,513,3581,446,3082,537,13282,106,14877,90,9900,702,1626,293,33,105,5682,403,1523,310,1447,269,452,163,1992,295,1398,235,20.9,2.0,4.1,0.7,20.0,1.9,7.8,1.0,4.8,0.8,20.2,0.2,22.7,0.1,15.4,1.1,6.0,1.1,0.1,0.2,8.7,0.6,5.0,1.0,4.8,0.9,1.7,0.6,7.3,1.1,2.1,0.4,0.3673,0.3323,0.339,0.2333,0.1378,1.4097,0.1696,0.6273,0.5837,0.485,0.5726,0.0859,2.3545,0.4195,0.2778,0.2778,0.2778,0.6852,0.2355,0.4363,0.7387,0.5245,2.6202,0.5652,6.6622,0.2829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69192,9879,1122,2641,250,1079,0,483,120,112,73,9,15,1280,273,78,76,15.4,0.1,4.0,0.4,1.6,0.0,0.7,0.2,0.2,0.1,0.0,0.1,1.9,0.4,0.1,0.1,County,National,Illinois,IL,17001,Adams County
17,Illinois,IL,17003,Alexander,17003,"Alexander County, Illinois",235.39394340203,6011,0,3965,36,2252,182,2233,317,162,71,619,143,610,144,465,123,1352,0,1359,0,1366,177,211,83,0,68,2242,95,395,112,444,87,25,19,234,96,156,80,37.9,5.4,7.7,3.3,27.5,5.9,14.2,3.3,7.9,2.1,22.5,0.0,22.6,0.0,23.1,3.0,9.4,3.6,0.0,1.2,37.3,1.6,10.0,2.8,11.2,2.2,1.1,0.8,10.4,4.1,2.6,1.3,0.9344,0.8682,0.8418,0.6747,0.4494,3.7685,0.8896,0.7941,0.5659,0.9293,0.9195,0.0,3.2088,0.9115,0.7642,0.7642,0.7642,0.8727,0.529,0.1996,0.9287,0.6139,3.1439,0.8323,10.8854,0.923,1,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,1,4,4357,2205,295,2107,59,62,53,2,3,6,9,0,17,65,46,0,17,37.7,0.5,35.1,1.0,1.0,0.9,0.0,0.1,0.1,0.2,0.0,0.5,1.1,0.8,0.0,0.5,County,National,Illinois,IL,17003,Alexander County
17,Illinois,IL,17005,Bond,17005,"Bond County, Illinois",380.335603695792,16520,0,7276,176,6359,286,3654,567,186,57,1220,227,1191,213,926,225,3103,52,3152,153,2615,375,310,148,20,74,2049,170,250,110,1011,161,294,197,456,139,1787,410,24.8,3.8,2.6,0.8,19.2,3.5,10.1,1.8,6.1,1.5,18.8,0.3,19.1,0.9,17.1,2.3,4.9,2.3,0.1,0.5,12.4,1.0,3.4,1.5,13.9,2.3,4.6,3.1,7.2,2.2,10.8,2.5,0.5496,0.112,0.2718,0.4131,0.2839,1.6304,0.2218,0.4933,0.168,0.6334,0.3485,0.0859,1.7291,0.0955,0.3908,0.3908,0.3908,0.5522,0.6318,0.9087,0.7292,0.9424,3.7643,0.9831,7.5146,0.4335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,12881,2407,667,1106,116,593,0,52,61,229,91,0,19,49,51,20,25,16.3,0.5,6.7,0.7,3.6,0.0,0.3,0.4,1.4,0.5,0.0,0.2,0.3,0.3,0.1,0.2,County,National,Illinois,IL,17005,Bond County
17,Illinois,IL,17007,Boone,17007,"Boone County, Illinois",280.740408239036,53293,0,20079,49,18799,323,7755,1065,2087,463,4873,655,4674,536,2827,583,8319,257,13178,31,6604,703,1268,309,1346,348,14647,377,539,173,878,206,380,156,638,178,355,102,14.7,2.0,7.5,1.6,25.9,3.5,13.3,1.5,5.3,1.1,15.6,0.5,24.7,0.1,12.5,1.3,6.7,1.6,2.7,0.7,27.5,0.7,2.7,0.9,4.4,1.0,2.0,0.8,3.4,0.9,0.7,0.2,0.106,0.8587,0.7693,0.6286,0.1926,2.5552,0.5185,0.2046,0.8189,0.2171,0.6862,0.8367,2.7635,0.6945,0.6502,0.6502,0.6502,0.4682,0.2104,0.5344,0.1604,0.0799,1.4533,0.085,7.4222,0.4153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45836,3556,682,1319,198,11825,0,530,90,81,115,0,28,892,283,0,28,6.7,0.0,2.5,0.4,22.2,0.0,1.0,0.2,0.2,0.2,0.0,0.1,1.7,0.5,0.0,0.1,County,National,Illinois,IL,17007,Boone County
17,Illinois,IL,17009,Brown,17009,"Brown County, Illinois",305.726616155852,6599,0,2454,147,2090,181,1088,260,74,41,306,99,851,155,295,126,980,35,1183,184,930,190,88,45,59,74,1725,299,83,62,296,71,57,45,122,59,1856,338,23.1,5.2,3.1,1.8,14.6,4.6,17.6,2.8,6.2,2.7,14.9,0.5,17.9,2.8,19.6,3.5,4.2,2.1,0.9,1.2,26.1,4.5,3.4,2.5,12.1,2.8,2.7,2.1,5.8,3.0,28.1,5.1,0.4714,0.1626,0.0563,0.818,0.2944,1.8027,0.2718,0.1617,0.0987,0.8065,0.2116,0.5512,1.8297,0.1302,0.6353,0.6353,0.6353,0.5522,0.5694,0.7237,0.5363,0.9927,3.3743,0.9144,7.642,0.4554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7714,795,488,1184,240,441,0,0,17,35,91,0,17,65,151,0,17,16.8,1.2,17.9,3.6,6.7,0.0,0.0,0.5,0.5,1.4,0.0,0.5,1.0,2.3,0.0,0.5,County,National,Illinois,IL,17009,Brown County
17,Illinois,IL,17011,Bureau,17011,"Bureau County, Illinois",869.071026910202,32878,0,15679,79,13801,253,7039,743,830,143,2722,284,2187,213,1564,234,7231,47,7040,7,4332,302,861,168,400,102,4219,163,639,127,424,72,155,56,795,145,436,147,21.8,2.3,5.0,0.8,19.7,2.0,9.3,0.9,4.8,0.7,22.0,0.1,21.4,0.0,13.3,0.9,6.2,1.2,1.3,0.3,12.8,0.5,4.1,0.8,2.7,0.5,1.1,0.4,5.8,1.1,1.3,0.4,0.4102,0.5172,0.3148,0.353,0.1378,1.733,0.2518,0.7651,0.395,0.2794,0.6108,0.6601,2.7104,0.6671,0.4023,0.4023,0.4023,0.6251,0.1114,0.1996,0.5363,0.2686,1.741,0.1588,6.5867,0.2721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27592,4102,464,262,82,3067,0,256,56,76,30,3,4,520,120,35,38,12.6,0.1,0.8,0.3,9.3,0.0,0.8,0.2,0.2,0.1,0.0,0.1,1.6,0.4,0.1,0.1,County,National,Illinois,IL,17011,Bureau County
17,Illinois,IL,17013,Calhoun,17013,"Calhoun County, Illinois",253.829317372768,4782,0,2896,26,1661,91,670,133,94,46,266,64,222,59,46,28,1137,7,984,13,871,148,38,29,1,46,181,70,6,13,340,80,15,17,55,23,124,39,14.4,2.8,4.4,2.1,16.0,3.8,6.4,1.7,1.0,0.6,23.8,0.1,20.6,0.3,18.5,3.2,2.3,1.7,0.0,1.0,3.8,1.5,0.2,0.4,11.7,2.8,0.9,1.0,3.3,1.4,2.6,0.8,0.0964,0.3912,0.0942,0.1219,0.0006,0.7043,0.042,0.8558,0.3011,0.7384,0.0395,0.0,1.9348,0.1731,0.0344,0.0344,0.0344,0.0442,0.5493,0.1407,0.1486,0.6139,1.4967,0.0936,4.1702,0.0309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2470,882,202,29,32,61,0,52,50,15,19,0,12,24,27,0,12,18.9,0.2,0.6,0.7,1.3,0.0,1.1,1.0,0.3,0.4,0.0,0.7,0.5,0.6,0.0,0.7,County,National,Illinois,IL,17013,Calhoun County
17,Illinois,IL,17015,Carroll,17015,"Carroll County, Illinois",445.406263720902,14398,0,8453,143,6511,276,2457,383,395,105,1241,200,1056,164,730,175,3648,45,2721,59,2031,195,241,77,31,69,1018,140,343,105,345,98,12,11,300,85,579,266,17.9,2.8,5.8,1.6,19.1,3.0,9.9,1.5,5.3,1.3,25.3,0.3,18.9,0.4,14.6,1.4,3.7,1.2,0.2,0.5,7.1,1.0,4.1,1.2,4.1,1.2,0.2,0.2,4.6,1.3,4.0,1.8,0.2228,0.6617,0.2651,0.3994,0.1926,1.7416,0.2543,0.8978,0.155,0.4087,0.1423,0.1604,1.7642,0.106,0.2094,0.2094,0.2094,0.6251,0.1916,0.0201,0.3412,0.7584,1.9364,0.2237,5.6516,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11425,1600,452,300,105,546,0,71,42,7,7,0,19,77,76,17,25,11.6,0.2,2.1,0.7,3.8,0.0,0.5,0.3,0.0,0.1,0.0,0.2,0.5,0.5,0.1,0.2,County,National,Illinois,IL,17015,Carroll County
17,Illinois,IL,17017,Cass,17017,"Cass County, Illinois",375.753772960808,12324,0,5816,56,5068,159,2938,453,394,118,986,184,1390,203,587,158,2193,66,3008,20,1693,190,283,87,805,226,3094,187,115,58,725,171,80,41,297,85,160,90,24.1,3.7,6.4,1.9,19.5,3.6,16.6,2.4,4.8,1.3,17.8,0.5,24.4,0.2,13.9,1.5,5.6,1.7,7.0,2.0,25.1,1.5,2.0,1.0,12.5,2.9,1.6,0.8,5.9,1.6,1.3,0.7,0.5197,0.7549,0.2995,0.7794,0.1378,2.4913,0.4911,0.3851,0.7941,0.3421,0.4914,0.9577,2.9704,0.8132,0.6232,0.6232,0.6232,0.3622,0.5808,0.4023,0.5493,0.2686,2.1632,0.3151,8.2481,0.5532,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,12152,1991,359,464,123,2368,0,9,12,23,18,72,126,148,58,10,13,16.4,0.1,3.8,1.0,19.2,0.0,0.1,0.1,0.2,0.1,0.6,1.0,1.2,0.5,0.1,0.1,County,National,Illinois,IL,17017,Cass County
17,Illinois,IL,17019,Champaign,17019,"Champaign County, Illinois",996.103306937662,210006,0,93679,322,83059,997,51640,2267,5152,678,24259,1207,6254,690,9153,910,26858,105,39634,74,19043,1089,5178,487,2768,561,70342,1112,23170,1161,3664,380,2919,549,9626,751,15430,683,26.6,1.2,4.8,0.6,29.2,1.4,5.1,0.6,4.4,0.4,12.8,0.1,18.9,0.0,9.1,0.5,6.2,0.6,1.4,0.3,33.5,0.5,24.7,1.2,3.9,0.4,3.5,0.7,11.6,0.9,7.3,0.3,0.6404,0.4742,0.9004,0.0538,0.1057,2.1745,0.3854,0.0684,0.155,0.0372,0.6108,0.6814,1.5528,0.0522,0.7212,0.7212,0.7212,0.9866,0.1779,0.831,0.9554,0.8822,3.8331,0.9905,8.2816,0.5605,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,216430,24442,1979,27967,642,12770,0,22757,421,203,106,56,48,6243,780,346,164,12.6,0.0,13.3,0.3,6.1,0.0,10.8,0.2,0.1,0.1,0.0,0.1,3.0,0.4,0.2,0.1,County,National,Illinois,IL,17019,Champaign County
