,county,fips_code
0,Adams,17001
1,Alexander,17003
2,Bond,17005
3,Boone,17007
4,Brown,17009
5,Bureau,17011
6,Calhoun,17013
7,Carroll,17015
8,Cass,17017
9,Champaign,17019
10,Christian,17021
11,Clark,17023
12,Clay,17025
13,Clinton,17027
14,Coles,17029
15,Cook,17031
16,Crawford,17033
17,Cumberland,17035
18,De Witt,17039
19,DeKalb,17037
20,Douglas,17041
21,DuPage,17043
22,Edgar,17045
23,Edwards,17047
24,Effingham,17049
25,Fayette,17051
26,Ford,17053
27,Franklin,17055
28,Fulton,17057
29,Gallatin,17059
30,Greene,17061
31,Grundy,17063
32,Hamilton,17065
33,Hancock,17067
34,Hardin,17069
35,Henderson,17071
36,Henry,17073
37,Iroquois,17075
38,Jackson,17077
39,Jasper,17079
40,Jefferson,17081
41,Jersey,17083
42,Jo Daviess,17085
43,Johnson,17087
44,Kane,17089
45,Kankakee,17091
46,Kendall,17093
47,Knox,17095
48,LaSalle,17099
49,Lake,17097
50,Lawrence,17101
51,Lee,17103
52,Livingston,17105
53,Logan,17107
54,Macon,17115
55,Macoupin,17117
56,Madison,17119
57,Marion,17121
58,Marshall,17123
59,Mason,17125
60,Massac,17127
61,McDonough,17109
62,McHenry,17111
63,McLean,17113
64,Menard,17129
65,Mercer,17131
66,Monroe,17133
67,Montgomery,17135
68,Morgan,17137
69,Moultrie,17139
70,Ogle,17141
71,Peoria,17143
72,Perry,17145
73,Piatt,17147
74,Pike,17149
75,Pope,17151
76,Pulaski,17153
77,Putnam,17155
78,Randolph,17157
79,Richland,17159
80,Rock Island,17161
81,Saline,17165
82,Sangamon,17167
83,Schuyler,17169
84,Scott,17171
85,Shelby,17173
86,St. Clair,17163
87,Stark,17175
88,Stephenson,17177
89,Tazewell,17179
90,Union,17181
91,Vermilion,17183
92,Wabash,17185
93,Warren,17187
94,Washington,17189
95,Wayne,17191
96,White,17193
97,Whiteside,17195
98,Will,17197
99,Williamson,17199
100,Winnebago,17201
101,Woodford,17203
