Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Yearly Energy and Demand Savings,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Program Costs,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,DSM Program
,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2014,84,A & N Electric Coop,VA,2200,.,.,.,2200,100,.,.,.,100,1.5,.,.,.,1.5,1.1,.,.,.,1.1,17,.,.,.,17,.,.,.,.,.,.
2014,97,Adams Electric Coop,IL,4239,66,.,.,4305,.,.,.,.,.,4,4,.,.,8,4,.,.,.,4,68,.,.,.,68,10,.,.,.,10,51
2014,108,Adams-Columbia Electric Coop,WI,4311,.,867,.,5178,1274,.,5382,.,6656,22.4,.,56.4,.,78.8,6.7,.,8.2,.,14.9,.,.,.,.,.,131,.,.,.,131,8
2014,189,PowerSouth Energy Cooperative,AL,13277,.,.,.,13277,0,.,.,.,0,11,.,.,.,11,11,.,.,.,11,0,.,.,.,0,347,.,.,.,347,1966
2014,195,Alabama Power Co,AL,3679,63,121,.,3863,320,2621,2230,.,5171,209.5,81.5,1227,.,1518,0.7,81.5,70.8,.,153,92,.,.,.,92,898,2194,22677,.,25769,.
2014,213,Alaska Electric Light&Power Co,AK,2379,48,1,.,2428,.,.,.,.,.,5,13,9,.,27,.,13,9,.,22,65,1,.,.,66,13,.,.,.,13,0
2014,295,City of Alexandria - (MN),MN,2748,.,.,.,2748,.,.,.,.,.,8.8,.,.,.,8.8,3.6,.,.,.,3.6,5,.,.,.,5,43,.,.,.,43,13
2014,307,Algoma Utility Comm,WI,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
2014,309,City of Algona - (IA),IA,125,.,.,.,125,9,.,.,.,9,0.2,.,.,.,0.2,0.2,.,.,.,0.2,.,.,.,.,.,14,.,.,.,14,.
2014,329,"Allamakee-Clayton El Coop, Inc",IA,3363,177,.,.,3540,.,.,.,.,.,4.9,1.8,.,.,6.7,2.2,0.8,.,.,3,480,.,.,.,480,167,9,.,.,176,.
2014,407,Altamaha Electric Member Corp,GA,.,.,180,.,180,.,.,0,.,0,.,.,10.6,.,10.6,.,.,5.3,.,5.3,.,.,10,.,10,.,.,0,.,0,0
2014,590,City of Anaheim - (CA),CA,.,.,.,.,.,.,.,.,.,.,.,9.5,3,.,12.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,636,City of Anderson - (IN),IN,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,733,Appalachian Power Co,VA,0,1,5,0,6,0,0,0,.,0,0,0.2,45.9,.,46.1,0,0.2,45.9,.,46.1,0,0,0,0,0,0,0,0,0,0,0
2014,733,Appalachian Power Co,WV,0,0,5,0,5,0,0,0,0,0,0,0,83.9,0,83.9,0,0,83.9,0,83.9,0,0,0,0,0,0,0,0,0,0,0
2014,803,Arizona Public Service Co,AZ,567324,840,.,.,568164,693059,153300,.,.,846359,157.5,25,.,.,182.5,157.5,.,.,.,157.5,.,.,.,.,.,1821,49,.,.,1870,.
2014,807,Arkansas Electric Coop Corp,AR,.,.,9,.,9,.,.,.,.,.,.,.,628,.,628,.,.,159,.,159,.,.,29388,.,29388,.,.,.,.,.,.
2014,814,Entergy Arkansas Inc,AR,17018,.,1049,.,18067,.,.,.,.,.,15.9,.,6.6,.,22.5,15.9,.,6.6,.,22.5,706,.,319,.,1025,3053,.,3492,.,6545,.
2014,828,City of Arlington - (MN),MN,444,33,0,0,477,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,1,0,0,12,0,0,0,0,0,.
2014,963,Atlantic City Electric Co,NJ,44859,.,.,.,44859,609,.,.,.,609,50.7,.,.,.,50.7,50.7,.,.,.,50.7,636,.,.,.,636,4361,.,.,.,4361,.
2014,965,Atlantic Municipal Utilities,IA,329,75,.,.,404,25,31,.,.,56,0.5,0.2,.,.,0.7,0.5,0.2,.,.,0.7,8,1,.,.,9,7,2,.,.,9,.
2014,1009,City of Austin - (MN),MN,6201,2,1,.,6204,421,3,.,.,424,3.5,0.4,14,.,17.9,3.5,0.4,6.4,.,10.3,0,19,930,.,949,.,.,.,.,.,.
2014,1015,Austin Energy,TX,117055,9038,2259,.,128352,54,.,.,.,54,51.2,32.5,10.6,.,94.3,9,18,7.7,.,34.7,1248,193,64,.,1505,789,839,279,.,1907,2462
2014,1062,BARC Electric Coop Inc,VA,2035,.,.,.,2035,.,.,.,.,.,9.2,.,.,.,9.2,.,.,.,.,.,25,.,.,.,25,.,.,.,.,.,0
2014,1167,Baltimore Gas & Electric Co,MD,397066,.,.,.,397066,1475,.,.,.,1475,393.2,.,.,.,393.2,0,.,.,.,0,22909,.,.,.,22909,13502,.,.,.,13502,.
2014,1196,Village of Baraga - (MI),MI,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
2014,1233,City of Barnesville - (MN),MN,849,60,.,.,909,9,.,.,.,9,1,.,.,.,1,1,.,.,.,1,5,.,.,.,5,10,.,.,.,10,.
