Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Number and Capacity,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Capacity by Technology Type (MW),Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Data Year,Utility Number,Utility Name,State,Number of Generators,Total Capacity in MWs,Capacity Back-up Only,Capacity Utility Owned,Estimated or Actual Data,Internal Combustion Engine,Combusiton Turbine,Steam Turbine,HydroElectric,Wind,Photovoltaic,Storage,Other,Total,Estimated or Actual Data
2014,55,City of Aberdeen - (MS),MS,1,0.01,0,0,A,0,0,0,0,0,0.01,0,0,0.01,A
2014,97,Adams Electric Coop,IL,1,0.9,.,0.9,A,.,.,.,.,0.9,.,.,.,0.9,A
2014,123,City of Adel- (GA),GA,2,0.5,.,.,A,0.5,.,.,.,.,.,.,.,0.5,A
2014,221,"Alaska Village Elec Coop, Inc",AK,16,6,.,.,A,5,.,.,.,1,.,.,.,6,A
2014,232,City of Albemarle - (NC),NC,1,0.4,0.4,0,A,0.4,.,.,.,.,.,.,.,0.4,A
2014,240,Albemarle Electric Member Corp,NC,5,0,.,0,A,.,.,.,.,.,0,.,.,0,A
2014,276,Alcorn County Elec Power Assn,MS,3,0.07,0,0,A,0,0,0,0,0,0.07,0,0,0.07,A
2014,295,City of Alexandria - (MN),MN,1,0.5,0.5,.,A,.,.,0.5,.,.,.,.,.,0.5,A
2014,307,Algoma Utility Comm,WI,2,0.1,.,.,A,.,0,0,0,0,0.1,0,.,0.1,A
2014,392,Alpena Power Co,MI,28,6.9,.,.,A,.,.,.,6.7,0.1,0.1,.,.,6.9,A
2014,577,City of Alcoa Utilities,TN,16,0.17,0,0,A,0,0,0,0,0,0.17,0,0,0.17,A
2014,727,Appalachian Electric Coop,TN,19,0.27,0,0,A,0,0,0,0,0,0.27,0,0,0.27,A
2014,733,Appalachian Power Co,VA,6,0.8,0,0,A,0.3,0.1,0,0.4,0,0,0,0,0.8,A
2014,750,Arab Electric Coop Inc,AL,2,0.02,0,0,A,0,0,0,0,0,0.02,0,0,0.02,A
2014,907,City of Ashland - (OR),OR,10,2,2,2,A,2,.,.,.,.,.,.,.,2,A
2014,944,City of Athens - (AL),AL,7,0.11,0,0,A,0,0,0,0,0,0.11,0,0,0.11,A
2014,947,Athens Utility Board,TN,32,0.55,0,0,A,0,0,0,0,0,0.55,0,0,0.55,A
2014,963,Atlantic City Electric Co,NJ,7001,123.2,0,0,A,0.8,.,.,.,0.3,122.1,.,.,123.2,A
2014,1009,City of Austin - (MN),MN,13,0.1,.,0,A,.,.,.,.,0.1,0,.,.,0.1,A
2014,1015,Austin Energy,TX,2,1.2,0,1.2,A,0,0.9,.,.,0,0.3,.,.,1.2,E
2014,1050,City of Azusa,CA,4,0.2,.,.,,.,.,.,.,.,0.2,.,.,0.2,
2014,1062,BARC Electric Coop Inc,VA,1,0.5,.,.,A,.,.,.,0.5,.,.,.,.,0.5,A
2014,1196,Village of Baraga - (MI),MI,1,0.1,.,.,A,.,0,0,0,0,0.1,0,.,0.1,A
2014,1525,City of Beloit - (KS),KS,1,0.8,.,0.8,A,0.8,.,.,.,.,.,.,.,0.8,A
2014,1578,Benton County,TN,2,0.01,0,0,A,0,0,0,0,0,0.01,0,0,0.01,A
2014,1776,City of Black River Falls,WI,3,0.1,.,.,A,.,0,0,0,0,0.1,0,.,0.1,A
2014,1883,Blue Earth Light & Water,MN,8,2.6,2.6,0.9,A,2.6,.,.,.,.,.,.,.,2.6,A
2014,1884,BENCO Electric Cooperative,MN,3,0.4,.,.,,0.4,.,.,.,.,.,.,.,0.4,
2014,1889,Blue Ridge Elec Member Corp - (NC),NC,1,0.2,.,.,A,.,.,.,0.2,.,.,.,.,0.2,E
2014,1891,Blue Ridge Mountain EMC - (GA),GA,50,1.61,0,0,A,0,0,0,0,0.01,1.6,0,0,1.61,A
2014,1891,Blue Ridge Mountain EMC - (GA),NC,60,12.95,0,0,A,0,0,0,0,0,12.95,0,0,12.95,A
2014,1936,Bolivar Energy Authority,TN,3,0.04,0,0,A,0,0,0,0,0,0.04,0,0,0.04,A
2014,1997,City of Boscobel - (WI),WI,1,0.1,.,.,A,.,0,0,0,0,0.1,0,.,0.1,A
2014,2049,"Bowie-Cass Electric Coop, Inc",TX,8,0.2,.,0,A,.,.,.,.,.,0.2,.,.,0.2,A
2014,2056,City of Bowling Green - (KY),KY,4,0.02,0,0,A,0,0,0,0,0,0.02,0,0,0.02,A
2014,2220,Brigham City Corporation,UT,3,2,.,.,A,.,.,.,2,.,.,.,.,2,A
2014,2247,City of Bristol - (TN),TN,19,0.42,0,0,A,0,0,0,0,0,0.42,0,0,0.42,A
2014,2248,Bristol Virginia Utilities,VA,12,0.18,0,0,A,0,0,0,0,0,0.18,0,0,0.18,A
2014,2273,Brodhead Water & Lighting Comm,WI,1,0.1,.,.,A,.,0,0,0,0,0.1,0,.,0.1,A
