Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Number of,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Types of Program,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
Data Year,Utility Number,Utility Name,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation
2014,55,City of Aberdeen - (MS),MS,0,14,0,0,14,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,84,A & N Electric Coop,VA,.,.,.,.,.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,97,Adams Electric Coop,IL,33,5,.,.,38,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,108,Adams-Columbia Electric Coop,WI,438,63,.,.,501,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,162,Aiken Electric Coop Inc,SC,1,.,.,.,1,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,195,Alabama Power Co,AL,701,3797,1123,.,5621,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N
2014,213,Alaska Electric Light&Power Co,AK,50,3,.,.,53,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,230,Albany Water Gas & Light Comm,GA,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,240,Albemarle Electric Member Corp,NC,3,.,.,.,3,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,241,Albertville Municipal Utilities Board,AL,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,276,Alcorn County Elec Power Assn,MS,0,1,1,0,2,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,307,Algoma Utility Comm,WI,2,3,3,0,8,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,407,Altamaha Electric Member Corp,GA,.,.,180,.,180,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
2014,577,City of Alcoa Utilities,TN,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,636,City of Anderson - (IN),IN,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,691,City of Anoka,MN,.,2,.,.,.,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2014,727,Appalachian Electric Coop,TN,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,733,Appalachian Power Co,VA,1319,593,27,0,1939,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,733,Appalachian Power Co,WV,267,261,10,0,538,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,750,Arab Electric Coop Inc,AL,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,803,Arizona Public Service Co,AZ,544204,.,.,.,544204,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,814,Entergy Arkansas Inc,AR,52,399,267,.,718,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,887,"Arrowhead Electric Coop, Inc",MN,0,2,.,.,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,944,City of Athens - (AL),AL,0,2,1,0,3,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,947,Athens Utility Board,TN,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1009,City of Austin - (MN),MN,0,9,0,.,9,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1015,Austin Energy,TX,1,58,28,.,87,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2014,1050,City of Azusa,CA,.,9,20,.,29,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1062,BARC Electric Coop Inc,VA,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1167,Baltimore Gas & Electric Co,MD,906806,.,.,.,906806,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
2014,1169,Bailey County Elec Coop Assn,TX,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1175,"Bandera Electric Coop, Inc",TX,603,.,.,.,603,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1181,City of Bangor - (WI),WI,.,.,2,.,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1283,Bartholomew County Rural E M C,IN,263,.,.,.,263,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1417,"Beartooth Electric Coop, Inc",MT,0,.,.,.,0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y
2014,1529,"Beltrami Electric Coop, Inc",MN,.,28,.,.,28,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2014,1578,Benton County,TN,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1582,City of Benton - (KY),KY,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1591,"Big Country Electric Coop, Inc",TX,.,.,17,.,17,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1613,Berkeley Electric Coop Inc,SC,.,4,.,.,.,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1640,City of Bessemer Utilities,AL,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1675,Big Horn Rural Electric Co,WY,16,2,.,.,18,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1769,"Black Hills Electric Coop, Inc",SD,5916,169,.,.,6085,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1776,City of Black River Falls,WI,0,12,0,0,12,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1884,BENCO Electric Cooperative,MN,.,.,.,.,.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1889,Blue Ridge Elec Member Corp - (NC),NC,63,18,.,.,81,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1891,Blue Ridge Mountain EMC - (GA),GA,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1891,Blue Ridge Mountain EMC - (GA),NC,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1936,Bolivar Energy Authority,TN,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1997,City of Boscobel - (WI),WI,0,8,0,0,8,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2008,City of Boulder City - (NV),NV,0,2,0,0,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2010,City of Bountiful,UT,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2056,City of Bowling Green - (KY),KY,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2182,City of Breckenridge- (MN),MN,0,0,.,.,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2192,Bremen Electric Light & Power Co,IN,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2212,"Broad River Electric Coop, Inc",NC,80,.,.,.,80,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2247,City of Bristol - (TN),TN,0,26,3,0,29,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2248,Bristol Virginia Utilities,VA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2273,Brodhead Water & Lighting Comm,WI,0,1,2,0,3,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2411,City of Brownsville,TN,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2439,City of Bryan - (OH),OH,0,5,6,.,11,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2507,City of Burbank Water and Power,CA,30,132,.,.,162,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2548,City of Burlington Electric - (VT),VT,37,10,12,.,59,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2599,Burt County Public Power Dist,NE,.,1,.,.,.,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2641,"Butler Rural El Coop Assn, Inc - (KS)",KS,6470,736,4,.,7210,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N
