Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Reporting Year Incremental Annual Savings,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Incremental Life Cycle Savings,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Reporting Year Incremental Cost,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Incremental Life Cycle Costs,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Weighted Average Life,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2014,122,Village of Arcade - (NY),NY,NYIS,223,77,.,.,300,38.2,13,.,.,51.2,2230,765,.,.,2995,40.1,13.1,.,.,53.2,31,18,.,.,49,15,2,.,.,17,31,18,.,.,49,15,12,.,.,27,10,5,.,.,
2014,150,Adrian Public Utilities Comm,MN,WAUE,46,40,4,0,90,0,0,0,0,0,519,458,41,0,1018,0,0,0,0,0,3,1,2,0,6,2,1,1,0,4,3,1,2,0,6,2,1,1,0,4,10.6,12,12,0,
2014,162,Aiken Electric Coop Inc,SC,SC,63,.,.,.,63,0.2,.,.,.,0.2,1253,.,.,.,1253,0.2,.,.,.,0.2,0,.,.,.,0,51,.,.,.,51,0,.,.,.,0,51,.,.,.,51,20,.,.,.,
2014,189,PowerSouth Energy Cooperative,AL,AEC,6775,.,.,.,6775,1.6,.,.,.,1.6,258731,.,.,.,258731,1.71,.,.,.,1.71,979,.,.,.,979,388,.,.,.,388,1767,.,.,.,1767,803,.,.,.,803,15,.,.,.,
2014,195,Alabama Power Co,AL,SOCO,8822,5821,1593,.,16236,2.1,6.9,0,.,9,82235.137,36211.402,3346.56,.,121793.099,2.24,3.48,0.1,.,5.82,274,.,.,.,274,1245,576,278,.,2099,274,.,.,.,274,1245,576,278,.,2099,12,13,5,.,
2014,207,City of Alameda,CA,CISO,445,496,.,.,941,0,0.1,.,.,0.1,1157,5991,.,.,7148,0.4,0.9,.,.,1.3,37,87,.,.,124,189,438,.,.,627,37,87,.,.,124,189,438,.,.,626,12.2,14.1,.,.,http://www.ncpa.com/images/stories/Energy%20Efficiency/2015%20FINAL%20SB%201037%20Report.pdf 
2014,295,City of Alexandria - (MN),MN,MISO,290,965,2896,.,4151,0.1,0.3,0.8,.,1.2,3968,12742,38225,.,54935,0.1,0.3,0.8,.,1.2,26,67,202,.,295,23,60,179,.,262,26,67,202,.,295,23,60,179,.,262,13.7,13.2,13.2,.,
2014,309,City of Algona - (IA),IA,WAUE,221,444,.,.,665,0.2,0.1,.,.,0.3,4773,8205,.,.,12978,0.2,0.1,.,.,0.3,46,25,.,.,71,21,26,.,.,47,46,25,.,.,71,21,26,.,.,47,22,18,.,20,
2014,329,"Allamakee-Clayton El Coop, Inc",IA,MISO,471,737,0,0,1208,0,0,0,0,0,6350,8072,0,0,14422,1,0.3,0,0,1.3,57,15,0,0,72,115,6,0,0,121,57,74,0,0,131,115,11,0,0,126,13.481,23.8,0,.,
2014,554,City of Ames - (IA),IA,MISO,999,4096,0,0,5095,1,1,.,.,2,12866,37277,.,.,50143,1.13,1.08,.,.,2.21,403,366,.,.,769,127,117,.,.,244,403,366,.,.,769,127,117,.,.,244,10.3,9.1,.,.,
2014,590,City of Anaheim - (CA),CA,CISO,6295,17511,7505,.,31311,1.9,4.5,1.9,.,8.3,40948,139647,59849,.,240444,1.9,4.5,1.9,.,8.3,1346,777,333,.,2456,186,222,95,.,503,1346,777,333,.,2456,186,222,95,.,502,6.8,8,8,.,
2014,636,City of Anderson - (IN),IN,PJM,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014,691,City of Anoka,MN,MISO,2632,727,0,0,3359,1,1,0,0,2,3688,6721,0,0,10409,1.7,2.3,0,0,4,206,59,0,0,265,209,23,0,0,232,206,59,0,0,265,209,23,0,0,232,7,7,0,0,
2014,733,Appalachian Power Co,VA,PJM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
