Data Year,Utility Number,Utility Name,Short Form,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2014,34,City of Abbeville - (SC),Y,SC,2954,487,.,.,3441,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,55,City of Aberdeen - (MS),,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2618,646,2,0,3266,2618,646,2,0,3266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,84,A & N Electric Coop,,MD,269,44,.,.,313,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,269,44,.,.,313,.,.,.,.,0,215,35,.,.,250,0,0,.,.,0
2014,84,A & N Electric Coop,,VA,30713,2809,2,.,33524,.,.,.,.,.,.,.,.,.,.,1042,133,.,.,1175,31755,2942,2,.,34699,.,.,.,.,0,24570,2247,0,.,26817,0,0,0,.,0
2014,97,Adams Electric Coop,,IL,.,.,.,.,0,11400,207,.,.,11607,.,.,.,.,.,.,.,.,.,.,11400,207,.,.,11607,118512,50633,.,.,169145,8433,207,.,.,8640,4239,.,.,.,4239
2014,108,Adams-Columbia Electric Coop,,WI,33682,1845,853,.,36380,.,.,.,.,.,.,.,.,.,.,.,45,.,.,45,33682,1890,853,.,36425,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,118,"Adams Rural Electric Coop, Inc",,OH,7360,13,.,.,7373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7360,13,.,.,7373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,122,Village of Arcade - (NY),,NY,3605,570,15,.,4190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3605,570,15,.,4190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,149,City of Afton- (IA),Y,IA,426,80,.,2,508,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,155,Agralite Electric Coop,,MN,4359,249,549,.,5157,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,4359,249,549,.,5157,.,.,.,.,.,.,.,.,.,.,2372,249,346,.,2967
