Data Year,BA ID,BA Code,State,Balancing Authority Name
2014,317,YAD,NC,"Alcoa Power Generating, Inc. - Yadkin Division"
2014,317,YAD,TN,"Alcoa Power Generating, Inc. - Yadkin Division"
2014,599,AMPL,AK,Anchorage Municipal Light & Power
2014,803,AZPS,AZ,Arizona Public Service Company
2014,803,AZPS,NM,Arizona Public Service Company
2014,56812,DEAA,AZ,"Arlington Valley, LLC - AVBA"
2014,924,AECI,AR,"Associated Electric Cooperative, Inc."
2014,924,AECI,IA,"Associated Electric Cooperative, Inc."
2014,924,AECI,MO,"Associated Electric Cooperative, Inc."
2014,924,AECI,OK,"Associated Electric Cooperative, Inc."
2014,20169,AVA,ID,Avista Corporation
2014,20169,AVA,MT,Avista Corporation
2014,20169,AVA,WA,Avista Corporation
2014,16534,BANC,AZ,Balancing Authority of Northern California
2014,16534,BANC,CA,Balancing Authority of Northern California
2014,1738,BPAT,ID,Bonneville Power Administration
2014,1738,BPAT,MT,Bonneville Power Administration
2014,1738,BPAT,NV,Bonneville Power Administration
2014,1738,BPAT,OR,Bonneville Power Administration
2014,1738,BPAT,UT,Bonneville Power Administration
2014,1738,BPAT,WA,Bonneville Power Administration
2014,1738,BPAT,WY,Bonneville Power Administration
2014,2775,CISO,AZ,California Independent System Operator
2014,2775,CISO,CA,California Independent System Operator
2014,2775,CISO,NV,California Independent System Operator
2014,3522,CEA,AK,Chugach Electric Assn Inc
2014,8795,HST,FL,City of Homestead
2014,18429,TPWR,WA,"City of Tacoma, Department of Public Utilities, Light Division"
2014,18445,TAL,FL,City of Tallahassee
2014,58790,CSTO,WA,"Constellation Energy Control and Dispatch, LLC"
2014,5416,DUK,GA,Duke Energy Carolinas
2014,5416,DUK,NC,Duke Energy Carolinas
2014,5416,DUK,SC,Duke Energy Carolinas
2014,5701,EPE,NM,El Paso Electric Company
2014,5701,EPE,TX,El Paso Electric Company
2014,5748,EEI,IL,"Electric Energy, Inc."
2014,5748,EEI,KY,"Electric Energy, Inc."
2014,5723,ERCO,NM,"Electric Reliability Council of Texas, Inc."
2014,5723,ERCO,TX,"Electric Reliability Council of Texas, Inc."
2014,14610,FMPP,FL,Florida Municipal Power Pool
2014,6452,FPL,FL,Florida Power & Light Company
2014,6909,GVL,FL,Gainesville Regional Utilities
2014,14412,GRMA,AZ,"Gila River Power, LLC"
2014,56090,GRIF,AZ,"Griffith Energy, LLC"
2014,19547,HECO,HI,Hawaiian Electric Co Inc
2014,13434,ISNE,CT,ISO New England Inc.
2014,13434,ISNE,MA,ISO New England Inc.
2014,13434,ISNE,ME,ISO New England Inc.
2014,13434,ISNE,NH,ISO New England Inc.
