,|Utility Characteristics..Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Customers.Residential|,|Photovoltaic.Customers.Commercial|,|Photovoltaic.Customers.Industrial|,|Photovoltaic.Customers.Transportation|,|Photovoltaic.Customers.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Customers.Residential|,|Photovoltaic.Storage Customers.Commercial|,|Photovoltaic.Storage Customers.Industrial|,|Photovoltaic.Storage Customers.Transportation|,|Photovoltaic.Storage Customers.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Customers.Residential|,|Wind.Customers.Commercial|,|Wind.Customers.Industrial|,|Wind.Customers.Transportation|,|Wind.Customers.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Customers.Residential|,|Other.Customers.Commercial|,|Other.Customers.Industrial|,|Other.Customers.Transportation|,|Other.Customers.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Customers.Residential|,|All Technologies.Customers.Commercial|,|All Technologies.Customers.Industrial|,|All Technologies.Customers.Transportation|,|All Technologies.Customers.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
0,2014,97,Adams Electric Coop,IL,.,.,.,.,0.0,.,.,.,.,0,.,.,.,.,0.0,0.015,.,.,.,0.015,5,.,.,.,5,5,.,.,.,5.0,.,.,.,.,0.0,.,.,.,.,0,.,.,.,.,0.0,0.015,0.0,0.0,0,0.015,5,0,0,0,5,5.0,0.0,0.0,0,5.0,,,,,,,,,,,,,,,,,,,,,,
1,2014,3931,Coles-Moultrie Electric Coop,IL,0.01,0,.,.,0.01,2,0,.,.,2,.,.,.,.,0.0,0.01,0,.,.,0.01,1,0,.,.,1,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0,.,.,.,.,0.0,0.02,0.0,0.0,0,0.02,3,0,0,0,3,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
2,2014,4110,Commonwealth Edison Co,IL,1.695,3.47,.,.,5.165,320,68,.,.,388,.,.,.,.,0.0,0.171,1.23,.,.,1.401,39,10,.,.,49,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0,.,.,.,.,0.0,1.866,4.7,0.0,0,6.566,359,78,0,0,437,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
3,2014,4362,Corn Belt Energy Corporation,IL,0.036,.,.,.,0.036,8,.,.,.,8,.,.,.,.,0.0,0.002,.,.,.,0.002,1,.,.,.,1,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0,.,.,.,.,0.0,0.038,0.0,0.0,0,0.038,9,0,0,0,9,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
4,2014,5585,Eastern Illinois Elec Coop,IL,0.053,.,.,.,0.053,9,.,.,.,9,19.32,.,.,.,19.32,0.01,.,.,.,0.01,1,.,.,.,1,0.88,.,.,.,0.88,.,.,.,.,0.0,.,.,.,.,0,.,.,.,.,0.0,0.063,0.0,0.0,0,0.063,10,0,0,0,10,20.2,0.0,0.0,0,20.2,,,,,,,,,,,,,,,,,,,,,,
5,2014,7096,City of Geneva- (IL),IL,0.024,.,.,.,0.024,2,.,.,.,2,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0,.,.,.,.,0.0,0.024,0.0,0.0,0,0.024,2,0,0,0,2,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
6,2014,8824,M J M Electric Cooperative Inc,IL,0.01,.,.,.,0.01,4,.,.,.,4,0,.,.,.,0.0,0.01,.,.,.,0.01,3,.,.,.,3,0,.,.,.,0.0,0,.,.,.,0.0,0,.,.,.,0,0,.,.,.,0.0,0.02,0.0,0.0,0,0.02,7,0,0,0,7,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
7,2014,9750,Jo-Carroll Energy Coop Inc,IL,0.222,0.034,.,.,0.256,38,3,.,.,41,150,15,.,.,165.0,0.017,.,.,.,0.017,7,.,.,.,7,2,.,.,.,2.0,.,.,.,.,0.0,.,.,.,.,0,.,.,.,.,0.0,0.239,0.034,0.0,0,0.273,45,3,0,0,48,152.0,15.0,0.0,0,167.0,,,,,,,,,,,,,,,,,,,,,,
8,2014,12341,MidAmerican Energy Co,IL,0.035,0.559,.,.,0.594,10,2,.,.,12,0.991,.,.,.,0.991,0.022,0.6,.,.,0.622,2,1,.,.,3,.,.,.,.,0.0,.,1.2,.,.,1.2,.,1,.,.,1,.,.,.,.,0.0,0.057,2.359,0.0,0,2.416,12,4,0,0,16,0.991,0.0,0.0,0,0.991,,,,,,,,,,,,,,,,,,,,,,
9,2014,12395,Menard Electric Coop,IL,0.015,.,.,.,0.015,4,.,.,.,4,10,.,.,.,10.0,0.02,.,.,.,0.02,3,.,.,.,3,9,.,.,.,9.0,.,.,.,.,0.0,.,.,.,.,0,.,.,.,.,0.0,0.035,0.0,0.0,0,0.035,7,0,0,0,7,19.0,0.0,0.0,0,19.0,,,,,,,,,,,,,,,,,,,,,,
