Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,RESIDENTIAL,Unnamed: 8,Unnamed: 9,COMMERCIAL,Unnamed: 11,Unnamed: 12,INDUSTRIAL,Unnamed: 14,Unnamed: 15,TRANSPORTATION,Unnamed: 17,Unnamed: 18,TOTAL,Unnamed: 20,Unnamed: 21
,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Facility Number,Facility Name,Utility Number,Utility Name,STATE,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2014,59371,12 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0,0,0,149,2350,1,0,0,0,0,0,0,149,2350,1
2014,57458,145 Talmadge Solar,56777,Avidan Energy Solutions,NJ,PJM,0,0,0,0,0,0,510,4524,1,0,0,0,510,4524,1
2014,58187,180 Raritan Solar,58164,"180 Raritan Energy Solutions, LLC",NJ,PJM,0,0,0,0,0,0,289,2584,1,0,0,0,289,2584,1
2014,59365,24 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0,0,0,181,5734,4,0,0,0,0,0,0,181,5734,4
2014,59485,"265 Pleasant Solar NG, LLC",59254,NuGen Capital Management,MA,ISNE,0,0,0,90,523,1,0,0,0,0,0,0,90,523,1
2014,59370,4 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0,0,0,126,2028,1,0,0,0,0,0,0,126,2028,1
2014,57640,500 Virginia Solar,56971,"500 Virginia Solar, LP",PA,PJM,0,0,0,92,1129,1,0,0,0,0,0,0,92,1129,1
2014,59046,651 Chase Solar NG,58879,651 Chase Solar NG LLC,MA,ISNE,0,0,0,296,1611,1,0,0,0,0,0,0,296,1611,1
2014,58798,"AC Criminal Courts Complex SPE2, LLC",58661,"Sustainable Power Group, LLC",NJ,PJM,.,.,.,192,1925,1,.,.,.,.,.,.,192,1925,1
2014,57554,AFA Solar Farm,56892,Solar Star Colorado II LLC,CO,WACM,0,0,0,351,11294,1,0,0,0,0,0,0,351,11294,1
2014,59543,Acton Solar Landfill,59286,Heliovaas LLC,MA,ISNE,0,0,0,200,2030,1,0,0,0,0,0,0,200,2030,1
2014,59331,Anheuser-Busch #2,59129,"Foundation CA Fund VII Manager, LLC",CA,CISO,0,0,0,0,0,0,5,74,1,0,0,0,5,74,1
2014,59489,Anthony Wayne Solar #1,59244,GEM Energy LLC,OH,PJM,0,0,0,127,1988,1,0,0,0,0,0,0,127,1988,1
2014,57765,Arizona Western College PV,58863,Main Street Power,AZ,AZPS,0,0,0,533,8017,1,0,0,0,0,0,0,533,8017,1
2014,55990,Ashtabula,58115,"DTE Ashtabula, LLC",OH,PJM,0,0,0,5117,151845,1,0,0,0,0,0,0,5117,151845,1
2014,56900,Atlantic City Convention Center,14405,Power Choice/Pepco Energy Serv,NJ,PJM,0,0,0,392,2979,1,0,0,0,0,0,0,392,2979,1
2014,58360,Atlantic Coast Freezers Solar Facility,57411,KDC Solar O&M LLC,NJ,PJM,0,0,0,234,3342,1,0,0,0,0,0,0,234,3342,1
2014,59766,Barre II Solar Project,59232,Kearsarge Solar LLC,MA,ISNE,0,0,0,172,1526,2,0,0,0,0,0,0,172,1526,2
2014,55327,Baytown Energy Center,2838,Baytown Energy Center LLC,TX,ERCO,0,0,0,0,0,0,67548,1697182,1,0,0,0,67548,1697182,1
2014,58403,Bellingham PV,57081,"Washington Gas Energy Systems, Inc.",MA,ISNE,0,0,0,433,4466,1,0,0,0,0,0,0,433,4466,1
2014,57733,Benjamin Moore & Co. Solar,57044,"Constellation Solar New Jersey, LLC",NJ,PJM,0,0,0,0,0,0,64,2030,1,0,0,0,64,2030,1
2014,58624,Berkshire 1,58578,PPS Berkshire Solar LLC,MA,ISNE,.,.,.,248,2302,1,.,.,.,.,.,.,248,2302,1
2014,59097,Berry Plastics Solar,58928,Berry Plastics Solar,NJ,PJM,0,0,0,1086,15866,1,0,0,0,0,0,0,1086,15866,1
2014,56862,Bolthouse S&P and Rowen Farms Solar,56105,MMA WBF Power LP,CA,CISO,0,0,0,0,0,0,366,4089,1,0,0,0,366,4089,1
2014,59014,Bolton PV,58863,Main Street Power,MA,ISNE,0,0,0,745,7426,2,0,0,0,0,0,0,745,7426,2
2014,58327,Bradley Energy Center,58300,Ameresco Select Inc,CT,ISNE,0,0,0,2703,18120,1,0,0,0,0,0,0,2703,18120,1
2014,59361,Browne Solar LLC,58258,SunRay Power LLC,MA,ISNE,0,0,0,167,946,1,0,0,0,0,0,0,167,946,1
2014,58037,Buckeye Union HS District 201,57408,Constellation Solar Arizona LLC,AZ,AZPS,0,0,0,774,7397,1,0,0,0,0,0,0,774,7397,1
2014,52147,C P Kelco San Diego Plant,3221,CPKelco U S Inc,CA,CISO,0,0,0,0,0,0,4,72,1,0,0,0,4,72,1
2014,59248,CCMUA,59063,"Camden Solar Center, LLC",NJ,PJM,0,0,0,0,0,0,111,2288,1,0,0,0,111,2288,1
2014,59748,CDCR (CA) - Pleasant Valley State Prison,59512,"Team-Solar, Inc.",CA,CISO,0,0,0,112,1100,1,0,0,0,0,0,0,112,1100,1
2014,10631,CE Leathers,49899,CalEnergy Operating Corporation,CA,IID,0,0,0,23077,345818,1,0,0,0,0,0,0,23077,345818,1
2014,58365,CJTS Energy Center,58300,Ameresco Select Inc,CT,ISNE,0,0,0,212,1817,1,0,0,0,0,0,0,212,1817,1
2014,54323,CNN Center,18452,Turner Properties Inc,GA,SOCO,0,0,0,1632,22154,31,0,0,0,0,0,0,1632,22154,31
2014,56813,CSU Fresno Solar Project,56028,MMA Fresno Power LP,CA,CISO,0,0,0,262,1453,1,0,0,0,0,0,0,262,1453,1
2014,58386,CU Solar Plant,58373,CU Solar LLC,OH,PJM,0,0,0,315,2709,1,0,0,0,0,0,0,315,2709,1
2014,59283,California PV Energy at ISD WWTP,58540,California PV Energy LLC,CA,CISO,0,0,0,76,770,1,0,0,0,0,0,0,76,770,1
2014,55308,Calvert City,57295,DTE Calvert City LLC,KY,TVA,0,0,0,0,0,0,3937,128146,3,0,0,0,3937,128146,3
2014,10168,Cardinal Cogen,3030,Cardinal Cogen Inc,CA,CISO,0,0,0,20182,263762,1,0,0,0,0,0,0,20182,263762,1
