Data Year,Utility Number,Utility Name,State,BA_CODE,Total Revenue (Thousand Dollars),Total Sales (MWh),Total Customers,Water Heater,Net Metering,Demand Side Management,Time Based Programs
2014,192.0,Akiachak Native Community Electric,AK,,963,1876,228,.,N,N,N
2014,878.0,Atmautluak Tribal Utilities,AK,,374,517,96,.,N,N,N
2014,1747.0,Birch Creek Village Elec Util - (AK),AK,,20,15,15,.,N,N,N
2014,3421.0,City of Chignik - (AK),AK,,421.7,766,113,.,N,N,Y
2014,3422.0,City of Chefornak,AK,,866,1395,185,.,N,N,N
2014,3465.0,Chitina Electric Inc,AK,,248,390,75,.,N,N,N
2014,4959.0,Aniak Light & Power Co Inc,AK,,1504,2173,218,.,N,N,N
2014,5721.0,City of Elfin Cove - (AK),AK,,159,231,75,.,N,N,N
2014,6866.0,"G & K, Inc",AK,,1561,2158,119,.,N,N,N
2014,6915.0,Galena Electric Utility,AK,,2903,4332,317,.,N,N,N
2014,7822.0,Gustavus Electric Inc,AK,,544.6,1242,504,.,N,N,N
2014,7833.0,Gwitchyaa Zhee Utility Co,AK,,1668,2403,360,.,N,N,N
2014,9000.0,Hughes Power & Light Co,AK,,228,324,50,.,N,N,N
2014,9188.0,"I-N-N Electric Coop, Inc",AK,,1311.3,2985,280,.,N,N,N
2014,9192.0,Igiugig Electric Company,AK,,207,293,51,.,N,N,N
2014,9416.0,Ipnatchiaq Electric Company,AK,,447.9,341,66,.,N,N,N
2014,9832.0,Kuiggluum Kallugvia,AK,,675.7,1315,228,.,N,N,N
2014,9897.0,City of King Cove,AK,,1255,3749,430,.,N,N,N
2014,10455.0,Kokhanok Village Council,AK,,173,359,78,.,N,N,N
2014,10491.0,Kwig Power Company,AK,,652.5,1070,124,.,N,N,N
2014,10716.0,City of Larsen Bay - (AK),AK,AMPL,139,397,55,.,N,N,N
2014,12119.0,McGrath Light & Power Co,AK,,1737,2280,244,.,N,N,N
2014,12385.0,Metlakatla Power & Light,AK,,2001,19558,972,.,N,N,N
2014,12485.0,Middle Kuskokwim Elec Coop Inc,AK,,916.9,815,196,.,N,N,N
2014,13201.0,"Naknek Electric Assn, Inc",AK,,11212,19865,1071,.,N,N,N
2014,13211.0,Napakiak Ircinraq Power Co,AK,,454.8,650,132,.,N,N,N
2014,13477.0,Nelson Lagoon Elec Coop Inc,AK,,166.1,219,43,.,N,N,N
2014,13870.0,"Nushagak Electric Coop, Inc",AK,,8195,17686,1457,.,Y,N,N
2014,14234.0,City of Ouzinkie - (AK),AK,,321,819,110,.,N,N,N
