Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Number and Capacity,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Capacity by Technology Type (MW),Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Data Year,Utility Number,Utility Name,State,Number of Generators,Total Capacity in MWs,Capacity Back-up Only,Capacity Utility Owned,Estimated or Actual Data,Internal Combustion Engine,Combusiton Turbine,Steam Turbine,HydroElectric,Wind,Photovoltaic,Storage,Other,Total,Estimated or Actual Data
2015,55,City of Aberdeen - (MS),MS,1,0.007,0,0,A,0,0,0,0,0,0.007,0,0,0.007,A
2015,97,Adams Electric Coop,IL,1,0.9, ,0.9,A, , , , ,0.9, , , ,0.9,
2015,123,City of Adel- (GA),GA,2,0.5, , ,A,0.5, , , , , , , ,0.5,A
2015,221,"Alaska Village Elec Coop, Inc",AK,16,6.728, , ,A,5.714, , , ,1.014, , , ,6.728,A
2015,232,City of Albemarle - (NC),NC,1,0.4,0.4,0,A,0.4, , , , , , , ,0.4,A
2015,240,Albemarle Electric Member Corp,NC,9,0.036, ,0,A, , , , , ,0.036, , ,0.036,A
2015,276,Alcorn County Elec Power Assn,MS,3,0.069,0,0,A,0,0,0,0,0,0.069,0,0,0.069,A
2015,295,City of Alexandria - (MN),MN,1,0.5,0.5, ,A, , ,0.5, , , , , ,0.5,A
2015,392,Alpena Power Co,MI,36,6.9, , ,A, , , ,6.7,0.1,0.1, , ,6.9,A
2015,577,City of Alcoa Utilities,TN,19,0.192,0,0,A,0,0,0,0,0,0.192,0,0,0.192,A
2015,727,Appalachian Electric Coop,TN,23,0.296,0,0,A,0,0,0,0,0,0.296,0,0,0.296,A
2015,733,Appalachian Power Co,VA,9,1.274,0,0,A,0.79,0.065,0,0.4,0,0.019,0,0,1.274,A
2015,750,Arab Electric Coop Inc,AL,4,0.042,0,0,A,0,0,0,0,0,0.042,0,0,0.042,A
