|Data Year|,|Utility Number|,|Utility Name|,|State|,|County|
2015,34,City of Abbeville - (SC),SC,Abbeville
2015,55,City of Aberdeen - (MS),MS,Monroe
2015,59,City of Abbeville - (LA),LA,Vermilion
2015,84,A & N Electric Coop,MD,Somerset
2015,84,A & N Electric Coop,VA,Accomack
2015,84,A & N Electric Coop,VA,Northampton
2015,87,City of Ada - (MN),MN,Norman
2015,97,Adams Electric Coop,IL,Adams
2015,97,Adams Electric Coop,IL,Brown
2015,97,Adams Electric Coop,IL,Schuyler
2015,108,Adams-Columbia Electric Coop,WI,Adams
2015,108,Adams-Columbia Electric Coop,WI,Columbia
2015,108,Adams-Columbia Electric Coop,WI,Dane
2015,108,Adams-Columbia Electric Coop,WI,Dodge
2015,108,Adams-Columbia Electric Coop,WI,Green Lake
2015,108,Adams-Columbia Electric Coop,WI,Jefferson
2015,108,Adams-Columbia Electric Coop,WI,Marquette
2015,108,Adams-Columbia Electric Coop,WI,Portage
2015,108,Adams-Columbia Electric Coop,WI,Sauk
2015,108,Adams-Columbia Electric Coop,WI,Waupaca
2015,108,Adams-Columbia Electric Coop,WI,Waushara
2015,108,Adams-Columbia Electric Coop,WI,Wood
2015,118,"Adams Rural Electric Coop, Inc",OH,Adams
2015,118,"Adams Rural Electric Coop, Inc",OH,Brown
2015,118,"Adams Rural Electric Coop, Inc",OH,Highland
2015,118,"Adams Rural Electric Coop, Inc",OH,Pike
2015,118,"Adams Rural Electric Coop, Inc",OH,Scioto
2015,122,Village of Arcade - (NY),NY,Cattaraugus
2015,122,Village of Arcade - (NY),NY,Erie
2015,122,Village of Arcade - (NY),NY,Wyoming
2015,123,City of Adel- (GA),GA,Cook
2015,123,City of Adel- (GA),GA,Tift
2015,149,City of Afton- (IA),IA,Union
2015,150,Adrian Public Utilities Comm,MN,Nobles
2015,155,Agralite Electric Coop,MN,Big Stone
2015,155,Agralite Electric Coop,MN,Pope
2015,155,Agralite Electric Coop,MN,Stevens
2015,155,Agralite Electric Coop,MN,Swift
2015,157,Town of Advance - (IN),IN,Boone
2015,162,Aiken Electric Coop Inc,SC,Aiken
2015,162,Aiken Electric Coop Inc,SC,Barnwell
2015,162,Aiken Electric Coop Inc,SC,Calhoun
2015,162,Aiken Electric Coop Inc,SC,Edgefield
2015,162,Aiken Electric Coop Inc,SC,Greenwood
2015,162,Aiken Electric Coop Inc,SC,Lexington
2015,162,Aiken Electric Coop Inc,SC,McCormick
2015,162,Aiken Electric Coop Inc,SC,Orangeburg
2015,162,Aiken Electric Coop Inc,SC,Saluda
2015,174,Aitkin Public Utilities Comm,MN,Aitkin
2015,176,Ajo Improvement Co,AZ,Pima
2015,182,City of Akron - (IA),IA,Plymouth
2015,183,Village of Akron - (NY),NY,Erie
2015,191,Alamo Power District No 3,NV,Lincoln
2015,192,Akiachak Native Community Electric,AK,Bethel
2015,195,Alabama Power Co,AL,Autauga
2015,195,Alabama Power Co,AL,Baldwin
2015,195,Alabama Power Co,AL,Barbour
2015,195,Alabama Power Co,AL,Bibb
2015,195,Alabama Power Co,AL,Blount
2015,195,Alabama Power Co,AL,Bullock
2015,195,Alabama Power Co,AL,Butler
2015,195,Alabama Power Co,AL,Calhoun
2015,195,Alabama Power Co,AL,Chambers
2015,195,Alabama Power Co,AL,Cherokee
2015,195,Alabama Power Co,AL,Chilton
2015,195,Alabama Power Co,AL,Choctaw
2015,195,Alabama Power Co,AL,Clarke
2015,195,Alabama Power Co,AL,Clay
2015,195,Alabama Power Co,AL,Cleburne
2015,195,Alabama Power Co,AL,Coffee
2015,195,Alabama Power Co,AL,Conecuh
2015,195,Alabama Power Co,AL,Coosa
2015,195,Alabama Power Co,AL,Covington
2015,195,Alabama Power Co,AL,Crenshaw
2015,195,Alabama Power Co,AL,Cullman
2015,195,Alabama Power Co,AL,Dale
2015,195,Alabama Power Co,AL,Dallas
2015,195,Alabama Power Co,AL,Elmore
2015,195,Alabama Power Co,AL,Escambia
2015,195,Alabama Power Co,AL,Etowah
2015,195,Alabama Power Co,AL,Fayette
2015,195,Alabama Power Co,AL,Franklin
2015,195,Alabama Power Co,AL,Geneva
2015,195,Alabama Power Co,AL,Greene
2015,195,Alabama Power Co,AL,Hale
2015,195,Alabama Power Co,AL,Henry
2015,195,Alabama Power Co,AL,Houston
2015,195,Alabama Power Co,AL,Jefferson
2015,195,Alabama Power Co,AL,Lamar
2015,195,Alabama Power Co,AL,Lawrence
2015,195,Alabama Power Co,AL,Lee
2015,195,Alabama Power Co,AL,Lowndes
2015,195,Alabama Power Co,AL,Macon
2015,195,Alabama Power Co,AL,Marengo
2015,195,Alabama Power Co,AL,Marion
2015,195,Alabama Power Co,AL,Marshall
2015,195,Alabama Power Co,AL,Mobile
2015,195,Alabama Power Co,AL,Monroe
2015,195,Alabama Power Co,AL,Montgomery
2015,195,Alabama Power Co,AL,Perry
2015,195,Alabama Power Co,AL,Pickens
2015,195,Alabama Power Co,AL,Randolph
2015,195,Alabama Power Co,AL,Russell
2015,195,Alabama Power Co,AL,Shelby
2015,195,Alabama Power Co,AL,St Clair
2015,195,Alabama Power Co,AL,Sumter
2015,195,Alabama Power Co,AL,Talladega
2015,195,Alabama Power Co,AL,Tallapoosa
2015,195,Alabama Power Co,AL,Tuscaloosa
2015,195,Alabama Power Co,AL,Walker
2015,195,Alabama Power Co,AL,Washington
2015,195,Alabama Power Co,AL,Wilcox
2015,195,Alabama Power Co,AL,Winston
2015,198,City of Alton,IA,Sioux
2015,201,City of Alachua - (FL),FL,Alachua
2015,202,Town of Black Creek - (NC),NC,Wilson
2015,207,City of Alameda,CA,Alameda
2015,213,Alaska Electric Light&Power Co,AK,Juneau
2015,219,Alaska Power and Telephone Co,AK,Haines
2015,219,Alaska Power and Telephone Co,AK,Prince of Wales Ketchikan
2015,219,Alaska Power and Telephone Co,AK,Skagway Hoonah Angoon
2015,219,Alaska Power and Telephone Co,AK,Yukon Koyukuk
2015,221,"Alaska Village Elec Coop, Inc",AK,Bethel
2015,221,"Alaska Village Elec Coop, Inc",AK,Dillingham
2015,221,"Alaska Village Elec Coop, Inc",AK,Kodiak Island
2015,221,"Alaska Village Elec Coop, Inc",AK,Nome
2015,221,"Alaska Village Elec Coop, Inc",AK,Northwest Arctic
2015,221,"Alaska Village Elec Coop, Inc",AK,Wade Hampton
2015,221,"Alaska Village Elec Coop, Inc",AK,Yukon Koyukuk
2015,228,City of Albany - (MO),MO,Gentry
2015,229,City of Albany - (IL),IL,Whiteside
2015,230,Albany Water Gas & Light Comm,GA,Dougherty
2015,230,Albany Water Gas & Light Comm,GA,Lee
2015,232,City of Albemarle - (NC),NC,Stanly
2015,240,Albemarle Electric Member Corp,NC,Camden
2015,240,Albemarle Electric Member Corp,NC,Chowan
2015,240,Albemarle Electric Member Corp,NC,Currituck
2015,240,Albemarle Electric Member Corp,NC,Pasquotank
2015,240,Albemarle Electric Member Corp,NC,Perquimans
2015,241,Albertville Municipal Utilities Board,AL,Marshall
2015,244,City of Albion - (ID),ID,Cassia
2015,261,AGC Division of APG Inc,IN,Warrick
2015,266,City of Alpha - (MN),MN,Jackson
2015,276,Alcorn County Elec Power Assn,MS,Alcorn
2015,282,Village of Arcadia - (OH),OH,Hancock
2015,287,"Alder Mutual Light Co, Inc",WA,Pierce
2015,289,City of Alexander City,AL,Tallapoosa
2015,295,City of Alexandria - (MN),MN,Douglas
2015,296,"Alfalfa Electric Coop, Inc",KS,Barber
2015,296,"Alfalfa Electric Coop, Inc",KS,Harper
2015,296,"Alfalfa Electric Coop, Inc",OK,Alfalfa
2015,296,"Alfalfa Electric Coop, Inc",OK,Garfield
2015,296,"Alfalfa Electric Coop, Inc",OK,Grant
2015,296,"Alfalfa Electric Coop, Inc",OK,Major
2015,296,"Alfalfa Electric Coop, Inc",OK,Woods
2015,298,City of Alexandria - (LA),LA,Rapides
2015,305,Alger-Delta Coop Electric Assn,MI,Alger
2015,305,Alger-Delta Coop Electric Assn,MI,Delta
2015,305,Alger-Delta Coop Electric Assn,MI,Dickinson
2015,305,Alger-Delta Coop Electric Assn,MI,Marquette
2015,305,Alger-Delta Coop Electric Assn,MI,Menominee
2015,305,Alger-Delta Coop Electric Assn,MI,Schoolcraft
2015,307,Algoma Utility Comm,WI,Kewaunee
2015,308,City of Acworth - (GA),GA,Bartow
2015,308,City of Acworth - (GA),GA,Cobb
2015,309,City of Algona - (IA),IA,Kossuth
2015,329,"Allamakee-Clayton El Coop, Inc",IA,Allamakee
2015,329,"Allamakee-Clayton El Coop, Inc",IA,Bremer
2015,329,"Allamakee-Clayton El Coop, Inc",IA,Chickasaw
2015,329,"Allamakee-Clayton El Coop, Inc",IA,Clayton
2015,329,"Allamakee-Clayton El Coop, Inc",IA,Delaware
2015,329,"Allamakee-Clayton El Coop, Inc",IA,Dubuque
2015,329,"Allamakee-Clayton El Coop, Inc",IA,Fayette
2015,329,"Allamakee-Clayton El Coop, Inc",IA,Winneshiek
2015,366,City of Allendale- (IL),IL,Wabash
2015,367,City of Alliance- (NE),NE,Box Butte
2015,367,City of Alliance- (NE),NE,Morrill
2015,385,City of Alma - (KS),KS,Wabaunsee
2015,392,Alpena Power Co,MI,Alcona
2015,392,Alpena Power Co,MI,Alpena
2015,392,Alpena Power Co,MI,Montmorency
2015,392,Alpena Power Co,MI,Presque Isle
2015,405,City of Alta - (IA),IA,Buena Vista
2015,406,City of Altamont - (IL),IL,Effingham
2015,407,Altamaha Electric Member Corp,GA,Emanuel
2015,407,Altamaha Electric Member Corp,GA,Johnson
2015,407,Altamaha Electric Member Corp,GA,Laurens
2015,407,Altamaha Electric Member Corp,GA,Montgomery
2015,407,Altamaha Electric Member Corp,GA,Tattnall
2015,407,Altamaha Electric Member Corp,GA,Toombs
2015,407,Altamaha Electric Member Corp,GA,Treutlen
2015,408,City of Altamont - (KS),KS,Labette
2015,416,City of Altus - (OK),OK,Jackson
2015,432,City of Alta Vista- (IA),IA,Chickasaw
2015,471,Amana Society Service Co,IA,Iowa
2015,482,City of Alvarado - (MN),MN,Marshall
2015,554,City of Ames - (IA),IA,Story
2015,560,City of Amherst- (OH),OH,Lorain
2015,562,Amicalola Electric Member Corp,GA,Bartow
2015,562,Amicalola Electric Member Corp,GA,Cherokee
2015,562,Amicalola Electric Member Corp,GA,Dawson
2015,562,Amicalola Electric Member Corp,GA,Fannin
2015,562,Amicalola Electric Member Corp,GA,Forsyth
2015,562,Amicalola Electric Member Corp,GA,Gilmer
2015,562,Amicalola Electric Member Corp,GA,Gordon
2015,562,Amicalola Electric Member Corp,GA,Lumpkin
2015,562,Amicalola Electric Member Corp,GA,Murray
2015,562,Amicalola Electric Member Corp,GA,Pickens
2015,571,City of Amory,MS,Monroe
2015,577,City of Alcoa Utilities,TN,Blount
2015,588,Anadarko Public Works Authority,OK,Caddo
2015,590,City of Anaheim - (CA),CA,Orange
2015,599,Anchorage Municipal Light and Power,AK,Anchorage
2015,604,City of Andalusia,AL,Covington
2015,636,City of Anderson - (IN),IN,Madison
2015,661,Village of Andover - (NY),NY,Allegany
2015,669,Village of Angelica - (NY),NY,Allegany
2015,682,City of Anita - (IA),IA,Cass
2015,689,Connexus Energy,MN,Anoka
2015,689,Connexus Energy,MN,Chisago
2015,689,Connexus Energy,MN,Hennepin
2015,689,Connexus Energy,MN,Isanti
2015,689,Connexus Energy,MN,Ramsey
2015,689,Connexus Energy,MN,Sherburne
2015,689,Connexus Energy,MN,Washington
2015,690,City of Bardstown - (KY),KY,Nelson
2015,691,City of Anoka,MN,Anoka
2015,691,City of Anoka,MN,Hennepin
2015,694,Anza Electric Coop Inc,CA,Riverside
2015,695,City of Ansley - (NE),NE,Custer
2015,700,City of Anthon - (IA),IA,Woodbury
2015,701,City of Anthony - (KS),KS,Harper
2015,719,Town of Apex- (NC),NC,Wake
2015,723,City of Aplington,IA,Butler
2015,727,Appalachian Electric Coop,TN,Grainger
2015,727,Appalachian Electric Coop,TN,Hamblen
2015,727,Appalachian Electric Coop,TN,Jefferson
2015,727,Appalachian Electric Coop,TN,Sevier
2015,733,Appalachian Power Co,VA,Albemarle
2015,733,Appalachian Power Co,VA,Amherst
2015,733,Appalachian Power Co,VA,Appomattox
2015,733,Appalachian Power Co,VA,Bedford
2015,733,Appalachian Power Co,VA,Bland
2015,733,Appalachian Power Co,VA,Botetourt
2015,733,Appalachian Power Co,VA,Buchanan
2015,733,Appalachian Power Co,VA,Buckingham
2015,733,Appalachian Power Co,VA,Campbell
2015,733,Appalachian Power Co,VA,Carroll
2015,733,Appalachian Power Co,VA,Craig
2015,733,Appalachian Power Co,VA,Dickenson
2015,733,Appalachian Power Co,VA,Floyd
2015,733,Appalachian Power Co,VA,Fluvanna
2015,733,Appalachian Power Co,VA,Franklin
2015,733,Appalachian Power Co,VA,Galax City
2015,733,Appalachian Power Co,VA,Giles
2015,733,Appalachian Power Co,VA,Grayson
2015,733,Appalachian Power Co,VA,Henry
2015,733,Appalachian Power Co,VA,Lynchburg City
2015,733,Appalachian Power Co,VA,Montgomery
2015,733,Appalachian Power Co,VA,Nelson
2015,733,Appalachian Power Co,VA,Patrick
2015,733,Appalachian Power Co,VA,Pittsylvania
2015,733,Appalachian Power Co,VA,Pulaski
2015,733,Appalachian Power Co,VA,Roanoke
2015,733,Appalachian Power Co,VA,Roanoke City
2015,733,Appalachian Power Co,VA,Russell
2015,733,Appalachian Power Co,VA,Scott
2015,733,Appalachian Power Co,VA,Smyth
2015,733,Appalachian Power Co,VA,Tazewell
2015,733,Appalachian Power Co,VA,Washington
2015,733,Appalachian Power Co,VA,Wise
2015,733,Appalachian Power Co,VA,Wythe
2015,733,Appalachian Power Co,WV,Boone
2015,733,Appalachian Power Co,WV,Cabell
2015,733,Appalachian Power Co,WV,Clay
2015,733,Appalachian Power Co,WV,Fayette
2015,733,Appalachian Power Co,WV,Greenbrier
2015,733,Appalachian Power Co,WV,Jackson
2015,733,Appalachian Power Co,WV,Kanawha
2015,733,Appalachian Power Co,WV,Lincoln
2015,733,Appalachian Power Co,WV,Logan
2015,733,Appalachian Power Co,WV,Mason
2015,733,Appalachian Power Co,WV,McDowell
2015,733,Appalachian Power Co,WV,Mercer
2015,733,Appalachian Power Co,WV,Mingo
2015,733,Appalachian Power Co,WV,Monroe
2015,733,Appalachian Power Co,WV,Nicholas
2015,733,Appalachian Power Co,WV,Putnam
2015,733,Appalachian Power Co,WV,Raleigh
2015,733,Appalachian Power Co,WV,Roane
2015,733,Appalachian Power Co,WV,Summers
2015,733,Appalachian Power Co,WV,Wayne
2015,733,Appalachian Power Co,WV,Wyoming
2015,750,Arab Electric Coop Inc,AL,Cullman
2015,750,Arab Electric Coop Inc,AL,Marshall
2015,752,City of Arapahoe - (NE),NE,Furnas
2015,764,City of Arcadia - (KS),KS,Crawford
2015,765,City of Arcadia - (WI),WI,Trempealeau
2015,768,City of Arcanum - (OH),OH,Darke
2015,789,Town of Argos,IN,Marshall
2015,792,City of Argyle - (WI),WI,Lafayette
2015,803,Arizona Public Service Co,AZ,Apache
2015,803,Arizona Public Service Co,AZ,Cochise
2015,803,Arizona Public Service Co,AZ,Coconino
2015,803,Arizona Public Service Co,AZ,Gila
2015,803,Arizona Public Service Co,AZ,Graham
2015,803,Arizona Public Service Co,AZ,Greenlee
2015,803,Arizona Public Service Co,AZ,Maricopa
2015,803,Arizona Public Service Co,AZ,Mohave
2015,803,Arizona Public Service Co,AZ,Navajo
2015,803,Arizona Public Service Co,AZ,Pima
2015,803,Arizona Public Service Co,AZ,Pinal
2015,803,Arizona Public Service Co,AZ,Santa Cruz
2015,803,Arizona Public Service Co,AZ,Yavapai
2015,803,Arizona Public Service Co,AZ,Yuma
2015,814,Entergy Arkansas Inc,AR,Arkansas
2015,814,Entergy Arkansas Inc,AR,Ashley
2015,814,Entergy Arkansas Inc,AR,Baxter
2015,814,Entergy Arkansas Inc,AR,Boone
2015,814,Entergy Arkansas Inc,AR,Bradley
2015,814,Entergy Arkansas Inc,AR,Calhoun
2015,814,Entergy Arkansas Inc,AR,Carroll
2015,814,Entergy Arkansas Inc,AR,Chicot
2015,814,Entergy Arkansas Inc,AR,Clark
2015,814,Entergy Arkansas Inc,AR,Clay
2015,814,Entergy Arkansas Inc,AR,Cleburne
2015,814,Entergy Arkansas Inc,AR,Cleveland
2015,814,Entergy Arkansas Inc,AR,Columbia
2015,814,Entergy Arkansas Inc,AR,Conway
2015,814,Entergy Arkansas Inc,AR,Craighead
2015,814,Entergy Arkansas Inc,AR,Crittenden
2015,814,Entergy Arkansas Inc,AR,Cross
2015,814,Entergy Arkansas Inc,AR,Dallas
2015,814,Entergy Arkansas Inc,AR,Desha
2015,814,Entergy Arkansas Inc,AR,Drew
2015,814,Entergy Arkansas Inc,AR,Faulkner
2015,814,Entergy Arkansas Inc,AR,Fulton
2015,814,Entergy Arkansas Inc,AR,Garland
2015,814,Entergy Arkansas Inc,AR,Grant
2015,814,Entergy Arkansas Inc,AR,Greene
2015,814,Entergy Arkansas Inc,AR,Hempstead
2015,814,Entergy Arkansas Inc,AR,Hot Spring
2015,814,Entergy Arkansas Inc,AR,Independence
2015,814,Entergy Arkansas Inc,AR,Izard
2015,814,Entergy Arkansas Inc,AR,Jackson
2015,814,Entergy Arkansas Inc,AR,Jefferson
2015,814,Entergy Arkansas Inc,AR,Johnson
2015,814,Entergy Arkansas Inc,AR,Lafayette
2015,814,Entergy Arkansas Inc,AR,Lawrence
2015,814,Entergy Arkansas Inc,AR,Lee
2015,814,Entergy Arkansas Inc,AR,Lincoln
2015,814,Entergy Arkansas Inc,AR,Logan
2015,814,Entergy Arkansas Inc,AR,Lonoke
2015,814,Entergy Arkansas Inc,AR,Marion
2015,814,Entergy Arkansas Inc,AR,Miller
2015,814,Entergy Arkansas Inc,AR,Mississippi
2015,814,Entergy Arkansas Inc,AR,Monroe
2015,814,Entergy Arkansas Inc,AR,Montgomery
2015,814,Entergy Arkansas Inc,AR,Nevada
2015,814,Entergy Arkansas Inc,AR,Newton
2015,814,Entergy Arkansas Inc,AR,Ouachita
2015,814,Entergy Arkansas Inc,AR,Perry
2015,814,Entergy Arkansas Inc,AR,Phillips
2015,814,Entergy Arkansas Inc,AR,Pike
2015,814,Entergy Arkansas Inc,AR,Poinsett
2015,814,Entergy Arkansas Inc,AR,Pope
2015,814,Entergy Arkansas Inc,AR,Prairie
2015,814,Entergy Arkansas Inc,AR,Pulaski
2015,814,Entergy Arkansas Inc,AR,Randolph
2015,814,Entergy Arkansas Inc,AR,Saline
2015,814,Entergy Arkansas Inc,AR,Scott
2015,814,Entergy Arkansas Inc,AR,Searcy
2015,814,Entergy Arkansas Inc,AR,Sharp
2015,814,Entergy Arkansas Inc,AR,St Francis
2015,814,Entergy Arkansas Inc,AR,Stone
2015,814,Entergy Arkansas Inc,AR,Union
2015,814,Entergy Arkansas Inc,AR,Van Buren
2015,814,Entergy Arkansas Inc,AR,White
2015,814,Entergy Arkansas Inc,AR,Woodruff
2015,814,Entergy Arkansas Inc,AR,Yell
2015,814,Entergy Arkansas Inc,TN,Tipton
2015,817,Arkansas Valley Elec Coop Corp,AR,Crawford
2015,817,Arkansas Valley Elec Coop Corp,AR,Franklin
2015,817,Arkansas Valley Elec Coop Corp,AR,Johnson
2015,817,Arkansas Valley Elec Coop Corp,AR,Logan
2015,817,Arkansas Valley Elec Coop Corp,AR,Madison
2015,817,Arkansas Valley Elec Coop Corp,AR,Newton
2015,817,Arkansas Valley Elec Coop Corp,AR,Pope
2015,817,Arkansas Valley Elec Coop Corp,AR,Scott
2015,817,Arkansas Valley Elec Coop Corp,AR,Sebastian
2015,817,Arkansas Valley Elec Coop Corp,AR,Yell
2015,817,Arkansas Valley Elec Coop Corp,OK,Adair
2015,817,Arkansas Valley Elec Coop Corp,OK,Le Flore
2015,817,Arkansas Valley Elec Coop Corp,OK,Sequoyah
2015,828,City of Arlington - (MN),MN,Sibley
2015,831,City of Arlington - (SD),SD,Brookings
2015,831,City of Arlington - (SD),SD,Kingsbury
2015,832,City of Arma - (KS),KS,Crawford
2015,871,Village of Arnold - (NE),NE,Custer
2015,878,Atmautluak Tribal Utilities,AK,Bethel
2015,887,"Arrowhead Electric Coop, Inc",MN,Cook
2015,887,"Arrowhead Electric Coop, Inc",MN,Lake
2015,902,Town of Ashburnham - (MA),MA,Worcester
2015,906,Town of Ashland,NH,Grafton
2015,907,City of Ashland - (OR),OR,Jackson
2015,911,City of Ashland - (KS),KS,Clark
2015,918,City of Aspen- (CO),CO,Pitkin
2015,925,"Ashley Chicot Elec Coop, Inc",AR,Ashley
2015,925,"Ashley Chicot Elec Coop, Inc",AR,Chicot
2015,925,"Ashley Chicot Elec Coop, Inc",AR,Drew
2015,925,"Ashley Chicot Elec Coop, Inc",LA,Morehouse
2015,942,Atchison-Holt Electric Coop,IA,Fremont
2015,942,Atchison-Holt Electric Coop,IA,Page
2015,942,Atchison-Holt Electric Coop,MO,Atchison
2015,942,Atchison-Holt Electric Coop,MO,Holt
2015,942,Atchison-Holt Electric Coop,MO,Nodaway
2015,944,City of Athens - (AL),AL,Limestone
2015,947,Athens Utility Board,TN,McMinn
2015,963,Atlantic City Electric Co,NJ,Atlantic
2015,963,Atlantic City Electric Co,NJ,Burlington
2015,963,Atlantic City Electric Co,NJ,Camden
2015,963,Atlantic City Electric Co,NJ,Cape May
2015,963,Atlantic City Electric Co,NJ,Cumberland
