|Data Year|,|Utility Number|,|Utility Name|,|Ownership|,|State|,|BA_CODE|,|Total Revenue (Thousand Dollars)|,|Total Sales (MWh)|,|Total Customers|,|Water Heater|,|Net Metering|,|Demand Side Management|,|Time Based Programs|
2015,192.0,Akiachak Native Community Electric,Cooperative,AK,,1013.5,1922,235, ,N,N,N
2015,878.0,Atmautluak Tribal Utilities,Municipal,AK,,415,573,96, ,N,N,N
2015,1747.0,Birch Creek Village Elec Util - (AK),Municipal,AK,,11,85,21, ,N,N,N
2015,3421.0,City of Chignik - (AK),Municipal,AK,,399,771,101, ,N,N,N
2015,3422.0,City of Chefornak,Municipal,AK,,549,1399,185, ,N,N,N
2015,3465.0,Chitina Electric Inc,Investor Owned,AK,,260,384,74, ,N,N,N
2015,4959.0,Aniak Light & Power Co Inc,Investor Owned,AK,,1575,2674,218, ,N,N,N
2015,5721.0,City of Elfin Cove - (AK),Municipal,AK,,159.2,257,77, ,N,N,N
2015,6866.0,"G & K, Inc",Investor Owned,AK,,1512.2,2082,119, ,N,N,N
2015,6915.0,Galena Electric Utility,Municipal,AK,,2528.4,5606,319, ,N,N,N
2015,7833.0,Gwitchyaa Zhee Utility Co,Investor Owned,AK,,857.7,2436,361, ,N,N,N
2015,9000.0,Hughes Power & Light Co,Investor Owned,AK,,254,358,53, ,N,N,N
2015,9188.0,"I-N-N Electric Coop, Inc",Cooperative,AK,,1273,2906,295, ,N,N,N
2015,9192.0,Igiugig Electric Company,Political Subdivision,AK,,215,285,52, ,N,N,N
2015,9416.0,Ipnatchiaq Electric Company,Municipal,AK,,474.9,684,64, ,N,N,N
2015,9832.0,Kuiggluum Kallugvia,Investor Owned,AK,,730.5,1410,226, ,N,N,N
2015,9897.0,City of King Cove,Municipal,AK,,1039,3667,430, ,N,N,N
2015,10455.0,Kokhanok Village Council,Political Subdivision,AK,,227,364,78, ,N,N,N
2015,10491.0,Kwig Power Company,Political Subdivision,AK,,806,1322,120, ,N,N,N
2015,10716.0,City of Larsen Bay - (AK),Municipal,AK,AMPL,219.7,363,77, ,N,N,N
2015,12119.0,McGrath Light & Power Co,Investor Owned,AK,,1727,2198,291, ,N,N,N
2015,12385.0,Metlakatla Power & Light,Municipal,AK,,2007,19283,971, ,N,N,N
2015,12485.0,Middle Kuskokwim Elec Coop Inc,Cooperative,AK,,726,848,191, ,N,N,N
2015,13201.0,"Naknek Electric Assn, Inc",Cooperative,AK,,11021,21085,1175, ,N,N,N
2015,13211.0,Napakiak Ircinraq Power Co,Investor Owned,AK,,481.4,566,132, ,N,N,N
2015,13477.0,Nelson Lagoon Elec Coop Inc,Cooperative,AK,,217.5,327,58, ,N,N,N
2015,13870.0,"Nushagak Electric Coop, Inc",Cooperative,AK,,8404.2,17340,1364, ,Y,N,N
2015,14234.0,City of Ouzinkie - (AK),Municipal,AK,,242,749,109, ,N,N,N
2015,14633.0,Pedro Bay Village Council - (AK),Municipal,AK,,147,192,41, ,N,N,N
2015,14832.0,Native Village of Perryville - (AK),Municipal,AK,, , , , ,N,N,N
2015,17898.0,City of Saint Paul,Municipal,AK,,1917.2,3538,235, ,N,N,N
2015,18474.0,Tanana Power Co Inc,Investor Owned,AK,,585,1167,155, ,N,N,N
2015,18480.0,Tatitlek Electric Utility,Municipal,AK,,154,345,65, ,N,N,N
2015,18541.0,City of Tenakee Springs - (AK),Municipal,AK,,236,407,161, ,N,N,N
2015,18963.0,"Inside Passage Elec Coop, Inc",Cooperative,AK,,4919,9364,1336, ,N,N,N
2015,19267.0,Tuntutuliak Comm Services Assn,Cooperative,AK,,578,1125,135, ,N,N,N
2015,20535.0,City of White Mountain - (AK),Municipal,AK,,434.7,770,104, ,N,N,N
2015,24486.0,City of Akutan - (AK),Municipal,AK,,96.2,598,71, ,N,N,N
2015,26317.0,Manokotak Power Company,Municipal,AK,,660,1458,198, ,N,N,N
2015,29297.0,Pelican Utility,Municipal,AK,,253,1091,105, ,N,N,N
2015,30150.0,CBY DBA Yakutat Power,Political Subdivision,AK,,2176,5151,454, ,N,N,N
2015,40548.0,Unalakleet Valley Elec Coop,Cooperative,AK,,1976,4600,359, ,N,N,N
2015,56256.0,City of Atka - (AK),Municipal,AK,,218.3,497,57, ,N,N,N
2015,56503.0,TDX Manley Generating LLC,Investor Owned,AK,,234,438,129, ,N,N,Y
2015,56739.0,Gold Country Energy,Investor Owned,AK,,291,439,155, ,N,N,N
2015,57351.0,City of Egegik - (AK),Municipal,AK,,516.1,642,74, ,N,N,N
2015,2423.0,City of Brundidge - (AL),Municipal,AL,AEC,6302.2,56232,1279, ,N,N,N
2015,5728.0,City of Elba - (AL),Municipal,AL,AEC,5054,48016,3185, ,N,N,N
2015,6052.0,City of Evergreen - (AL),Municipal,AL,SOCO,6105,53003,1878, ,N,N,N
2015,8209.0,City of Hartford - (AL),Municipal,AL,SOCO,3095,28722,1385, ,N,N,N
2015,10570.0,City of Lafayette - (AL),Municipal,AL,SOCO,4656.5,36458,1530, ,N,N,N
2015,10687.0,City of Lanett - (AL),Municipal,AL,SOCO,6204,59048,3471, ,N,N,N
2015,11333.0,City of Luverne - (AL),Municipal,AL,SOCO,4124,47245,1849, ,N,N,N
2015,14151.0,City of Opp - (AL),Municipal,AL,AEC,8723,68722,3180, ,N,N,N
2015,15022.0,City of Piedmont - (AL),Municipal,AL,SOCO,4666,39169,2087, ,N,N,N
2015,16140.0,City of Robertsdale,Municipal,AL,SOCO,9540,78278,3127, ,N,N,N
2015,925.0,"Ashley Chicot Elec Coop, Inc",Cooperative,AR,MISO,9631,80148,4753, ,Y,Y,N
2015,1000.0,City of Augusta - (AR),Municipal,AR,MISO,1331,13003,943, ,N,N,N
2015,6206.0,Farmers Electric Coop Corp - (AR),Cooperative,AR,MISO,9264,81502,5068, ,N,Y,N
2015,14460.0,City of Paris - (AR),Municipal,AR,SWPP,3762,47073,1826, ,N,N,N
2015,15043.0,City of Piggott - (AR),Municipal,AR,SPA,4931,38047,2174, ,N,N,N
2015,15337.0,City of Prescott - (AR),Municipal,AR,MISO,8551,90214,1738, ,N,N,N
2015,737.0,Aguila Irrigation District,Political Subdivision,AZ,AZPS,2127,36425,53, ,N,Y,N
2015,2469.0,Buckeye Water C&D District,Political Subdivision,AZ,AZPS,611,7280,99, ,N,Y,N
2015,3990.0,Colorado River Indian Irr Proj,Federal,AZ,WALC,4674.1,64110,2703, ,N,N,N
2015,5438.0,"Duncan Valley Elec Coop, Inc",Cooperative,AZ,WALC,2843.6,21507,2105, ,Y,N,Y
2015,6753.0,City of Fredonia - (AZ),Municipal,AZ,WALC,562.5,9188,714, ,N,N,N
2015,8139.0,Harquahala Valley Pwr District,Political Subdivision,AZ,AZPS,5213,92818,103, ,N,Y,N
2015,8700.0,Hohokam Irr & Drain Dist,Political Subdivision,AZ,WALC,4122.5,37573,1705, ,N,N,N
2015,12191.0,McMullen Valley Water C&D Dist,Political Subdivision,AZ,AZPS,5175,95518,138, ,N,Y,N
2015,13961.0,Ocotillo Water Conserv. Dist.,Political Subdivision,AZ,SRP,785,12688,84, ,N,Y,N
2015,14543.0,Tohono O'Odham Utility Authority,Political Subdivision,AZ,AZPS,12605,90949,3856, ,Y,N,N
2015,15050.0,Electrical Dist No5 Pinal County,Political Subdivision,AZ,SRP,3679,64404,430, ,N,Y,N
2015,16273.0,Roosevelt Irrigation District,Political Subdivision,AZ,SRP,3128,39928,187, ,N,Y,N
2015,16538.0,City of Safford - (AZ),Municipal,AZ,WALC,8756,69813,4025, ,Y,Y,N
2015,18805.0,Town of Thatcher- (AZ),Municipal,AZ,WALC,2480,22692,1408, ,Y,Y,N
2015,19016.0,Tonopah Irrigation District,Political Subdivision,AZ,AZPS,1260,21699,40, ,N,Y,N
2015,20618.0,Town of Wickenburg,Municipal,AZ,AZPS,2340,24745,1453, ,N,Y,N
2015,21239.0,Electrical Dist No7 Maricopa,Political Subdivision,AZ,AZPS,2965,51406,111, ,N,Y,N
2015,40355.0,Maricopa County M W C Dist #1,Political Subdivision,AZ,AZPS,3160,38629,152, ,N,Y,N
2015,40357.0,Electrical Dist No6 Pinal County,Political Subdivision,AZ,SRP,2098,35182,114, ,N,Y,N
2015,56535.0,City of Williams - AZ,Municipal,AZ,AZPS,4167,39812,1801, ,N,Y,N
2015,1702.0,City of Biggs - (CA),Municipal,CA,CISO,1833.8,14302,723, ,Y,N,N
2015,3990.0,Colorado River Indian Irr Proj,Federal,CA,WALC,1895,22431,2121, ,N,N,N
2015,7677.0,City of Gridley - (CA),Municipal,CA,CISO,6913,33982,2399, ,Y,N,N
2015,13149.0,City of Needles - (CA),Municipal,CA,WALC,6871,53641,2914, ,Y,N,N
2015,19131.0,Trinity Public Utilities Dist,Political Subdivision,CA,BANC,7925,96354,7305, ,Y,N,N
2015,19174.0,Tuolumne County Pub Power Agny,Political Subdivision,CA,CISO,1978.4,22575,32, ,N,N,N
2015,56224.0,Rancho Cucamonga Municipal Utility,Municipal,CA,CISO,10881,74856,912, ,Y,N,Y
2015,2550.0,City of Burlington - (CO),Municipal,CO,WACM,3995,20598,2215, ,N,N,N
2015,3227.0,City of Center - (CO),Municipal,CO,PSCO,1851.8,17050,996, ,N,N,N
2015,5036.0,City of Delta - (CO),Municipal,CO,WACM,5932,51680,3079, ,Y,N,N
2015,6418.0,Town of Fleming - (CO),Municipal,CO,WACM,285.9,2883,230, ,N,N,N
2015,7478.0,Town of Granada - (CO),Municipal,CO,WACM,381,2246,244, ,N,N,N
2015,8311.0,Town of Haxtun - (CO),Municipal,CO,WACM,1006,10063,578, ,N,N,N
2015,8751.0,Town of Holly - (CO),Municipal,CO,WACM,1187.5,7265,579, ,N,N,N
2015,8777.0,City of Holyoke - (CO),Municipal,CO,WACM,2447,21669,1196, ,N,N,N
2015,9928.0,City of Julesburg - (CO),Municipal,CO,WACM,948.8,10678,933, ,N,N,N
2015,10536.0,City of La Junta - (CO),Municipal,CO,PSCO,10616,79798,3786, ,N,N,N
2015,10633.0,City of Lamar - (CO),Municipal,CO,PSCO,12185,83952,5609, ,Y,N,N
2015,10730.0,City of Las Animas - (CO),Municipal,CO,WACM,4053,24697,1970, ,N,N,N
2015,11376.0,Town of Lyons - (CO),Municipal,CO,PSCO,797,12272,1046, ,Y,N,N
2015,14054.0,Town of Oak Creek - (CO),Municipal,CO,WACM,747,9547,699, ,N,N,N
2015,17834.0,City of Springfield - (CO),Municipal,CO,WACM,1672,10918,1060, ,N,N,N
2015,19204.0,City of Trinidad - (CO),Municipal,CO,WACM,7386.1,47464,3795, ,N,N,N
2015,21021.0,City of Wray,Municipal,CO,WACM,2377,22996,1232, ,N,N,N
2015,21143.0,City of Yuma - (CO),Municipal,CO,WACM,2781,28731,1706, ,N,N,N
2015,40230.0,Deseret Generation & Tran Coop,Cooperative,CO,PACE,3720.8,35127,1, ,N,N,N
2015,10935.0,City of Lewes - (DE),Municipal,DE,PJM,9670,77182,3653, ,Y,N,N
2015,1876.0,City of Blountstown - (FL),Municipal,FL,SOCO,4490,33570,1332, ,N,N,N
2015,2633.0,City of Bushnell - (FL),Municipal,FL,FPC,3144,23615,1040, ,Y,N,N
2015,3406.0,City of Chattahoochee - (FL),Municipal,FL,FPC,3943,37889,1156, ,N,N,N
2015,6609.0,City of Fort Meade - (FL),Municipal,FL,FPC,5473.4,40498,2671, ,N,Y,N
2015,12876.0,City of Moore Haven - (FL),Municipal,FL,FPL,1976,16016,1068, ,N,N,N
2015,13033.0,City of Mount Dora - (FL),Municipal,FL,FPC,11224,87912,5660, ,Y,N,N
2015,13521.0,City of Newberry - (FL),Municipal,FL,FPC,3878.3,33986,1724, ,Y,N,N
2015,20209.0,City of Wauchula - (FL),Municipal,FL,TEC,6304,62515,2775, ,N,N,N
2015,20735.0,City of Williston - (FL),Municipal,FL,FPC,2582,31796,1520, ,Y,N,N
2015,1232.0,City of Barnesville - (GA),Municipal,GA,SOCO,7528,80850,2785, ,N,N,N
2015,1826.0,City of Blakely - (GA),Municipal,GA,SOCO,7486,77930,2440, ,N,N,N
2015,2236.0,Town of Brinson - (GA),Municipal,GA,SOCO,166.1,1468,130, ,N,N,N
2015,4091.0,City of Commerce - (GA),Municipal,GA,SOCO,6171.1,55521,2810, ,N,N,N
2015,5236.0,City of Doerun - (GA),Municipal,GA,SOCO,984.6,5318,429, ,N,N,N
2015,5796.0,City of Ellaville,Municipal,GA,SOCO,3093.1,24568,856, ,N,N,N
2015,6130.0,City of Fairburn - (GA),Municipal,GA,SOCO,6672.9,67064,3153, ,N,N,N
2015,6598.0,City of Forsyth - (GA),Municipal,GA,SOCO,9387,76246,2546, ,N,N,N
2015,7515.0,City of Grantville - (GA),Municipal,GA,SOCO,1426.6,11243,799, ,N,N,N
2015,8022.0,City of Hampton - (GA),Municipal,GA,SOCO,2906.4,31155,2113, ,N,N,N
2015,8698.0,City of Hogansville - (GA),Municipal,GA,SOCO,3197,24266,1848, ,N,N,N
2015,9573.0,City of Jackson - (GA),Municipal,GA,SOCO,4807,37437,1597, ,N,N,N
2015,10571.0,City of LaFayette - (GA),Municipal,GA,SOCO,9681,101273,4449, ,N,N,N
2015,11587.0,City of Mansfield - (GA),Municipal,GA,SOCO,812.9,7569,267, ,N,N,N
2015,12851.0,City of Monticello - (GA),Municipal,GA,SOCO,2937,23757,1463, ,N,N,N
2015,14396.0,City of Palmetto - (GA),Municipal,GA,SOCO,3378.6,30159,1829, ,N,N,N
2015,15573.0,City of Quitman,Municipal,GA,SOCO,6827.8,50445,2376, ,N,N,N
2015,16637.0,City of Sandersville - (GA),Municipal,GA,SOCO,11051.3,100491,2830, ,N,N,N
2015,18403.0,City of Sylvester - (GA),Municipal,GA,SOCO,10571,89999,2722, ,Y,N,N
2015,20393.0,City of West Point - (GA),Municipal,GA,SOCO,5750,53086,1598, ,N,N,N
2015,20534.0,City of Whigham - (GA),Municipal,GA,SOCO,943,5908,294, ,N,N,N
2015,40369.0,City of Oxford - (GA),Municipal,GA,SOCO,2216,16610,672, ,N,N,N
2015,149.0,City of Afton- (IA),Municipal,IA,MISO,810,6288,509, ,N,Y,N
2015,182.0,City of Akron - (IA),Municipal,IA,MISO,1406,14558,825, ,N,N,N
2015,198.0,City of Alton,Municipal,IA,MISO,917,10603,568, ,N,Y,N
2015,405.0,City of Alta - (IA),Municipal,IA,MISO,1703.1,16628,986, ,N,N,N
2015,432.0,City of Alta Vista- (IA),Municipal,IA,MISO,210,1767,172, ,N,N,N
2015,682.0,City of Anita - (IA),Municipal,IA,MISO,796.2,8737,636, ,N,N,N
2015,700.0,City of Anthon - (IA),Municipal,IA,SWPP,624.7,6127,358, ,N,Y,N
2015,723.0,City of Aplington,Municipal,IA,MISO,673,6689,530, ,N,N,N
2015,995.0,City of Auburn - (IA),Municipal,IA,MISO,245,1749,185, ,N,N,N
2015,1002.0,City of Aurelia - (IA),Municipal,IA,MISO,739,7600,519, ,N,N,N
2015,1172.0,Bancroft Municipal Utilities,Municipal,IA,MISO,1520,16437,643, ,N,N,N
2015,1515.0,City of Bellevue - (IA),Municipal,IA,MISO,1812,19043,1761, ,Y,N,N
2015,1824.0,City of Bigelow - (MN),Municipal,IA,MISO,82.5,879,19, ,N,N,N
2015,1968.0,Boone Valley Electric Coop,Cooperative,IA,MISO,453,5315,115, ,N,N,N
2015,2183.0,City of Breda - (IA),Municipal,IA,MISO,546.7,4514,302, ,N,Y,N
2015,2287.0,City of Brooklyn - (IA),Municipal,IA,MISO,1273.5,11944,799, ,N,Y,N
