,Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential.1,Commercial.1,Industrial.1,Transportation.1,Total.1,Residential.2,Commercial.2,Industrial.2,Transportation.2,Total.2,Residential.3,Commercial.3,Industrial.3,Transportation.3,Total.3,Residential.4,Commercial.4,Industrial.4,Transportation.4,Total.4,Residential.5,Commercial.5,Industrial.5,Transportation.5,Total.5,Residential.6,Commercial.6,Industrial.6,Transportation.6,Total.6,Residential.7,Commercial.7,Industrial.7,Transportation.7,Total.7
0,2015,97.0,Adams Electric Coop,,IL,MISO, , , , , ,11500,216, , ,11716, , , , , , , , , , ,11500.0,216.0,0.0,0.0,11716.0,109511,52301, , ,161812,8461,216, , ,8677,4217, , , ,4217
1,2015,406.0,City of Altamont - (IL),Y,IL,MISO,1277,158,0, ,1435, , , , , , , , , , , , , , , ,1277.0,158.0,0.0,0.0,1435.0, , , , , , , , , , , , , , , 
2,2015,1325.0,City of Batavia - (IL),,IL,PJM,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,9557,1336,11, ,10904,9557.0,1336.0,11.0,0.0,10904.0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0
3,2015,2188.0,City of Breese - (IL),Y,IL,MISO,1900,0,0,0,1900, , , , , , , , , , , , , , , ,1900.0,0.0,0.0,0.0,1900.0, , , , , , , , , , , , , , , 
4,2015,3153.0,City of Casey - (IL),Y,IL,MISO,1668,298, , ,1966, , , , , , , , , , , , , , , ,1668.0,298.0,0.0,0.0,1966.0, , , , , , , , , , , , , , , 
5,2015,3405.0,Village of Chatham - (IL),Y,IL,MISO,5352,300, , ,5652, , , , , , , , , , , , , , , ,5352.0,300.0,0.0,0.0,5652.0, , , , , , , , , , , , , , , 
6,2015,3726.0,Clay Electric Coop Inc,Y,IL,MISO,2884,203,150, ,3237, , , , , , , , , , , , , , , ,2884.0,203.0,150.0,0.0,3237.0, , , , , , , , , , , , , , , 
7,2015,3806.0,"Clinton County Elec Coop, Inc",,IL,MISO,0,0, , ,0,0,0, , ,0, , , , ,0,5275,700, , ,5975,5275.0,700.0,0.0,0.0,5975.0, , , , ,0, , , , ,0, , , , ,0
8,2015,3931.0,Coles-Moultrie Electric Coop,,IL,MISO, , , , , ,13386,1116,8, ,14510, , , , , ,358,32, , ,390,13744.0,1148.0,8.0,0.0,14900.0,120117,48242,33001, ,201360, , , , , , , , , , 
9,2015,4110.0,Commonwealth Edison Co,,IL,PJM,476,3572,1588,150,5786,1702611,146614,4885,4,1854114,1702611,146614,4885,4,1854114,2054787,320271, , ,2375058,3757874.0,470457.0,6473.0,154.0,4234958.0,7420068,2961002,1319090,2477,11702637, , , , ,0,72800, , , ,72800
10,2015,4362.0,Corn Belt Energy Corporation,,IL,MISO,33366,2062,3, ,35431, , , , , , , , , , , , , , , ,33366.0,2062.0,3.0,0.0,35431.0, , , , , , , , , , , , , , , 
11,2015,5531.0,Enerstar Power Corp,Y,IL,MISO,0,0, , ,0,4979,275, , ,5254, , , , , , , , , , ,4979.0,275.0,0.0,0.0,5254.0,60139,21302, , ,81441, , , , , , , , , , 
12,2015,5535.0,Egyptian Electric Coop Assn,,IL,MISO,13673,1272, , ,14945, , , , , , , , , , , , , , , ,13673.0,1272.0,0.0,0.0,14945.0, , , , , , , , , , , , , , , 
13,2015,5585.0,Eastern Illinois Elec Coop,,IL,MISO,11325,2187,3, ,13515, , , , , , , , , , , , , , , ,11325.0,2187.0,3.0,0.0,13515.0, , , , , , , , , , , , , , , 
14,2015,6192.0,City of Farmer City - (IL),Y,IL,MISO,500,23,4, ,527, , , , , , , , , , , , , , , ,500.0,23.0,4.0,0.0,527.0, , , , , , , , , , , , , , , 
15,2015,6417.0,City of Flora - (IL),,IL,MISO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2370,423,10,0,2803,2370.0,423.0,10.0,0.0,2803.0, , , , , , , , , , , , , , , 
16,2015,6764.0,Village of Freeburg - (IL),Y,IL,MISO,1976,185,24, ,2185, , , , , , , , , , , , , , , ,1976.0,185.0,24.0,0.0,2185.0, , , , , , , , , , , , , , , 
17,2015,7095.0,City of Geneseo - (IL),Y,IL,MISO,3451,571,10, ,4032, , , , ,0, , , , , , , , , , ,3451.0,571.0,10.0,0.0,4032.0, , , , ,0, , , , , , , , , , 
18,2015,7096.0,City of Geneva- (IL),,IL,PJM,3724,250,0,0,3974, , , , , , , , , , ,5832,158,39,0,6029,9556.0,408.0,39.0,0.0,10003.0, , , , , , , , , , , , , , , 
19,2015,8573.0,City of Highland,,IL,MISO,5798,642,160, ,6600, , , , , , , , , , , , , , , ,5798.0,642.0,160.0,0.0,6600.0, , , , , , , , , , , , , , , 
20,2015,8824.0,M J M Electric Cooperative Inc,,IL,MISO,9070,203, , ,9273, , , , , , , , , , , , , , , ,9070.0,203.0,0.0,0.0,9273.0, , , , , ,9070,203, , ,9273,31, , , ,31
21,2015,9209.0,Illinois Rural Electric Coop,,IL,MISO, , , , , ,10092,264, , ,10356, , , , , , , , , , ,10092.0,264.0,0.0,0.0,10356.0,120337,46977, , ,167314,250,202, , ,452, , , , , 
22,2015,9750.0,Jo-Carroll Energy Coop Inc,,IL,MISO, , , , , ,19640,688,30, ,20358, , , , , ,70,120,56, ,246,19710.0,808.0,86.0,0.0,20604.0,146689,55702,57446, ,259837, , , , , ,187, , , ,187
23,2015,11736.0,City of Marshall - (IL),Y,IL,MISO,2070,394,10, ,2474, , , , , , , , , , , , , , , ,2070.0,394.0,10.0,0.0,2474.0, , , , , , , , , , , , , , , 
24,2015,11790.0,City of Mascoutah - (IL),Y,IL,MISO,3269,205,4, ,3478, , , , , , , , , , , , , , , ,3269.0,205.0,4.0,0.0,3478.0, , , , , , , , , , , , , , , 
25,2015,12070.0,McDonough Power Coop,Y,IL,MISO,4751,409,1, ,5161, , , , , , , , , , , , , , , ,4751.0,409.0,1.0,0.0,5161.0, , , , , , , , , , , , , , , 
26,2015,12341.0,MidAmerican Energy Co,,IL,MISO,74250,10272, , ,84522, , , , , , , , , , ,14,259,93, ,366,74264.0,10531.0,93.0,0.0,84888.0, , , , , , , , , , , , , , , 
27,2015,12395.0,Menard Electric Coop,,IL,MISO, , ,1, ,1,9050,557,1191, ,10798, , , , , , , , , , ,9050.0,557.0,1192.0,0.0,10799.0,115938,27183,15308, ,158429,1303,22,12, ,1337,1352,20,1191, ,2563
28,2015,12803.0,"Monroe County Elec Coop, Inc",,IL,MISO, , , , , ,7107,124,34, ,7265, , , , , , , , , , ,7107.0,124.0,34.0,0.0,7265.0,100007,13917,97, ,114021,7107,124,34, ,7265, , , , , 
29,2015,13032.0,Mt Carmel Public Utility Co,,IL,MISO, , , , ,0, , , , ,0, , , , ,0,4835,879,106, ,5820,4835.0,879.0,106.0,0.0,5820.0, , , , ,0, , , , ,0, , , , ,0
30,2015,13208.0,City of Naperville - (IL),,IL,PJM, , , , ,0,52625,6386,9, ,59020, , , , , ,2, , , ,2,52627.0,6386.0,9.0,0.0,59022.0,507784,763174,71559, ,1342517, , , , , , , , , , 
31,2015,13292.0,Norris Electric Coop,,IL,MISO,17434,2034,10, ,19478, , , , , , , , , , , , , , , ,17434.0,2034.0,10.0,0.0,19478.0, , , , , , , , , , , , , , , 
32,2015,13993.0,City of Oglesby - (IL),Y,IL,MISO,1951,91, , ,2042, , , , , , , , , , , , , , , ,1951.0,91.0,0.0,0.0,2042.0, , , , , , , , , , , , , , , 
33,2015,14840.0,City of Peru - (IL),,IL,MISO, , , , ,0, , , , ,0, , , , ,0,4777,900,8, ,5685,4777.0,900.0,8.0,0.0,5685.0, , , , ,0, , , , ,0, , , , ,0
34,2015,15388.0,City of Princeton - (IL),,IL,MISO,3757,675,56, ,4488,0,0,0, ,0, , , , , , , , , , ,3757.0,675.0,56.0,0.0,4488.0, , , , , , , , , , , , , , , 
35,2015,15686.0,Village of Rantoul - (IL),,IL,MISO, , , , ,0, , , , ,0, , , , ,0,5559,441,73, ,6073,5559.0,441.0,73.0,0.0,6073.0, , , , ,0,0,0,0,0,0, , , , ,0
36,2015,16179.0,Rochelle Municipal Utilities,,IL,PJM,932,53, , ,985,5224,892,38, ,6154, , , , , , ,131, , ,131,6156.0,1076.0,38.0,0.0,7270.0,34274,20333,220150, ,274757, , , , , , , , , , 
37,2015,16196.0,Rock Energy Cooperative,,IL,MISO,9157,1099,15, ,10271, , , , , , , , , , , , , , , ,9157.0,1099.0,15.0,0.0,10271.0, , , , , , , , , , , , , , , 
38,2015,16198.0,City of Rock Falls - (IL),Y,IL,MISO,4684,536,0, ,5220, , , , , , , , , , , , , , , ,4684.0,536.0,0.0,0.0,5220.0, , , , , , , , , , , , , , , 
39,2015,16269.0,City of Roodhouse - (IL),Y,IL,MISO,807,63,3, ,873, , , , , , , , , , , , , , , ,807.0,63.0,3.0,0.0,873.0, , , , , , , , , , , , , , , 
40,2015,16420.0,Rural Electric Conven Coop,,IL,MISO, , , , , ,5458,324,6, ,5788, , , , , , , , , , ,5458.0,324.0,6.0,0.0,5788.0,82436,13157,10748, ,106341, , , , , , , , , , 
41,2015,16740.0,Scenic Rivers Energy Coop,,IL,MISO,13, , , ,13, , , , , , , , , , , , , , , ,13.0,0.0,0.0,0.0,13.0, , , , , , , , , , , , , , , 
