,|Data Year|,|Utility Number|,|Utility Name|,|State|,|County|
0,2015,97,Adams Electric Coop,IL,Adams
1,2015,97,Adams Electric Coop,IL,Brown
2,2015,97,Adams Electric Coop,IL,Schuyler
3,2015,229,City of Albany - (IL),IL,Whiteside
4,2015,366,City of Allendale- (IL),IL,Wabash
5,2015,406,City of Altamont - (IL),IL,Effingham
6,2015,1325,City of Batavia - (IL),IL,Kane
7,2015,1648,Village of Bethany - (IL),IL,Moultrie
8,2015,2188,City of Breese - (IL),IL,Clinton
9,2015,2634,City of Bushnell - (IL),IL,McDonough
10,2015,2776,Cairo Public Utility Company,IL,Alexander
11,2015,2776,Cairo Public Utility Company,IL,Pulaski
12,2015,3037,City of Carlyle - (IL),IL,Clinton
13,2015,3040,City of Carmi - (IL),IL,White
14,2015,3153,City of Casey - (IL),IL,Clark
15,2015,3405,Village of Chatham - (IL),IL,Sangamon
16,2015,3726,Clay Electric Coop Inc,IL,Clay
17,2015,3726,Clay Electric Coop Inc,IL,Effingham
18,2015,3726,Clay Electric Coop Inc,IL,Fayette
19,2015,3726,Clay Electric Coop Inc,IL,Jasper
20,2015,3726,Clay Electric Coop Inc,IL,Marion
21,2015,3726,Clay Electric Coop Inc,IL,Richland
22,2015,3726,Clay Electric Coop Inc,IL,Wayne
23,2015,3806,"Clinton County Elec Coop, Inc",IL,Clinton
24,2015,3806,"Clinton County Elec Coop, Inc",IL,Fayette
25,2015,3806,"Clinton County Elec Coop, Inc",IL,Madison
26,2015,3806,"Clinton County Elec Coop, Inc",IL,Marion
27,2015,3806,"Clinton County Elec Coop, Inc",IL,St Clair
28,2015,3806,"Clinton County Elec Coop, Inc",IL,Washington
29,2015,3931,Coles-Moultrie Electric Coop,IL,Clark
30,2015,3931,Coles-Moultrie Electric Coop,IL,Coles
31,2015,3931,Coles-Moultrie Electric Coop,IL,Cumberland
32,2015,3931,Coles-Moultrie Electric Coop,IL,Douglas
33,2015,3931,Coles-Moultrie Electric Coop,IL,Edgar
34,2015,3931,Coles-Moultrie Electric Coop,IL,Moultrie
35,2015,3931,Coles-Moultrie Electric Coop,IL,Piatt
36,2015,3931,Coles-Moultrie Electric Coop,IL,Shelby
37,2015,4110,Commonwealth Edison Co,IL,Boone
38,2015,4110,Commonwealth Edison Co,IL,Bureau
39,2015,4110,Commonwealth Edison Co,IL,Carroll
40,2015,4110,Commonwealth Edison Co,IL,Cook
41,2015,4110,Commonwealth Edison Co,IL,DeKalb
42,2015,4110,Commonwealth Edison Co,IL,DuPage
