Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Photovoltaic,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Wind,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Other,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Total,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63
,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Data Year,Utility Number,Utility Name,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2015,84,A & N Electric Coop,VA,0.054,0.14, , ,0.194,14,9, , ,23, , , , ,0,0.014,0, , ,0.014,6,0, , ,6, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.068,0.14,0,0,0.208,20,9,0,0,29,0,0,0,0,0
2015,97,Adams Electric Coop,IL,0.006, , , ,0.006,2, , , ,2, , , , ,0,0.018, , , ,0.018,5, , , ,5, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.024,0,0,0,0.024,7,0,0,0,7,0,0,0,0,0
2015,108,Adams-Columbia Electric Coop,WI,0.316,0.06, , ,0.376,43,3, , ,46,285,38, , ,323,0.02,0.05, , ,0.07,2,1, , ,3,9,66, , ,75, , , , ,0, , , , ,0, , , , ,0,0.336,0.11,0,0,0.446,45,4,0,0,49,294,104,0,0,398
2015,155,Agralite Electric Coop,MN,0.047, , , ,0.047,3, , , ,3,71.219, , , ,71.219,0.299, , , ,0.299,15, , , ,15,342.741, , , ,342.741, , , , ,0, , , , ,0, , , , ,0,0.346,0,0,0,0.346,18,0,0,0,18,413.96,0,0,0,413.96
2015,162,Aiken Electric Coop Inc,SC,0.107,0.018, , ,0.125,26,2, , ,28,64.5,19.38, , ,83.88, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.107,0.018,0,0,0.125,26,2,0,0,28,64.5,19.38,0,0,83.88
2015,176,Ajo Improvement Co,AZ, ,0.033, , ,0.033, ,3, , ,3, ,8.87, , ,8.87, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0,0.033,0,0,0.033,0,3,0,0,3,0,8.87,0,0,8.87
2015,195,Alabama Power Co,AL,0.283,0.216,0.04, ,0.539,62,18,1, ,81,135.725,156.273,0, ,291.998, ,0.002, , ,0.002, ,1, , ,1, ,0, , ,0, , , , ,0, , , , ,0, , , , ,0,0.283,0.218,0.04,0,0.541,62,19,1,0,82,135.725,156.273,0,0,291.998
2015,201,City of Alachua - (FL),FL,0.018,0.039, , ,0.057,3,2, , ,5,0,0, , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.018,0.039,0,0,0.057,3,2,0,0,5,0,0,0,0,0
2015,207,City of Alameda,CA,1.04,1.79, , ,2.83,260,21,0,0,281,93,193,0,0,286, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,1.04,1.79,0,0,2.83,260,21,0,0,281,93,193,0,0,286
2015,219,Alaska Power and Telephone Co,AK,0.012,0.011, , ,0.023,3,1, , ,4,1.095,2.9, , ,3.995, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.012,0.011,0,0,0.023,3,1,0,0,4,1.095,2.9,0,0,3.995
2015,240,Albemarle Electric Member Corp,NC, , , , ,0, , , , ,0, , , , ,0, ,0.05, , ,0.05, ,1, , ,1, ,0, , ,0, , , , ,0, , , , ,0, , , , ,0,0,0.05,0,0,0.05,0,1,0,0,1,0,0,0,0,0
2015,296,"Alfalfa Electric Coop, Inc",OK, , , , ,0, , , , ,0, , , , ,0,0.002,0.004, , ,0.006,1,3, , ,4,0.176,0.9, , ,1.076, , , , ,0, , , , ,0, , , , ,0,0.002,0.004,0,0,0.006,1,3,0,0,4,0.176,0.9,0,0,1.076
2015,305,Alger-Delta Coop Electric Assn,MI,0.108,0.003,0,0,0.111,23,2,0,0,25,0,0,0,0,0,0.104,0.002,0,0,0.106,4,1,0,0,5,0,0,0,0,0,0.003,0,0,0,0.003,1,0,0,0,1,0,0,0, ,0,0.215,0.005,0,0,0.22,28,3,0,0,31,0,0,0,0,0
2015,307,Algoma Utility Comm,WI, ,0.009,0,0,0.009, ,2,0,0,2,0,0,0,0,0, , ,0,0,0, , ,0,0,0,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0.009,0,0,0.009,0,2,0,0,2,0,0,0,0,0
2015,329,"Allamakee-Clayton El Coop, Inc",IA,0.529,0.036, , ,0.565,43,1, , ,44,276.605,0, , ,276.605,0.015, , , ,0.015,4, , , ,4,2.24, , , ,2.24, , , , ,0, , , , ,0, , , , ,0,0.544,0.036,0,0,0.58,47,1,0,0,48,278.845,0,0,0,278.845
2015,367,City of Alliance- (NE),NE,0.02, , , ,0.02,2, , , ,2, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.02,0,0,0,0.02,2,0,0,0,2,0,0,0,0,0
2015,392,Alpena Power Co,MI, ,0.01, , ,0.01, ,2, , ,2, , , , ,0,0.03, , , ,0.03,17, , , ,17, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.03,0.01,0,0,0.04,17,2,0,0,19,0,0,0,0,0
2015,407,Altamaha Electric Member Corp,GA,0.034, , , ,0.034,4, , , ,4,27.936, , , ,27.936, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.034,0,0,0,0.034,4,0,0,0,4,27.936,0,0,0,27.936
2015,554,City of Ames - (IA),IA,0.014,0.004, , ,0.018,4,1, , ,5, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.014,0.004,0,0,0.018,4,1,0,0,5,0,0,0,0,0
2015,562,Amicalola Electric Member Corp,GA,0.113,0.163, , ,0.276,23,4, , ,27,3.833,13.031, , ,16.864, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.113,0.163,0,0,0.276,23,4,0,0,27,3.833,13.031,0,0,16.864
2015,590,City of Anaheim - (CA),CA,8.4,6.4,0, ,14.8,1759,86,0, ,1845, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,8.4,6.4,0,0,14.8,1759,86,0,0,1845,0,0,0,0,0
2015,599,Anchorage Municipal Light and Power,AK,0.026,0.041, , ,0.067,10,4, , ,14,0,0, , ,0, ,0.002, , ,0.002, ,1, , ,1, ,0, , ,0, , , , ,0, , , , ,0, , , , ,0,0.026,0.043,0,0,0.069,10,5,0,0,15,0,0,0,0,0
