Data Year,Utility Number,Utility Name,Ownership Code,Ownership,Short Form,Advanced Metering,Demand Response,Distribution Systems,Dynamic Pricing,Energy Efficiency,Mergers,Net Metering,Non Net Metering Distributed,Operational Data,Reliablity,Sales to Ultimate Customers,Service Territory,Utility Data
2016,34,City of Abbeville - (SC),M,Municipal,X,X,,,,,,,,,,,X,
2016,55,City of Aberdeen - (MS),M,Municipal,,X,,X,X,,,,X,X,,X,X,X
2016,59,City of Abbeville - (LA),M,Municipal,,X,,X,,,,X,,X,,X,X,X
2016,84,A & N Electric Coop,C,Cooperative,,X,X,X,X,,,X,,X,X,X,X,X
2016,87,City of Ada - (MN),M,Municipal,X,X,,,,,,,,,,,X,
2016,97,Adams Electric Coop,C,Cooperative,,X,X,X,X,,,X,X,X,X,X,X,X
2016,108,Adams-Columbia Electric Coop,C,Cooperative,,X,X,X,X,,,X,,X,X,X,X,X
2016,113,"Agway Energy Services, LLC",R,Retail Power Marketer,,,,,,,,,,X,,X,,X
2016,118,"Adams Rural Electric Coop, Inc",C,Cooperative,,X,,X,,,,,,X,,X,X,X
2016,122,Village of Arcade - (NY),M,Municipal,,X,,X,,X,,,,X,,X,X,X
2016,123,City of Adel- (GA),M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,149,City of Afton- (IA),M,Municipal,X,X,,,,,,,,,,,X,
2016,150,Adrian Public Utilities Comm,M,Municipal,,X,,X,,X,,,,X,,X,X,X
2016,155,Agralite Electric Coop,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2016,157,Town of Advance - (IN),M,Municipal,X,,,,,,,,,,,,X,
2016,162,Aiken Electric Coop Inc,C,Cooperative,,X,,X,X,X,,X,,X,X,X,X,X
2016,174,Aitkin Public Utilities Comm,M,Municipal,X,X,,,,,,,,,,,X,
2016,176,Ajo Improvement Co,I,Investor Owned,,X,,X,,,,X,,X,,X,X,X
2016,182,City of Akron - (IA),M,Municipal,X,X,,,,,,,,,,,X,
2016,183,Village of Akron - (NY),M,Municipal,X,,,,,,,,,,,,X,
2016,189,PowerSouth Energy Cooperative,C,Cooperative,,,X,,,X,,,,X,,,,X
2016,191,Alamo Power District No 3,P,Political Subdivision,X,,,,,,,,,,,,X,
2016,192,Akiachak Native Community Electric,C,Cooperative,X,,,,,,,,,,,,X,
2016,195,Alabama Power Co,I,Investor Owned,,X,X,X,X,X,,,X,X,X,X,X,X
2016,198,City of Alton,M,Municipal,X,X,,,,,,,,,,,X,
2016,201,City of Alachua - (FL),M,Municipal,,X,,X,,,,X,,X,,X,X,X
2016,202,Town of Black Creek - (NC),M,Municipal,X,X,,,,,,,,,,,X,
2016,207,City of Alameda,M,Municipal,,X,,X,,X,,X,,X,X,X,X,X
2016,213,Alaska Electric Light&Power Co,I,Investor Owned,,X,X,X,X,,,,,X,X,X,X,X
2016,219,Alaska Power and Telephone Co,I,Investor Owned,,X,,X,,,,X,X,X,,X,X,X
