|Data Year|,|Utility Number|,|Utility Name|,|Ownership|,|State|,|BA_CODE|,|Total Revenue (Thousand Dollars)|,|Total Sales (MWh)|,|Total Customers|,|Water Heater|,|Net Metering|,|Demand Side Management|,|Time Based Programs|
2016,192.0,Akiachak Native Community Electric,Cooperative,AK,,941.8,1755,235,.,N,N,N
2016,878.0,Atmautluak Tribal Utilities,Municipal,AK,,380,650,93,.,N,N,N
2016,1747.0,Birch Creek Village Elec Util - (AK),Municipal,AK,,20,80,15,.,N,N,N
2016,3421.0,City of Chignik - (AK),Municipal,AK,,235.1,565,118,.,N,N,Y
2016,3422.0,City of Chefornak,Municipal,AK,,671,1380,169,.,N,N,N
2016,3465.0,Chitina Electric Inc,Investor Owned,AK,,191,376,75,.,N,N,N
2016,4959.0,Aniak Light & Power Co Inc,Investor Owned,AK,,1221.3,2216,218,.,N,N,N
2016,5721.0,City of Elfin Cove - (AK),Municipal,AK,,146,266,82,.,N,N,N
2016,6866.0,"G & K, Inc",Investor Owned,AK,,1450,2306,118,.,N,N,N
2016,6915.0,Galena Electric Utility,Municipal,AK,,3011.9,5539,327,.,N,N,N
2016,7833.0,Gwitchyaa Zhee Utility Co,Investor Owned,AK,,942,2763,370,.,N,N,Y
2016,9000.0,Hughes Power & Light Co,Investor Owned,AK,,265,376,57,.,N,N,N
2016,9188.0,"I-N-N Electric Coop, Inc",Cooperative,AK,,1293,2731,279,.,N,N,N
2016,9192.0,Igiugig Electric Company,Political Subdivision,AK,,209.9,246,52,.,N,N,N
2016,9416.0,Ipnatchiaq Electric Company,Municipal,AK,,461.2,655,71,.,N,N,N
2016,9832.0,Kuiggluum Kallugvia,Investor Owned,AK,,817.1,1494,235,.,N,N,N
2016,9897.0,City of King Cove,Municipal,AK,,1002,3340,395,.,N,N,N
2016,10455.0,Kokhanok Village Council,Political Subdivision,AK,,291,429,79,.,N,N,N
2016,10491.0,Kwig Power Company,Political Subdivision,AK,,665.6,954,124,.,N,N,N
2016,10716.0,City of Larsen Bay - (AK),Municipal,AK,AMPL,233.8,906,92,.,N,N,N
2016,12119.0,McGrath Light & Power Co,Investor Owned,AK,,1524.5,2119,291,.,N,N,N
2016,12385.0,Metlakatla Power & Light,Municipal,AK,,1913,19725,975,.,N,N,N
2016,12485.0,Middle Kuskokwim Elec Coop Inc,Cooperative,AK,,852,793,192,.,N,N,N
2016,13201.0,"Naknek Electric Assn, Inc",Cooperative,AK,,9580,21084,1089,.,N,N,N
2016,13211.0,Napakiak Ircinraq Power Co,Investor Owned,AK,,530.4,548,133,.,N,N,N
2016,13477.0,Nelson Lagoon Elec Coop Inc,Cooperative,AK,,232.1,326,66,.,N,N,N
2016,13870.0,"Nushagak Electric Coop, Inc",Cooperative,AK,,7349.9,17267,1463,.,Y,N,N
2016,14234.0,City of Ouzinkie - (AK),Municipal,AK,,251,782,108,.,N,N,N
2016,14633.0,Pedro Bay Village Council - (AK),Municipal,AK,,158,177,40,.,N,N,N
2016,14832.0,Native Village of Perryville - (AK),Municipal,AK,,277,383,67,.,N,N,N
2016,17898.0,City of Saint Paul,Municipal,AK,,1505,3247,236,.,N,N,N
2016,18474.0,Tanana Power Co Inc,Investor Owned,AK,,591.7,1175,157,.,N,N,N
2016,18480.0,Tatitlek Electric Utility,Municipal,AK,,299,212,63,.,N,N,N
2016,18541.0,City of Tenakee Springs - (AK),Municipal,AK,,232,402,165,.,N,N,N
2016,18963.0,"Inside Passage Elec Coop, Inc",Cooperative,AK,,4306,9382,1356,.,N,N,N
2016,19267.0,Tuntutuliak Comm Services Assn,Cooperative,AK,,594,1135,142,.,N,N,N
2016,20535.0,City of White Mountain - (AK),Municipal,AK,,407.9,691,106,.,N,N,N
2016,24486.0,City of Akutan - (AK),Municipal,AK,,198,485,72,.,N,N,N
2016,26317.0,Manokotak Power Company,Municipal,AK,,719,1430,190,.,N,N,N
2016,29297.0,Pelican Utility,Municipal,AK,,219,914,105,.,N,N,N
2016,30150.0,CBY DBA Yakutat Power,Political Subdivision,AK,,1790.6,5176,488,.,N,N,N
2016,40548.0,Unalakleet Valley Elec Coop,Cooperative,AK,,1672,4343,360,.,Y,N,N
2016,56256.0,City of Atka - (AK),Municipal,AK,,193.8,390,64,.,N,N,N
2016,56503.0,TDX Manley Generating LLC,Investor Owned,AK,,323,467,115,.,N,N,Y
2016,56739.0,Gold Country Energy,Investor Owned,AK,,245.1,399,154,.,N,N,N
2016,57351.0,City of Egegik - (AK),Municipal,AK,,362.2,542,74,.,N,N,N
2016,2423.0,City of Brundidge - (AL),Municipal,AL,AEC,5831.2,55293,1272,.,N,N,N
2016,5728.0,City of Elba - (AL),Municipal,AL,AEC,4800,41563,3115,.,N,N,N
2016,6052.0,City of Evergreen - (AL),Municipal,AL,SOCO,5786,50384,1873,.,N,N,N
2016,8209.0,City of Hartford - (AL),Municipal,AL,SOCO,3031,28158,1390,.,N,N,N
2016,10570.0,City of Lafayette - (AL),Municipal,AL,SOCO,4737,37560,1533,.,N,N,N
2016,10687.0,City of Lanett - (AL),Municipal,AL,SOCO,5381.5,55764,3377,.,N,N,N
2016,11333.0,City of Luverne - (AL),Municipal,AL,SOCO,3237,43957,1855,.,N,N,N
2016,14151.0,City of Opp - (AL),Municipal,AL,AEC,8823,69742,3194,.,N,N,N
2016,15022.0,City of Piedmont - (AL),Municipal,AL,SOCO,4647,38946,2041,.,N,N,N
2016,16140.0,City of Robertsdale,Municipal,AL,SOCO,8887.1,77242,3169,.,N,N,N
2016,925.0,"Ashley Chicot Elec Coop, Inc",Cooperative,AR,MISO,9350,75646,4984,.,Y,Y,N
2016,1000.0,City of Augusta - (AR),Municipal,AR,MISO,2109,13657,932,.,N,N,N
2016,6206.0,Farmers Electric Coop Corp - (AR),Cooperative,AR,MISO,10308,87073,5153,.,N,Y,N
2016,14460.0,City of Paris - (AR),Municipal,AR,SWPP,4212,46403,1827,.,N,N,N
2016,15043.0,City of Piggott - (AR),Municipal,AR,SPA,4855,38192,2168,.,N,N,N
2016,15337.0,City of Prescott - (AR),Municipal,AR,MISO,9245,87476,1716,.,N,N,N
2016,737.0,Aguila Irrigation District,Political Subdivision,AZ,AZPS,2162,36653,53,.,N,Y,N
2016,2469.0,Buckeye Water C&D District,Political Subdivision,AZ,AZPS,612,7303,98,.,N,Y,N
2016,3990.0,Colorado River Indian Irr Proj,Federal,AZ,WALC,4525.8,61839,2706,.,N,N,N
2016,5438.0,"Duncan Valley Elec Coop, Inc",Cooperative,AZ,WALC,2942.1,23161,2067,.,Y,N,Y
2016,6753.0,City of Fredonia - (AZ),Municipal,AZ,WALC,600,9910,721,.,N,N,N
2016,8139.0,Harquahala Valley Pwr District,Political Subdivision,AZ,AZPS,5849,105503,111,.,N,Y,N
2016,8700.0,Hohokam Irr & Drain Dist,Political Subdivision,AZ,WALC,4199,38266,1716,.,N,N,N
2016,12191.0,McMullen Valley Water C&D Dist,Political Subdivision,AZ,AZPS,5890,107247,150,.,N,Y,N
2016,13961.0,Ocotillo Water Conserv. Dist.,Political Subdivision,AZ,SRP,854,13089,84,.,N,Y,N
2016,14543.0,Tohono O'Odham Utility Authority,Political Subdivision,AZ,AZPS,10509,90122,3849,.,N,N,N
2016,15050.0,Electrical Dist No5 Pinal County,Political Subdivision,AZ,WALC,163,2393,429,.,N,Y,N
2016,16273.0,Roosevelt Irrigation District,Political Subdivision,AZ,SRP,2982,38403,192,.,N,Y,N
2016,16538.0,City of Safford - (AZ),Municipal,AZ,WALC,10084,80859,4681,.,Y,Y,N
2016,18805.0,Town of Thatcher- (AZ),Municipal,AZ,WALC,2462,22376,1431,.,Y,Y,N
2016,19016.0,Tonopah Irrigation District,Political Subdivision,AZ,AZPS,1269,22219,41,.,N,Y,N
2016,20618.0,Town of Wickenburg,Municipal,AZ,AZPS,2334,24672,1458,.,N,Y,N
2016,21239.0,Electrical Dist No7 Maricopa,Political Subdivision,AZ,AZPS,2851,49064,110,.,N,Y,N
2016,40355.0,Maricopa County M W C Dist #1,Political Subdivision,AZ,AZPS,3330,38099,152,.,N,Y,N
2016,40357.0,Electrical Dist No6 Pinal County,Political Subdivision,AZ,SRP,2078,34489,116,.,N,Y,N
2016,56535.0,City of Williams - AZ,Municipal,AZ,AZPS,4299,41188,1816,.,N,Y,N
2016,1702.0,City of Biggs - (CA),Municipal,CA,CISO,1989,15400,736,.,Y,N,N
2016,3990.0,Colorado River Indian Irr Proj,Federal,CA,WALC,1923.9,22629,2108,.,N,N,N
2016,7677.0,City of Gridley - (CA),Municipal,CA,CISO,6745,34156,2414,.,Y,N,N
2016,13149.0,City of Needles - (CA),Municipal,CA,WALC,6264,60264,3000,.,Y,N,Y
2016,19131.0,Trinity Public Utilities Dist,Political Subdivision,CA,BANC,9237,103571,7314,.,Y,N,N
2016,19174.0,Tuolumne County Pub Power Agny,Political Subdivision,CA,CISO,2288.1,23760,32,.,N,N,N
2016,56224.0,Rancho Cucamonga Municipal Utility,Municipal,CA,CISO,10941,76186,924,.,Y,N,Y
2016,2550.0,City of Burlington - (CO),Municipal,CO,WACM,3990,32579,2280,.,N,N,N
2016,3227.0,City of Center - (CO),Municipal,CO,PSCO,1797.8,21142,806,.,N,N,N
2016,5036.0,City of Delta - (CO),Municipal,CO,WACM,6078,53102,3180,.,Y,N,N
2016,6418.0,Town of Fleming - (CO),Municipal,CO,WACM,315.8,2662,232,.,N,N,N
2016,7478.0,Town of Granada - (CO),Municipal,CO,WACM,420,3190,248,.,N,N,N
2016,8311.0,Town of Haxtun - (CO),Municipal,CO,WACM,956.6,7784,663,.,N,N,N
2016,8751.0,Town of Holly - (CO),Municipal,CO,WACM,1227.9,7700,558,.,N,N,N
2016,8777.0,City of Holyoke - (CO),Municipal,CO,WACM,2528,21766,1197,.,N,N,N
2016,9928.0,City of Julesburg - (CO),Municipal,CO,WACM,979.6,10598,922,.,N,N,N
2016,10536.0,City of La Junta - (CO),Municipal,CO,PSCO,10481,77280,4051,.,N,N,N
2016,10633.0,City of Lamar - (CO),Municipal,CO,PSCO,14034.5,86261,5610,.,Y,N,N
