,Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
0,2016,97,Adams Electric Coop,IL,47,47
1,2016,1325,City of Batavia - (IL),IL,22,.
2,2016,3806,"Clinton County Elec Coop, Inc",IL,37,0
3,2016,3931,Coles-Moultrie Electric Coop,IL,48,0
4,2016,4110,Commonwealth Edison Co,IL,5525,13
5,2016,4362,Corn Belt Energy Corporation,IL,144,78
6,2016,5535,Egyptian Electric Coop Assn,IL,68,64
7,2016,5585,Eastern Illinois Elec Coop,IL,75,75
8,2016,6417,City of Flora - (IL),IL,12,10
9,2016,7096,City of Geneva- (IL),IL,33,0
10,2016,8573,City of Highland,IL,18,.
11,2016,8824,M J M Electric Cooperative Inc,IL,41,41
12,2016,9209,Illinois Rural Electric Coop,IL,69,69
13,2016,9750,Jo-Carroll Energy Coop Inc,IL,104,104
14,2016,12341,MidAmerican Energy Co,IL,116,0
15,2016,12395,Menard Electric Coop,IL,53,33
16,2016,12803,"Monroe County Elec Coop, Inc",IL,34,0
17,2016,13032,Mt Carmel Public Utility Co,IL,15,7
18,2016,13208,City of Naperville - (IL),IL,116,116
19,2016,13292,Norris Electric Coop,IL,110,.
20,2016,14840,City of Peru - (IL),IL,20,13
21,2016,15388,City of Princeton - (IL),IL,15,7
22,2016,15686,Village of Rantoul - (IL),IL,39,39
23,2016,16179,Rochelle Municipal Utilities,IL,24,6
24,2016,16196,Rock Energy Cooperative,IL,21,15
25,2016,16420,Rural Electric Conven Coop,IL,28,0
26,2016,16740,Scenic Rivers Energy Coop,IL,4,.
27,2016,17040,"Shelby Electric Coop, Inc",IL,61,0
28,2016,17585,"Southeastern IL Elec Coop, Inc",IL,113,1
29,2016,17631,Southern Illinois Elec Coop,IL,43,0
30,2016,17697,Southwestern Electric Coop Inc - (IL),IL,84,.
31,2016,17828,City of Springfield - (IL),IL,115,91
32,2016,17860,City of St Charles - (IL),IL,48,0
33,2016,18955,"Tri-County Electric Coop, Inc",IL,86,86
34,2016,20222,Wayne-White Counties Elec Coop,IL,67,0
35,2016,20824,Village of Winnetka - (IL),IL,13,0
36,2016,56697,Ameren Illinois Company,IL,2504,0
