,|Utility Characteristics..Year|,|Utility Characteristics..State|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Customers.Residential|,|Photovoltaic.Customers.Commercial|,|Photovoltaic.Customers.Industrial|,|Photovoltaic.Customers.Transportation|,|Photovoltaic.Customers.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Customers.Residential|,|Photovoltaic.Storage Customers.Commercial|,|Photovoltaic.Storage Customers.Industrial|,|Photovoltaic.Storage Customers.Transportation|,|Photovoltaic.Storage Customers.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Customers.Residential|,|Wind.Customers.Commercial|,|Wind.Customers.Industrial|,|Wind.Customers.Transportation|,|Wind.Customers.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Customers.Residential|,|Other.Customers.Commercial|,|Other.Customers.Industrial|,|Other.Customers.Transportation|,|Other.Customers.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Customers.Residential|,|All Technologies.Customers.Commercial|,|All Technologies.Customers.Industrial|,|All Technologies.Customers.Transportation|,|All Technologies.Customers.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
0,2016,IL,97.0,Adams Electric Coop,AC,0.006,.,.,.,0.006,2,.,.,.,2.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.018,.,.,.,0.018,5,.,.,.,5.0,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0.0,0.024,0.0,0.0,0.0,0.024,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,
1,2016,IL,3931.0,Coles-Moultrie Electric Coop,DC,0.064,0.035,.,.,0.099,8,1,.,.,9.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.011,.,.,.,0.011,2,.,.,.,2.0,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0.0,0.075,0.035,0.0,0.0,0.11,10.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,
2,2016,IL,4110.0,Commonwealth Edison Co,AC,4.26,5.4,.,.,9.66,722,115,.,.,837.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.3,2.54,.,.,2.84,42,11,.,.,53.0,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0.0,4.56,7.94,0.0,0.0,12.5,764.0,126.0,0.0,0.0,890.0,0.0,0.0,0.0,0.0,0.0,
3,2016,IL,4362.0,Corn Belt Energy Corporation,AC,0.182,.,.,.,0.182,30,.,.,.,30.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.032,.,.,.,0.032,3,.,.,.,3.0,.,.,.,.,0.0,.,.,2.6,.,2.6,.,.,1,.,1.0,.,.,.,.,0.0,0.214,0.0,2.6,0.0,2.814,33.0,0.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,
4,2016,IL,5585.0,Eastern Illinois Elec Coop,AC,0.131,0.003,.,.,0.134,19,1,.,.,20.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46.535,0,.,.,46.535,0.01,.,.,.,0.01,1,.,.,.,1.0,0.4,.,.,.,0.4,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0.0,0.141,0.003,0.0,0.0,0.144,20.0,1.0,0.0,0.0,21.0,46.935,0.0,0.0,0.0,46.935,
5,2016,IL,7096.0,City of Geneva- (IL),AC,0.03,.,.,.,0.03,4,.,.,.,4.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0.0,0.03,0.0,0.0,0.0,0.03,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,
6,2016,IL,8824.0,M J M Electric Cooperative Inc,AC,0.01,.,.,.,0.01,28,.,.,.,28.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.01,.,.,.,0.01,2,.,.,.,2.0,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0.0,0.02,0.0,0.0,0.0,0.02,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,
7,2016,IL,9750.0,Jo-Carroll Energy Coop Inc,AC,0.407,0.05,.,.,0.457,60,3,.,.,63.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,286,23,.,.,309.0,0.016,.,.,.,0.016,7,.,.,.,7.0,1.4,.,.,.,1.4,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0.0,0.423,0.05,0.0,0.0,0.473,67.0,3.0,0.0,0.0,70.0,287.4,23.0,0.0,0.0,310.4,
8,2016,IL,12341.0,MidAmerican Energy Co,AC,0.038,0.566,0,.,0.604,10,4,0,.,14.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.619,0,0,.,3.619,0.002,0.62,0,.,0.622,1,2,0,.,3.0,0,0,0,.,0.0,0,1.2,0,.,1.2,0,1,0,.,1.0,0,0,0,.,0.0,0.04,2.386,0.0,0.0,2.426,11.0,7.0,0.0,0.0,18.0,3.619,0.0,0.0,0.0,3.619,
9,2016,IL,12395.0,Menard Electric Coop,DC,0.068,.,.,.,0.068,13,.,.,.,13.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29.551,.,.,.,29.551,0.018,.,.,.,0.018,3,.,.,.,3.0,10.314,.,.,.,10.314,.,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,0.0,0.086,0.0,0.0,0.0,0.086,16.0,0.0,0.0,0.0,16.0,39.865,0.0,0.0,0.0,39.865,
