Utility Characteristics,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2017,84,A & N Electric Coop,MD,PJM,35,.,.,.,35,1,.,.,.,1,0.5,.,.,.,0.5,0.4,.,.,.,0.4,0,.,.,.,0,1,.,.,.,1,.
2017,84,A & N Electric Coop,VA,PJM,2471,.,.,.,2471,110,.,.,.,110,2,.,.,.,2,1,.,.,.,1,0,.,.,.,0,15,.,.,.,15,.
2017,97,Adams Electric Coop,IL,MISO,4327,68,.,.,4395,.,.,.,.,.,4,4,.,.,8,4,.,.,.,4,68,360,.,.,428,9,.,.,.,9,34
2017,108,Adams-Columbia Electric Coop,WI,MISO,3942,.,908,.,4850,1428,.,13958,.,15386,20.1,.,59,.,79.1,6,.,1.7,.,7.7,301,.,34,.,335,124,.,70,.,194,.
2017,162,Aiken Electric Coop Inc,SC,SC,214,.,.,.,214,.,.,.,.,.,0.4,.,.,.,0.4,0.2,.,.,.,0.2,.,.,.,.,.,32,.,.,.,32,.
2017,189,PowerSouth Energy Cooperative,AL,AEC,19115,.,.,.,19115,.,.,.,.,.,16.6,.,.,.,16.6,16.6,.,.,.,16.6,0,.,.,.,0,233,.,.,.,233,1831
2017,195,Alabama Power Co,AL,SOCO,6194,6,77,0,6277,110,1,1921,0,2031,146,6.6,1366.8,0,1519.4,6.9,6,932.6,0,945.5,0,0,0,0,0,1130,246,22953,0,24328,.
2017,213,Alaska Electric Light&Power Co,AK,NA,2367,46,1,.,2414,.,.,.,.,.,5,13,9,.,27,0,13,9,.,22,65,1,.,.,66,28,0,.,.,28,0
2017,295,City of Alexandria - (MN),MN,MISO,2819,.,.,.,2819,.,.,.,.,.,9,.,.,.,9,3.7,.,.,.,3.7,3,.,.,.,3,42,.,.,.,42,1
2017,329,"Allamakee-Clayton El Coop, Inc",IA,MISO,2637,158,0,0,2795,0,0,0,0,0,4.9,1.7,0,0,6.6,2.5,0.9,0,0,3.4,400,24,0,0,424,150,9,0,0,159,.
2017,332,Allegheny Electric Coop Inc,PA,PJM,46662,.,.,.,46662,0,.,.,.,0,62,.,.,.,62,46,.,.,.,46,0,.,.,.,0,2191,.,.,.,2191,69
2017,407,Altamaha Electric Member Corp,GA,SOCO,.,.,221,.,221,.,.,.,.,.,.,.,13.9,.,13.9,.,.,13.9,.,13.9,.,.,.,.,.,.,.,.,.,.,.
2017,590,City of Anaheim - (CA),CA,CISO,.,3,11,.,14,.,.,.,.,.,.,5,8,.,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,733,Appalachian Power Co,VA,PJM,0,0,1,0,1,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.
2017,733,Appalachian Power Co,WV,PJM,0,0,5,0,5,0,0,0,0,0,0,0,127,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.
2017,803,Arizona Public Service Co,AZ,AZPS,570234,841,.,.,571075,778326,132572,.,.,910898,177.8,25,.,.,202.8,177.8,29.5,.,.,207.3,0,0,.,.,0,2092,0,.,.,2092,.
2017,807,Arkansas Electric Coop Corp,AR,SWPP,.,8,.,.,8,.,.,.,.,.,.,628,.,.,628,.,50,.,.,50,.,29561,.,.,29561,.,.,.,.,.,.
2017,814,Entergy Arkansas Inc,AR,MISO,23075,.,1035,.,24110,2,.,0,.,2,37.6,.,12.2,.,49.8,37.6,.,12.2,.,49.8,696,.,150,.,846,1368,.,2688,.,4056,.
2017,828,City of Arlington - (MN),MN,MISO,444,33,.,.,477,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,1,.,.,12,.,.,.,.,.,.
2017,963,Atlantic City Electric Co,NJ,PJM,45752,.,.,.,45752,612,.,.,.,612,51,.,.,.,51,51,.,.,.,51,13,.,.,.,13,16,.,.,.,16,.
2017,965,Atlantic Municipal Utilities,IA,MISO,327,33,.,.,360,25,14,.,.,38,0.5,0.1,.,.,0.6,0.5,0.1,.,.,0.6,8,1,.,.,9,5,0,.,.,5,.
2017,1009,City of Austin - (MN),MN,MISO,6629,2,.,.,6631,195,2,.,.,196,3.7,0.4,.,.,4.1,3.7,0.4,.,.,4.1,0,18,.,.,18,.,.,.,.,.,.
2017,1015,Austin Energy,TX,ERCO,135467,8669,2890,.,147026,77,24,8,.,109,65.5,55.2,17.8,.,138.4,37.9,38.7,12.2,.,88.8,1460,393,131,.,1984,955,559,186,.,1701,945
2017,1167,Baltimore Gas & Electric Co,MD,PJM,333707,.,.,.,333707,3548,.,.,.,3548,328,.,.,.,328,0,.,.,.,0,21449,.,.,.,21449,11690,.,.,.,11690,.
2017,1233,City of Barnesville - (MN),MN,MISO,877,60,0,.,937,9,.,.,.,9,1,.,.,.,1,1,.,.,.,1,11,.,.,.,11,10,.,.,.,10,.
2017,1251,Barron Electric Coop,WI,MISO,6156,253,.,.,6409,.,.,.,.,.,7.1,3.9,.,.,11,3.5,2,.,.,5.5,28,1,.,.,29,78,3,.,.,81,0
2017,1367,"Bayfield Electric Coop, Inc",WI,MISO,1088,6,.,.,1094,378,0,.,.,378,2,0,.,.,2,2,0,.,.,2,22,0,.,.,22,3,0,.,.,3,.
2017,1529,"Beltrami Electric Coop, Inc",MN,MISO,7834,27,.,.,7861,5135,0,.,.,5135,222.6,4.1,.,.,226.7,27.1,4.1,.,.,31.2,37,.,.,.,37,292,.,.,.,292,.
2017,1573,City of Benson - (MN),MN,MISO,965,35,.,.,1000,.,.,.,.,.,3.4,0.4,.,.,3.8,2.6,0.4,.,.,3,2,.,.,.,2,9,.,.,.,9,.
2017,1613,Berkeley Electric Coop Inc,SC,SC,18490,0,0,0,18490,0,0,0,0,0,83,0,0,0,83,14.8,0,0,0,14.8,136,.,.,.,136,320,.,.,.,320,.
2017,1769,"Black Hills Electric Coop, Inc",SD,SWPP,383,10,0,0,393,9,5,0,0,14,7,1,0,0,8,3,1,0,0,4,.,.,.,.,.,.,.,.,.,.,.
2017,1883,Blue Earth Light & Water,MN,MISO,618,.,.,.,618,32,.,.,.,32,3,.,.,.,3,1,.,.,.,1,41,.,.,.,41,.,.,.,.,.,.
2017,2182,City of Breckenridge- (MN),MN,MISO,659,95,0,0,754,1,1,0,0,2,1,1,0,0,2,1,1,0,0,2,15,4,0,0,19,9,0,0,0,9,10
2017,2192,Bremen Electric Light & Power Co,IN,MISO,.,.,1,.,1,.,.,.,.,.,.,.,4,.,4,.,.,3.7,.,3.7,.,.,59,.,59,.,.,.,.,.,.
2017,2599,Burt County Public Power Dist,NE,SWPP,.,.,344,.,344,.,.,212,.,212,.,.,17,.,17,.,.,5,.,5,.,.,.,.,.,.,.,10,.,10,.
2017,2641,"Butler Rural El Coop Assn, Inc - (KS)",KS,SWPP,6662,780,8,.,7450,.,.,.,.,.,2.6,0.4,1,.,4,1.8,0.2,0.5,.,2.5,.,.,.,.,.,.,.,.,.,.,.
2017,2643,Butler Public Power District - (NE),NE,SWPP,.,.,748,.,748,.,.,663,.,663,.,.,17.9,.,17.9,.,.,7.1,.,7.1,.,.,.,.,.,.,.,3,.,3,.
2017,2655,"Butte Electric Coop, Inc",SD,WACM,1508,.,.,.,1508,959,.,.,.,959,9,.,.,.,9,2,.,.,.,2,6,.,.,.,6,10,.,.,.,10,70
2017,2678,C & L Electric Coop Corp,AR,MISO,.,62,.,.,62,.,.,.,.,.,.,1.6,.,.,1.6,.,0.8,.,.,0.8,.,18,.,.,18,.,2,.,.,2,.
2017,2985,"Capital Electric Coop, Inc",ND,SWPP,886,8,20,.,914,.,.,.,.,.,0.9,0,1.1,.,2,0.6,0,1.1,.,1.7,45,0,53,.,98,162,1,4,.,167,48
2017,3046,Duke Energy Progress - (NC),NC,CPLE,9215,96,58,.,9369,.,.,.,.,.,11.6,18.3,86.2,.,116.1,11.6,0,0,.,11.6,4124,1083,.,.,5207,7090,218,.,.,7308,.
2017,3046,Duke Energy Progress - (NC),SC,CPLE,0,9,18,.,27,.,.,.,.,.,0,0.3,105.2,.,105.5,0,0,0,.,0,659,173,.,.,832,1132,35,.,.,1167,.
2017,3203,Cedar Falls Utilities,IA,MISO,485,1,.,.,486,9,7,.,.,16,.,.,.,.,.,.,.,.,.,.,0,1,.,.,1,6,0,.,.,6,.
2017,3205,Cedar-Knox Public Power Dist,NE,SWPP,.,.,960,.,960,.,.,0,.,0,.,.,42.4,.,42.4,.,.,12.7,.,12.7,.,.,.,.,.,.,.,.,.,.,.
2017,3222,Central Alabama Electric Coop,AL,AEC,473,.,.,.,473,3,.,.,.,3,6.7,.,.,.,6.7,4.8,.,.,.,4.8,.,.,.,.,.,36,.,.,.,36,.
2017,3248,Central Georgia El Member Corp,GA,SOCO,4166,.,.,.,4166,165,.,.,.,165,5,.,.,.,5,3,.,.,.,3,85,.,.,.,85,48,.,.,.,48,42
2017,3249,Central Hudson Gas & Elec Corp,NY,NYIS,1992,167,9,.,2168,10,2,4,.,16,4.1,0.7,4,.,8.8,4.1,0.7,4,.,8.8,.,.,.,.,.,.,.,.,.,.,.
2017,3258,Central Iowa Power Cooperative,IA,MISO,.,9,8,.,17,.,.,.,.,.,.,5.4,4.4,.,9.7,.,5.4,4.4,.,9.7,.,0,0,.,0,.,0,0,.,0,.
2017,3278,AEP Texas Central Company,TX,ERCO,0,64,0,0,64,0,44,0,0,44,0,30.1,0,0,30.1,0,10.9,0,0,10.9,0,0,0,0,0,0,0,0,0,0,.
2017,3279,"Central Power Elec Coop, Inc",ND,SWPP,.,.,.,.,.,2150,312,.,.,2462,10.3,0.8,.,.,11.1,10.3,0.8,.,.,11.1,.,.,.,.,.,213,293,23,.,529,.
2017,3293,Central Wisconsin Elec Coop,WI,MISO,1690,130,.,.,1820,400,300,.,.,700,4,5,.,.,9,2,2,.,.,4,230,200,.,.,430,.,.,.,.,.,.
2017,3329,Borough of Chambersburg,PA,PJM,.,.,5,.,5,.,.,.,.,.,.,.,0.3,.,0.3,.,.,0.3,.,0.3,.,.,0,.,0,.,.,1,.,1,.
2017,3478,Cimarron Electric Coop,OK,SWPP,.,287,.,.,287,.,1,.,.,1,.,0.5,.,.,0.5,.,0.3,.,.,0.3,.,.,.,.,.,.,500,.,.,500,.
2017,3498,Chippewa Valley Electric Coop,WI,MISO,3953,52,0,0,4005,0,0,0,0,0,7.6,0,0,0,7.6,3.6,0,0,0,3.6,453,6,0,0,459,61,1,0,0,62,9
2017,3502,"Choctawhatche Elec Coop, Inc",FL,AEC,43945,6233,.,.,50178,.,.,.,.,.,44.6,3.2,.,.,47.8,44.6,3.2,.,.,47.8,37,0,.,.,37,34,0,.,.,34,.
2017,3503,"Choptank Electric Coop, Inc",MD,PJM,0,229,9,.,238,0,0,0,.,0,0,88.4,44.4,.,132.8,0,27.6,42.6,.,70.2,0,0,0,.,0,0,11,0,.,11,.
2017,3542,Duke Energy Ohio Inc,OH,PJM,0,0,2,.,2,.,.,.,.,.,0,0,0.5,.,0.5,.,.,.,.,.,.,.,1668,.,1668,.,.,.,.,.,.
2017,3701,Clark Electric Coop - (WI),WI,MISO,2500,423,.,.,2923,.,.,.,.,.,2.1,1.5,.,.,3.6,1.3,0.9,.,.,2.2,170,29,.,.,199,12,2,.,.,14,.
2017,3755,Cleveland Electric Illum Co,OH,PJM,7077,0,4,0,7081,0,0,0,0,0,4.5,0,189.7,0,194.2,0,0,0,0,0,0,0,10880,0,10880,93,0,0,0,93,.
2017,3764,Clearwater-Polk Elec Coop Inc,MN,MISO,1739,23,.,.,1762,195,36,.,.,231,32.4,1.6,.,.,34,8.8,1.6,.,.,10.4,831,.,.,.,831,4,.,.,.,4,0
2017,3804,Clinton Combined Utility Sys,SC,DUK,342,.,.,.,342,0,.,.,.,0,0.3,.,.,.,0.3,0.1,.,.,.,0.1,15,.,.,.,15,71,.,.,.,71,.
2017,3844,"Coastal Electric Coop, Inc",SC,SC,815,.,.,.,815,10,.,.,.,10,0.7,.,.,.,0.7,0.7,.,.,.,0.7,.,.,.,.,.,6,.,.,.,6,.
2017,3931,Coles-Moultrie Electric Coop,IL,MISO,4441,149,6,.,4596,.,.,.,.,.,0.5,0.5,0.5,.,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,3989,City of Colorado Springs - (CO),CO,WACM,1866,0,0,0,1866,0,0,0,0,0,2.1,0,0,0,2.1,1.4,0,0,0,1.4,11,0,0,0,11,292,0,0,0,292,.
2017,4045,City of Columbia - (MO),MO,MISO,15389,803,11,.,16203,.,.,.,.,.,25.2,4.7,3.4,.,33.3,.,.,.,.,.,890,316,.,.,1206,.,.,.,.,.,.
2017,4065,City of Columbus - (OH),OH,PJM,0,3,14,0,17,.,.,.,.,.,0,0.4,13.4,0,13.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,4110,Commonwealth Edison Co,IL,PJM,84018,1535,1289,0,86842,110,0,0,0,110,84,263,652,0,999,84,0,0,0,84,2773,0,0,0,2773,2410,50,45,0,2505,0
2017,4147,Town of Concord - (MA),MA,ISNE,494,6,.,.,500,7,1,.,.,8,5.7,1,.,.,6.7,.,.,.,.,.,0,0,.,.,0,0,0,.,.,0,3
