Utility Characteristics,,,,,Number of,,,,,Types of Program,,,,,,,,,,,,,,,,,,,
,,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation
2017,55,City of Aberdeen - (MS),MS,TVA,0,19,1,0,20,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,84,A & N Electric Coop,VA,PJM,2,5,.,.,7,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,97,Adams Electric Coop,IL,MISO,36,5,.,.,41,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,108,Adams-Columbia Electric Coop,WI,MISO,428,168,.,.,596,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,162,Aiken Electric Coop Inc,SC,SC,1,50,.,.,51,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,195,Alabama Power Co,AL,SOCO,659,3968,1113,.,5740,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N
2017,213,Alaska Electric Light&Power Co,AK,NA,42,3,0,.,45,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,240,Albemarle Electric Member Corp,NC,PJM,5,4,.,.,9,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,241,Albertville Municipal Utilities Board,AL,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,276,Alcorn County Elec Power Assn,MS,TVA,0,1,4,0,5,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,307,Algoma Utility Comm,WI,MISO,3,6,2,0,11,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,407,Altamaha Electric Member Corp,GA,SOCO,.,.,235,.,235,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
2017,571,City of Amory,MS,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,590,City of Anaheim - (CA),CA,CISO,.,43,13,.,56,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,636,City of Anderson - (IN),IN,PJM,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,691,City of Anoka,MN,MISO,.,2,.,.,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2017,727,Appalachian Electric Coop,TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,733,Appalachian Power Co,VA,PJM,1345,533,25,0,1903,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,733,Appalachian Power Co,WV,PJM,268,176,9,0,453,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,803,Arizona Public Service Co,AZ,AZPS,570640,.,.,.,570640,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,814,Entergy Arkansas Inc,AR,MISO,74,408,274,.,756,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,887,"Arrowhead Electric Coop, Inc",MN,MISO,.,2,.,.,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,944,City of Athens - (AL),AL,TVA,0,3,2,0,5,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,947,Athens Utility Board,TN,TVA,0,0,5,0,5,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
