,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Residential|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Commercial|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Industrial|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Transportation|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Total|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Residential|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Commercial|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Industrial|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Transportation|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Total|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Residential|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Commercial|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Industrial|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Transportation|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Total|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Residential|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Commercial|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Industrial|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Transportation|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Total|,|Program Costs.Customer Incentives (Thousand Dollars).Residential|,|Program Costs.Customer Incentives (Thousand Dollars).Commercial|,|Program Costs.Customer Incentives (Thousand Dollars).Industrial|,|Program Costs.Customer Incentives (Thousand Dollars).Transportation|,|Program Costs.Customer Incentives (Thousand Dollars).Total|,|Program Costs.All Other Costs (Thousand Dollars).Residential|,|Program Costs.All Other Costs (Thousand Dollars).Commercial|,|Program Costs.All Other Costs (Thousand Dollars).Industrial|,|Program Costs.All Other Costs (Thousand Dollars).Transportation|,|Program Costs.All Other Costs (Thousand Dollars).Total|,|DSM Program.Grid Connected.Water Heater|
0,2017,97,Adams Electric Coop,IL,MISO,4327,68,.,.,4395,.,.,.,.,.,4,4,.,.,8,4,.,.,.,4,68,360,.,.,428,9,.,.,.,9,34
1,2017,3931,Coles-Moultrie Electric Coop,IL,MISO,4441,149,6,.,4596,.,.,.,.,.,0.5,0.5,0.5,.,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,2017,4110,Commonwealth Edison Co,IL,PJM,84018,1535,1289,0,86842,110,0,0,0,110,84,263,652,0,999,84,0,0,0,84,2773,0,0,0,2773,2410,50,45,0,2505,0
3,2017,4362,Corn Belt Energy Corporation,IL,MISO,.,.,59,.,59,.,.,.,.,.,.,.,4.5,.,4.5,.,.,4.5,.,4.5,.,.,995,.,995,.,.,.,.,.,.
4,2017,9209,Illinois Rural Electric Coop,IL,MISO,.,178,.,.,178,.,4,.,.,4,.,4,.,.,4,.,4,.,.,4,.,.,.,.,.,.,20,.,.,20,0
5,2017,9750,"Jo-Carroll Energy, Inc",IL,MISO,1653,3,1,.,1657,.,.,.,.,.,1.7,0.4,0.1,.,2.2,1.5,0.3,0.1,.,1.9,130,7,3,.,140,10,1,0,.,11,.
6,2017,12341,MidAmerican Energy Co,IL,MISO,3431,2,3,.,3436,24,7,7,.,37,2.7,3.4,19.5,.,25.6,2.7,3.4,19.5,.,25.6,100,158,896,.,1154,37,3,19,.,59,.
7,2017,12395,Menard Electric Coop,IL,MISO,1364,19,1221,.,2604,21,0,88,.,109,2,7.6,48.8,.,58.4,.,.,.,.,.,47,1,.,.,48,.,.,153,.,153,.
8,2017,17040,"Shelby Electric Coop, Inc",IL,MISO,1226,47,.,.,1273,.,.,.,.,.,6.5,7.5,.,.,14,3,4,.,.,7,4,1,.,.,5,.,.,.,.,.,.
9,2017,40211,"Wabash Valley Power Assn, Inc",IL,MISO,4625,.,.,.,4625,0,.,.,.,0,9.5,.,.,.,9.5,8.1,.,.,.,8.1,464,.,.,.,464,.,.,.,.,.,.
