,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Residential|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Commercial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Industrial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Transportation|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Total|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Residential|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Commercial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Industrial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Transportation|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Total|,|Incremental Life Cycle Savings.Energy Savings (MWh).Residential|,|Incremental Life Cycle Savings.Energy Savings (MWh).Commercial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Industrial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Transportation|,|Incremental Life Cycle Savings.Energy Savings (MWh).Total|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Residential|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Commercial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Industrial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Transportation|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Total|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Total|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Total|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Total|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Total|,|Weighted Average Life.(Years).Residential|,|Weighted Average Life.(Years).Commercial|,|Weighted Average Life.(Years).Industrial|,|Weighted Average Life.(Years).Transportation|,|..Website|
0,2017,4110.0,Commonwealth Edison Co,IL,PJM,1456435,1409138,.,.,2865573,132,182,.,.,314,10384381,18149697,.,.,28534078,132,182,.,.,314,80567,139193,.,.,219760,56002,73445,.,.,129447,80567,139193,.,.,219760,56002,73445,.,.,129447,7.13,12.88,.,.,http://www.ilsag.info/evaluation-documents.html
1,2017,5585.0,Eastern Illinois Elec Coop,IL,MISO,588,.,.,.,588,.,.,.,.,.,8820,.,.,.,8820,.,.,.,.,.,.,.,.,.,.,3,.,.,.,3,.,.,.,.,.,50,.,.,.,50,15,.,.,.,
2,2017,9286.0,Illinois Municipal Elec Agency,IL,MISO,818,.,7345,.,8163,0,.,1,.,1,3272,.,29380,.,32652,0,.,1,.,1,67,.,690,.,757,11,.,17,.,28,67,.,690,.,757,11,.,17,.,28,4,.,4,.,
3,2017,9750.0,"Jo-Carroll Energy, Inc",IL,MISO,64,1972,0,0,2036,0,0.3,0,.,0.3,829,28032,0,0,28861,0,0.3,0,0,0.3,6,15,0,0,21,37,7,0,0,44,6,15,0,0,21,37,7,0,0,44,12.956,14.215,0,0,
4,2017,12341.0,MidAmerican Energy Co,IL,MISO,13689.2,6450.7,7729.7,.,27869.6,4.4,1,1.1,.,6.5,72944.6,81849.3,106881.3,.,261675.2,3.9,1,1.1,.,6,1888,1224,2463,.,5575,478,146,404,.,1028,1888,1224,2463,.,5575,478,146,404,.,1028,5.33,12.69,13.83,.,
5,2017,12395.0,Menard Electric Coop,IL,MISO,325,.,.,.,325,.,.,.,.,.,4868,.,.,.,4868,.,.,.,.,.,3,.,.,.,3,1.3,.,.,.,1.3,3,.,.,.,3,1.3,.,.,.,1.3,15,.,.,.,
6,2017,12803.0,"Monroe County Elec Coop, Inc",IL,MISO,235,.,.,.,235,0.09,.,.,.,0.09,3525,.,.,.,3525,0.09,.,.,.,0.09,24,.,.,.,24,.,.,.,.,.,24,.,.,.,24,.,.,.,.,.,15,.,.,.,
7,2017,17828.0,City of Springfield - (IL),IL,MISO,728.33,272.797,.,.,1001.127,0.24,0.201,.,.,0.441,10584.948,6819.925,.,.,17404.873,0.224,0.179,.,.,0.403,178.106,49.415,.,.,227.521,283.906,164.936,.,.,448.842,178.106,49.415,.,.,227.521,283.906,164.936,.,.,448.842,14.53,25,.,.,www.cwlp.com
8,2017,40211.0,"Wabash Valley Power Assn, Inc",IL,MISO,292,3449,285,.,4026,0,0.5,0,.,0.5,1542,48681,3857,.,54080,0,0.5,0,.,0.5,78,246,26,.,350,45,60,60,.,165,78,246,26,.,350,45,60,60,.,165,5.292,14.114,13.518,.,
9,2017,56697.0,Ameren Illinois Company,IL,MISO,128244,214144,.,.,342388,14.644,35.09,.,.,49.734,975936.84,2554737.92,.,.,3530674.76,14.64,35.09,.,.,49.73,18848,23454,.,.,42302,17616,13574,.,.,31190,18848,23454,.,.,42302,17616,13574,.,.,31190,7.61,11.93,.,.,
