,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Part|,|Utility Characteristics..Service Type|,"|Utility Characteristics..""Data Type O = Observed I = Imputed""|",|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|Utility Characteristics.BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
0,2017,97.0,Adams Electric Coop,A,Bundled,O,IL,Cooperative,MISO,16341,109301,8603,5729,55057,222,.,.,.,.,.,.,22070,164358,8825
1,2017,970.0,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,PJM,67843.3,1004373,101713,27511.4,303342,177,1432.5,13769,19,0,0,0,96787.2,1321484,101909
2,2017,970.0,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,MISO,261702.3,4463171,465863,145169.1,2509158,3102,22234.5,496259,107,1848.5,22839,1,430954.4,7491427,469073
3,2017,1325.0,City of Batavia - (IL),A,Bundled,O,IL,Municipal,PJM,12050.2,85510,9596,18486.6,157845,1323,16447.9,173548,10,.,.,.,46984.7,416903,10929
4,2017,1611.0,"Linde Energy Services, Inc.",B,Energy,O,IL,Retail Power Marketer,MISO,0,0,0,0,0,0,10554,258667,5,0,0,0,10554,258667,5
5,2017,3806.0,"Clinton County Elec Coop, Inc",A,Bundled,O,IL,Cooperative,MISO,11042,84479,5286,5345,51587,714,.,.,.,.,.,.,16387,136066,6000
6,2017,3931.0,Coles-Moultrie Electric Coop,A,Bundled,O,IL,Cooperative,MISO,15780,115002,8531,5931,47690,1081,3112,32879,8,.,.,.,24823,195571,9620
7,2017,4100.0,"Commerce Energy, Inc.",B,Energy,O,IL,Retail Power Marketer,PJM,22218.9,276814,34161,380.6,5715,303,0,0,0,0,0,0,22599.5,282529,34464
8,2017,4110.0,Commonwealth Edison Co,A,Bundled,O,IL,Investor Owned,PJM,2129208.7,16504207,2388950,779604.7,8227370,200918,60233.1,1051732,119,0,0,0,2969046.5,25783309,2589987
9,2017,4110.0,Commonwealth Edison Co,C,Delivery,O,IL,Investor Owned,PJM,587108.6,9788077,1219404,618070.3,23888956,180098,394322.7,26415223,1867,6765.8,502102,2,1606267.4,60594358,1401371
10,2017,4191.0,Consolidated Edison Sol Inc,B,Energy,O,IL,Retail Power Marketer,PJM,615.6,9543,832,20663.5,402216,2040,0,0,0,0,0,0,21279.1,411759,2872
11,2017,4362.0,Corn Belt Energy Corporation,A,Bundled,O,IL,Cooperative,MISO,51359.7,381155,33778,20651.6,177945,2105,5085.1,74719,4,.,.,.,77096.4,633819,35887
12,2017,5535.0,Egyptian Electric Coop Assn,A,Bundled,O,IL,Cooperative,MISO,25239,189944,13663,13795,143827,1325,.,.,.,.,.,.,39034,333771,14988
13,2017,5585.0,Eastern Illinois Elec Coop,A,Bundled,O,IL,Cooperative,MISO,25828,170864,11260,7630,56161,2250,761,6885,3,.,.,.,34219,233910,13513
14,2017,6417.0,City of Flora - (IL),A,Bundled,O,IL,Municipal,MISO,3204,21666,2370,2884,22914,428,6951,70027,10,.,.,.,13039,114607,2808
15,2017,6458.0,First Energy Solutions Corp.,B,Energy,O,IL,Retail Power Marketer,MISO,18792.6,298359,34898,9048,163683,1799,60851.4,1635101,20,0,0,0,88692,2097143,36717
16,2017,7096.0,City of Geneva- (IL),A,Bundled,O,IL,Municipal,PJM,9971,77808,9285,14900,138216,1626,15177,170873,41,.,.,.,40048,386897,10952
17,2017,7279.0,"NextEra Energy Services, LLC",B,Energy,O,IL,Retail Power Marketer,MISO,0,0,0,3711.1,59081,323,0,0,0,0,0,0,3711.1,59081,323
18,2017,7554.0,Green Mountain Energy Company,B,Energy,O,IL,Retail Power Marketer,PJM,18232.7,183018,25322,0,0,0,0,0,0,0,0,0,18232.7,183018,25322
19,2017,8573.0,City of Highland,A,Bundled,O,IL,Municipal,MISO,7851.4,64861,5832,1037.9,8748,661,5080.1,48402,155,.,.,.,13969.4,122011,6648
20,2017,8824.0,M J M Electric Cooperative Inc,A,Bundled,O,IL,Cooperative,MISO,16487.3,106236,9141,2500,21003,202,.,.,.,.,.,.,18987.3,127239,9343
21,2017,9209.0,Illinois Rural Electric Coop,A,Bundled,O,IL,Cooperative,MISO,21451,119519,10059,7928,54479,280,.,.,.,.,.,.,29379,173998,10339
22,2017,9750.0,"Jo-Carroll Energy, Inc",A,Bundled,O,IL,Cooperative,MISO,23730.3,145011,18005,7156.1,72006,2581,26715.1,311596,382,.,.,.,57601.5,528613,20968
23,2017,12341.0,MidAmerican Energy Co,A,Bundled,O,IL,Investor Owned,MISO,67746.7,606472,74159,52710.1,642108,10830,37362.2,642462,39,.,.,.,157819,1891042,85028
24,2017,12341.0,MidAmerican Energy Co,C,Delivery,O,IL,Investor Owned,MISO,26.3,490,88,1408.8,61965,225,141.4,7594,1,.,.,.,1576.5,70049,314
25,2017,12395.0,Menard Electric Coop,A,Bundled,O,IL,Cooperative,MISO,17334.4,113039,9092,3712.2,26205,570,7342.5,65984,1216,.,.,.,28389.1,205228,10878
26,2017,12803.0,"Monroe County Elec Coop, Inc",A,Bundled,O,IL,Cooperative,MISO,14365,98162,7168,1766,14502,130,105,301,31,.,.,.,16236,112965,7329
27,2017,13032.0,Mt Carmel Public Utility Co,A,Bundled,O,IL,Investor Owned,MISO,6900.8,47824,4438,2304.8,15665,845,3533.6,28224,98,0,0,0,12739.2,91713,5381
28,2017,13208.0,City of Naperville - (IL),A,Bundled,O,IL,Municipal,PJM,65557.3,502468,53060,82912.5,745535,6355,6664.5,69876,9,.,.,.,155134.3,1317879,59424
29,2017,13292.0,Norris Electric Coop,A,Bundled,O,IL,Cooperative,MISO,31367.2,242109,17692,9958,87121,2070,5191.2,18029,10,.,.,.,46516.4,347259,19772
30,2017,13374.0,"Constellation NewEnergy, Inc",B,Energy,O,IL,Retail Power Marketer,PJM,72686,1051279,113207,785650,14708647,11086,231073,4564399,531,5595,113516,1,1095004,20437841,124825
31,2017,14840.0,City of Peru - (IL),A,Bundled,O,IL,Municipal,MISO,4091,36242,4752,10569,89845,1098,10603,124914,9,.,.,.,25263,251001,5859
32,2017,15388.0,City of Princeton - (IL),A,Bundled,O,IL,Municipal,MISO,3095,29082,3796,2012,16027,685,4707,50479,58,.,.,.,9814,95588,4539
33,2017,15686.0,Village of Rantoul - (IL),A,Bundled,O,IL,Municipal,MISO,5753,41571,5549,2277,16940,465,8795,87005,70,.,.,.,16825,145516,6084
34,2017,16179.0,Rochelle Municipal Utilities,A,Bundled,O,IL,Municipal,PJM,5438,44362,5869,6233,43955,993,24969,259938,41,.,.,.,36640,348255,6903
35,2017,16196.0,Rock Energy Cooperative,A,Bundled,O,IL,Cooperative,MISO,11036,80969,9208,9196,88376,1032,5358,61033,19,.,.,.,25590,230378,10259
36,2017,16420.0,Rural Electric Conven Coop,A,Bundled,O,IL,Cooperative,MISO,11813.7,80662,5475,1722.4,12785,323,1247.7,11460,9,.,.,.,14783.8,104907,5807
