Utility Characteristics,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,BA Code,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2017,AK,219,Alaska Power and Telephone Co,NA,AC,0.012,0.021,.,.,0.033,3,2,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.897,4.3,.,.,7.197,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.012,0.021,0,0,0.033,3,2,0,0,5,2.897,4.3,0,0,7.197
2017,AK,599,Anchorage Municipal Light and Power,AMPL,AC,0.042,0.181,.,.,0.223,20,13,.,.,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.639,35.311,.,.,36.95,.,0.002,.,.,0.002,.,1,.,.,1,.,0.302,.,.,0.302,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.042,0.183,0,0,0.225,20,14,0,0,34,1.639,35.613,0,0,37.252
2017,AK,3522,Chugach Electric Assn Inc,CEA,AC,0.195,0.08,.,.,0.275,84,8,.,.,92,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,0.008,.,.,0.008,.,3,.,.,3,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.195,0.088,0,0,0.283,84,11,0,0,95,0,0,0,0,0
2017,AK,4329,"Copper Valley Elec Assn, Inc",NA,DC,0.038,0.025,.,.,0.063,8,1,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11.07,0,.,.,11.07,.,.,.,.,0,.,.,.,.,0,.,0,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.038,0.025,0,0,0.063,8,1,0,0,9,11.07,0,0,0,11.07
2017,AK,7353,Golden Valley Elec Assn Inc,NA,AC,0.528,0.232,0.043,.,0.803,128,22,4,.,154,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41.195,11.605,0,.,52.8,0.013,0.009,.,.,0.022,4,2,.,.,6,0,0,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.541,0.241,0.043,0,0.825,132,24,4,0,160,41.195,11.605,0,0,52.8
2017,AK,11824,Matanuska Electric Assn Inc,NA,AC,0.295,0.079,.,.,0.374,66,6,.,.,72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.058,0.021,.,.,0.079,18,5,.,.,23,.,.,.,.,0,0.027,.,.,.,0.027,5,.,.,.,5,.,.,.,.,0,0.38,0.1,0,0,0.48,89,11,0,0,100,0,0,0,0,0
2017,AK,16955,City of Seward - (AK),NA,AC,.,.,.,.,0,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,AK,19558,Homer Electric Assn Inc,NA,DC,0.182,0.031,0,0,0.213,58,7,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.73,7.967,0,0,81.697,0.1,0.015,0,0,0.115,29,4,0,0,33,11.651,3.216,0,0,14.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0.046,0,0,0.328,87,11,0,0,98,85.381,11.183,0,0,96.564
2017,AK,99999,Adjustment 2017,NA,,-0.038,-0.01,0,0,-0.048,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.038,-0.01,0,0,-0.048,.,.,.,.,.,.,.,.,.,.
