Utility Characteristics,,,,,IEEE Standard,,,,,,,,,,,,Other Standard,,,,,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership,SAIDI With MED,SAIFI With MED,CAIDI With MED,SAIDI Without MED,SAIFI Without MED,CAIDI Without MED,SAIDI With MED Minus LOS,SAIFI With MED Minus LOS,CAIDI Minus MED,Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI With MED,SAIFI With MED,CAIDI With MED,SAIDI Without MED,SAIFI Without MED,CAIDI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically
2017,84,A & N Electric Coop,MD,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,31.959,0.22,145.26818,31.959,0.22,145.26818,311,Y,O,12.5,N
2017,84,A & N Electric Coop,VA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,102.516,1.281,80.028103,102.516,1.281,80.028103,35827,Y,O,24.9,N
2017,97,Adams Electric Coop,IL,Cooperative,222.046,1.211,183.35756,125.856,1.178,106.83871,123.172,0.986,124.92089,8916,12.5,Y,.,.,.,.,.,.,.,,,.,
2017,108,Adams-Columbia Electric Coop,WI,Cooperative,346.06,1.198,288.86477,142.982,0.777,184.01802,340.53,1.101,309.29155,36666,12,Y,.,.,.,.,.,.,.,,,.,
2017,155,Agralite Electric Coop,MN,Cooperative,195.187,1.4,139.41929,96.553,0.956,100.99686,191.824,1.138,168.56239,5226,12.4,Y,.,.,.,.,.,.,.,,,.,
2017,162,Aiken Electric Coop Inc,SC,Cooperative,333.512,.,.,132.629,.,.,329.943,.,.,46188,25,Y,.,.,.,.,.,.,.,,,.,
2017,195,Alabama Power Co,AL,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,345.5,2.005,172.3192,112.6,0.993,113.39376,1475085,N,F,35,Y
2017,207,City of Alameda,CA,Municipal,51.02,0.42,121.47619,.,.,.,.,.,.,34654,12,N,.,.,.,.,.,.,.,,,.,
2017,213,Alaska Electric Light&Power Co,AK,Investor Owned,94,2.27,41.409692,94,2.27,41.409692,43,1.15,37.391304,16768,12.5,N,.,.,.,.,.,.,.,,,.,
2017,232,City of Albemarle - (NC),NC,Municipal,100.57,0.887,113.38219,40.43,0.574,70.43554,.,.,.,11821,14.4,N,.,.,.,.,.,.,.,,,.,
2017,240,Albemarle Electric Member Corp,NC,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,216,1.4,154.28571,120,1.1,109.09091,12818,N,F,12.5,N
2017,241,Albertville Municipal Utilities Board,AL,Municipal,32.77,0.648,50.570988,7.452,0.072,103.5,32.77,0.648,50.570988,10054,12.5,N,.,.,.,.,.,.,.,,,.,
2017,276,Alcorn County Elec Power Assn,MS,Cooperative,84.414,0.945,89.326984,.,.,.,.,.,.,18798,13.1,N,.,.,.,.,.,.,.,,,.,
2017,295,City of Alexandria - (MN),MN,Municipal,.,.,.,.,.,.,.,.,.,.,.,,10.308,0.188,54.829787,.,.,.,9870,N,L,13.2,N
2017,296,"Alfalfa Electric Coop, Inc",KS,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,187.357,1.273,147.17753,50.67,1.082,46.829945,953,N,O,14.4,Y
