Data Year,Utility Number,Utility Name,State,County
2017,34,City of Abbeville - (SC),SC,Abbeville
2017,55,City of Aberdeen - (MS),MS,Monroe
2017,59,City of Abbeville - (LA),LA,Vermilion
2017,84,A & N Electric Coop,MD,Somerset
2017,84,A & N Electric Coop,VA,Accomack
2017,84,A & N Electric Coop,VA,Northampton
2017,87,City of Ada - (MN),MN,Norman
2017,97,Adams Electric Coop,IL,Adams
2017,97,Adams Electric Coop,IL,Brown
2017,97,Adams Electric Coop,IL,Hancock
2017,97,Adams Electric Coop,IL,McDonough
2017,97,Adams Electric Coop,IL,Pike
2017,97,Adams Electric Coop,IL,Schuyler
2017,108,Adams-Columbia Electric Coop,WI,Adams
2017,108,Adams-Columbia Electric Coop,WI,Columbia
2017,108,Adams-Columbia Electric Coop,WI,Dane
2017,108,Adams-Columbia Electric Coop,WI,Dodge
2017,108,Adams-Columbia Electric Coop,WI,Green Lake
2017,108,Adams-Columbia Electric Coop,WI,Jefferson
2017,108,Adams-Columbia Electric Coop,WI,Marquette
2017,108,Adams-Columbia Electric Coop,WI,Portage
2017,108,Adams-Columbia Electric Coop,WI,Sauk
2017,108,Adams-Columbia Electric Coop,WI,Waupaca
2017,108,Adams-Columbia Electric Coop,WI,Waushara
2017,108,Adams-Columbia Electric Coop,WI,Wood
2017,118,"Adams Rural Electric Coop, Inc",OH,Adams
2017,118,"Adams Rural Electric Coop, Inc",OH,Brown
2017,118,"Adams Rural Electric Coop, Inc",OH,Highland
2017,118,"Adams Rural Electric Coop, Inc",OH,Pike
2017,118,"Adams Rural Electric Coop, Inc",OH,Scioto
2017,122,Village of Arcade - (NY),NY,Cattaraugus
2017,122,Village of Arcade - (NY),NY,Erie
2017,122,Village of Arcade - (NY),NY,Wyoming
2017,123,City of Adel- (GA),GA,Cook
2017,123,City of Adel- (GA),GA,Tift
2017,149,City of Afton- (IA),IA,Union
2017,150,Adrian Public Utilities Comm,MN,Nobles
2017,155,Agralite Electric Coop,MN,Big Stone
2017,155,Agralite Electric Coop,MN,Pope
2017,155,Agralite Electric Coop,MN,Stevens
2017,155,Agralite Electric Coop,MN,Swift
2017,157,Town of Advance - (IN),IN,Boone
2017,162,Aiken Electric Coop Inc,SC,Aiken
2017,162,Aiken Electric Coop Inc,SC,Barnwell
2017,162,Aiken Electric Coop Inc,SC,Calhoun
2017,162,Aiken Electric Coop Inc,SC,Edgefield
2017,162,Aiken Electric Coop Inc,SC,Greenwood
2017,162,Aiken Electric Coop Inc,SC,Lexington
2017,162,Aiken Electric Coop Inc,SC,McCormick
2017,162,Aiken Electric Coop Inc,SC,Orangeburg
2017,162,Aiken Electric Coop Inc,SC,Saluda
2017,174,Aitkin Public Utilities Comm,MN,Aitkin
2017,176,Ajo Improvement Co,AZ,Pima
2017,182,City of Akron - (IA),IA,Plymouth
2017,183,Village of Akron - (NY),NY,Erie
2017,191,Alamo Power District No 3,NV,Lincoln
2017,192,Akiachak Native Community Electric,AK,Bethel
2017,195,Alabama Power Co,AL,Autauga
2017,195,Alabama Power Co,AL,Baldwin
2017,195,Alabama Power Co,AL,Barbour
2017,195,Alabama Power Co,AL,Bibb
2017,195,Alabama Power Co,AL,Blount
2017,195,Alabama Power Co,AL,Bullock
2017,195,Alabama Power Co,AL,Butler
2017,195,Alabama Power Co,AL,Calhoun
2017,195,Alabama Power Co,AL,Chambers
2017,195,Alabama Power Co,AL,Cherokee
2017,195,Alabama Power Co,AL,Chilton
2017,195,Alabama Power Co,AL,Choctaw
2017,195,Alabama Power Co,AL,Clarke
2017,195,Alabama Power Co,AL,Clay
2017,195,Alabama Power Co,AL,Cleburne
2017,195,Alabama Power Co,AL,Coffee
2017,195,Alabama Power Co,AL,Conecuh
2017,195,Alabama Power Co,AL,Coosa
2017,195,Alabama Power Co,AL,Covington
2017,195,Alabama Power Co,AL,Crenshaw
2017,195,Alabama Power Co,AL,Cullman
2017,195,Alabama Power Co,AL,Dale
2017,195,Alabama Power Co,AL,Dallas
2017,195,Alabama Power Co,AL,Elmore
2017,195,Alabama Power Co,AL,Escambia
2017,195,Alabama Power Co,AL,Etowah
2017,195,Alabama Power Co,AL,Fayette
2017,195,Alabama Power Co,AL,Franklin
2017,195,Alabama Power Co,AL,Geneva
2017,195,Alabama Power Co,AL,Greene
2017,195,Alabama Power Co,AL,Hale
2017,195,Alabama Power Co,AL,Henry
2017,195,Alabama Power Co,AL,Houston
2017,195,Alabama Power Co,AL,Jefferson
2017,195,Alabama Power Co,AL,Lamar
2017,195,Alabama Power Co,AL,Lawrence
2017,195,Alabama Power Co,AL,Lee
2017,195,Alabama Power Co,AL,Lowndes
2017,195,Alabama Power Co,AL,Macon
2017,195,Alabama Power Co,AL,Marengo
2017,195,Alabama Power Co,AL,Marion
2017,195,Alabama Power Co,AL,Marshall
2017,195,Alabama Power Co,AL,Mobile
2017,195,Alabama Power Co,AL,Monroe
2017,195,Alabama Power Co,AL,Montgomery
2017,195,Alabama Power Co,AL,Perry
2017,195,Alabama Power Co,AL,Pickens
2017,195,Alabama Power Co,AL,Randolph
2017,195,Alabama Power Co,AL,Russell
2017,195,Alabama Power Co,AL,Shelby
2017,195,Alabama Power Co,AL,St Clair
2017,195,Alabama Power Co,AL,Sumter
2017,195,Alabama Power Co,AL,Talladega
2017,195,Alabama Power Co,AL,Tallapoosa
2017,195,Alabama Power Co,AL,Tuscaloosa
2017,195,Alabama Power Co,AL,Walker
2017,195,Alabama Power Co,AL,Washington
2017,195,Alabama Power Co,AL,Wilcox
2017,195,Alabama Power Co,AL,Winston
2017,198,City of Alton,IA,Sioux
2017,201,City of Alachua - (FL),FL,Alachua
2017,202,Town of Black Creek - (NC),NC,Wilson
2017,207,City of Alameda,CA,Alameda
2017,213,Alaska Electric Light&Power Co,AK,Juneau
2017,219,Alaska Power and Telephone Co,AK,Haines
2017,219,Alaska Power and Telephone Co,AK,Prince of Wales Ketchikan
2017,219,Alaska Power and Telephone Co,AK,Skagway Hoonah Angoon
2017,219,Alaska Power and Telephone Co,AK,Yukon Koyukuk
2017,221,"Alaska Village Elec Coop, Inc",AK,Bethel
2017,221,"Alaska Village Elec Coop, Inc",AK,Dillingham
2017,221,"Alaska Village Elec Coop, Inc",AK,Kodiak Island
2017,221,"Alaska Village Elec Coop, Inc",AK,Nome
2017,221,"Alaska Village Elec Coop, Inc",AK,Northwest Arctic
2017,221,"Alaska Village Elec Coop, Inc",AK,Wade Hampton
2017,221,"Alaska Village Elec Coop, Inc",AK,Yakutat
2017,221,"Alaska Village Elec Coop, Inc",AK,Yukon Koyukuk
2017,228,City of Albany - (MO),MO,Gentry
2017,229,City of Albany - (IL),IL,Whiteside
2017,230,Albany Water Gas & Light Comm,GA,Dougherty
2017,230,Albany Water Gas & Light Comm,GA,Lee
2017,232,City of Albemarle - (NC),NC,Stanly
2017,240,Albemarle Electric Member Corp,NC,Camden
2017,240,Albemarle Electric Member Corp,NC,Chowan
2017,240,Albemarle Electric Member Corp,NC,Currituck
2017,240,Albemarle Electric Member Corp,NC,Pasquotank
2017,240,Albemarle Electric Member Corp,NC,Perquimans
2017,241,Albertville Municipal Utilities Board,AL,Marshall
2017,244,City of Albion - (ID),ID,Cassia
2017,261,AGC Division of APG Inc,IN,Warrick
2017,266,City of Alpha - (MN),MN,Jackson
2017,276,Alcorn County Elec Power Assn,MS,Alcorn
2017,282,Village of Arcadia - (OH),OH,Hancock
2017,287,"Alder Mutual Light Co, Inc",WA,Pierce
2017,289,City of Alexander City,AL,Tallapoosa
2017,295,City of Alexandria - (MN),MN,Douglas
2017,296,"Alfalfa Electric Coop, Inc",KS,Barber
2017,296,"Alfalfa Electric Coop, Inc",KS,Harper
2017,296,"Alfalfa Electric Coop, Inc",OK,Alfalfa
2017,296,"Alfalfa Electric Coop, Inc",OK,Garfield
2017,296,"Alfalfa Electric Coop, Inc",OK,Grant
2017,296,"Alfalfa Electric Coop, Inc",OK,Major
2017,296,"Alfalfa Electric Coop, Inc",OK,Woods
2017,298,City of Alexandria - (LA),LA,Rapides
2017,305,Alger-Delta Coop Electric Assn,MI,Alger
2017,305,Alger-Delta Coop Electric Assn,MI,Delta
2017,305,Alger-Delta Coop Electric Assn,MI,Dickinson
2017,305,Alger-Delta Coop Electric Assn,MI,Marquette
2017,305,Alger-Delta Coop Electric Assn,MI,Menominee
2017,305,Alger-Delta Coop Electric Assn,MI,Schoolcraft
2017,307,Algoma Utility Comm,WI,Kewaunee
2017,308,City of Acworth - (GA),GA,Bartow
2017,308,City of Acworth - (GA),GA,Cobb
2017,309,City of Algona - (IA),IA,Kossuth
2017,329,"Allamakee-Clayton El Coop, Inc",IA,Allamakee
2017,329,"Allamakee-Clayton El Coop, Inc",IA,Bremer
2017,329,"Allamakee-Clayton El Coop, Inc",IA,Chickasaw
2017,329,"Allamakee-Clayton El Coop, Inc",IA,Clayton
2017,329,"Allamakee-Clayton El Coop, Inc",IA,Delaware
2017,329,"Allamakee-Clayton El Coop, Inc",IA,Dubuque
2017,329,"Allamakee-Clayton El Coop, Inc",IA,Fayette
2017,329,"Allamakee-Clayton El Coop, Inc",IA,Winneshiek
2017,366,City of Allendale- (IL),IL,Wabash
2017,367,City of Alliance- (NE),NE,Box Butte
2017,367,City of Alliance- (NE),NE,Morrill
2017,385,City of Alma - (KS),KS,Wabaunsee
2017,392,Alpena Power Co,MI,Alcona
2017,392,Alpena Power Co,MI,Alpena
2017,392,Alpena Power Co,MI,Montmorency
2017,392,Alpena Power Co,MI,Presque Isle
2017,405,City of Alta - (IA),IA,Buena Vista
2017,406,City of Altamont - (IL),IL,Effingham
2017,407,Altamaha Electric Member Corp,GA,Emanuel
2017,407,Altamaha Electric Member Corp,GA,Johnson
2017,407,Altamaha Electric Member Corp,GA,Laurens
2017,407,Altamaha Electric Member Corp,GA,Montgomery
2017,407,Altamaha Electric Member Corp,GA,Tattnall
2017,407,Altamaha Electric Member Corp,GA,Toombs
2017,407,Altamaha Electric Member Corp,GA,Treutlen
2017,408,City of Altamont - (KS),KS,Labette
2017,416,City of Altus - (OK),OK,Jackson
2017,432,City of Alta Vista- (IA),IA,Chickasaw
2017,471,Amana Society Service Co,IA,Iowa
2017,482,City of Alvarado - (MN),MN,Marshall
2017,554,City of Ames - (IA),IA,Story
2017,560,City of Amherst- (OH),OH,Lorain
2017,562,Amicalola Electric Member Corp,GA,Bartow
2017,562,Amicalola Electric Member Corp,GA,Cherokee
2017,562,Amicalola Electric Member Corp,GA,Dawson
2017,562,Amicalola Electric Member Corp,GA,Fannin
2017,562,Amicalola Electric Member Corp,GA,Forsyth
2017,562,Amicalola Electric Member Corp,GA,Gilmer
2017,562,Amicalola Electric Member Corp,GA,Gordon
2017,562,Amicalola Electric Member Corp,GA,Lumpkin
2017,562,Amicalola Electric Member Corp,GA,Murray
2017,562,Amicalola Electric Member Corp,GA,Pickens
2017,571,City of Amory,MS,Monroe
2017,577,City of Alcoa Utilities,TN,Blount
2017,588,Anadarko Public Works Authority,OK,Caddo
2017,590,City of Anaheim - (CA),CA,Orange
2017,599,Anchorage Municipal Light and Power,AK,Anchorage
2017,604,City of Andalusia,AL,Covington
2017,636,City of Anderson - (IN),IN,Madison
2017,661,Village of Andover - (NY),NY,Allegany
2017,669,Village of Angelica - (NY),NY,Allegany
2017,682,City of Anita - (IA),IA,Cass
2017,689,Connexus Energy,MN,Anoka
2017,689,Connexus Energy,MN,Chisago
2017,689,Connexus Energy,MN,Hennepin
2017,689,Connexus Energy,MN,Isanti
2017,689,Connexus Energy,MN,Ramsey
2017,689,Connexus Energy,MN,Sherburne
2017,689,Connexus Energy,MN,Washington
2017,690,City of Bardstown - (KY),KY,Nelson
2017,691,City of Anoka,MN,Anoka
2017,691,City of Anoka,MN,Hennepin
2017,694,Anza Electric Coop Inc,CA,Riverside
2017,695,City of Ansley - (NE),NE,Custer
2017,700,City of Anthon - (IA),IA,Woodbury
2017,701,City of Anthony - (KS),KS,Harper
2017,719,Town of Apex- (NC),NC,Wake
2017,723,City of Aplington,IA,Butler
2017,727,Appalachian Electric Coop,TN,Grainger
2017,727,Appalachian Electric Coop,TN,Hamblen
2017,727,Appalachian Electric Coop,TN,Jefferson
2017,727,Appalachian Electric Coop,TN,Sevier
2017,733,Appalachian Power Co,VA,Albemarle
2017,733,Appalachian Power Co,VA,Amherst
2017,733,Appalachian Power Co,VA,Appomattox
2017,733,Appalachian Power Co,VA,Bedford
2017,733,Appalachian Power Co,VA,Bland
2017,733,Appalachian Power Co,VA,Botetourt
2017,733,Appalachian Power Co,VA,Buchanan
2017,733,Appalachian Power Co,VA,Buckingham
2017,733,Appalachian Power Co,VA,Campbell
2017,733,Appalachian Power Co,VA,Carroll
2017,733,Appalachian Power Co,VA,Craig
2017,733,Appalachian Power Co,VA,Dickenson
2017,733,Appalachian Power Co,VA,Floyd
2017,733,Appalachian Power Co,VA,Fluvanna
2017,733,Appalachian Power Co,VA,Franklin
2017,733,Appalachian Power Co,VA,Galax City
2017,733,Appalachian Power Co,VA,Giles
2017,733,Appalachian Power Co,VA,Grayson
2017,733,Appalachian Power Co,VA,Henry
2017,733,Appalachian Power Co,VA,Lynchburg City
2017,733,Appalachian Power Co,VA,Montgomery
2017,733,Appalachian Power Co,VA,Nelson
2017,733,Appalachian Power Co,VA,Patrick
2017,733,Appalachian Power Co,VA,Pittsylvania
2017,733,Appalachian Power Co,VA,Pulaski
2017,733,Appalachian Power Co,VA,Roanoke
2017,733,Appalachian Power Co,VA,Roanoke City
2017,733,Appalachian Power Co,VA,Russell
2017,733,Appalachian Power Co,VA,Scott
2017,733,Appalachian Power Co,VA,Smyth
2017,733,Appalachian Power Co,VA,Tazewell
2017,733,Appalachian Power Co,VA,Washington
2017,733,Appalachian Power Co,VA,Wise
2017,733,Appalachian Power Co,VA,Wythe
2017,733,Appalachian Power Co,WV,Boone
2017,733,Appalachian Power Co,WV,Cabell
2017,733,Appalachian Power Co,WV,Clay
2017,733,Appalachian Power Co,WV,Fayette
2017,733,Appalachian Power Co,WV,Greenbrier
2017,733,Appalachian Power Co,WV,Jackson
2017,733,Appalachian Power Co,WV,Kanawha
2017,733,Appalachian Power Co,WV,Lincoln
2017,733,Appalachian Power Co,WV,Logan
2017,733,Appalachian Power Co,WV,Mason
2017,733,Appalachian Power Co,WV,McDowell
2017,733,Appalachian Power Co,WV,Mercer
2017,733,Appalachian Power Co,WV,Mingo
2017,733,Appalachian Power Co,WV,Monroe
2017,733,Appalachian Power Co,WV,Nicholas
2017,733,Appalachian Power Co,WV,Putnam
2017,733,Appalachian Power Co,WV,Raleigh
2017,733,Appalachian Power Co,WV,Roane
2017,733,Appalachian Power Co,WV,Summers
2017,733,Appalachian Power Co,WV,Wayne
2017,733,Appalachian Power Co,WV,Wyoming
2017,750,Arab Electric Coop Inc,AL,Cullman
2017,750,Arab Electric Coop Inc,AL,Marshall
2017,752,City of Arapahoe - (NE),NE,Furnas
2017,764,City of Arcadia - (KS),KS,Crawford
