Utility Characteristics,,,,,Number of,,,,,Types of Program,,,,,,,,,,,,,,,,,,,
,,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation
2018,55,City of Aberdeen - (MS),MS,TVA,0,19,1,0,20,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,84,A & N Electric Coop,VA,PJM,2,5,.,.,7,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,97,Adams Electric Coop,IL,MISO,42,5,.,.,47,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,108,Adams-Columbia Electric Coop,WI,MISO,835,939,9,.,"1,783",Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N
2018,162,Aiken Electric Coop Inc,SC,SC,2,53,.,.,55,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,195,Alabama Power Co,AL,SOCO,642,"4,014","1,100",.,"5,756",Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N
2018,213,Alaska Electric Light&Power Co,AK,NA,43,4,0,.,47,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,240,Albemarle Electric Member Corp,NC,PJM,7,11,.,.,18,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,241,Albertville Municipal Utilities Board,AL,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,276,Alcorn County Elec Power Assn,MS,TVA,0,1,4,0,5,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,307,Algoma Utility Comm,WI,MISO,3,14,1,0,18,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,407,Altamaha Electric Member Corp,GA,SOCO,.,.,199,.,199,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
2018,571,City of Amory,MS,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,590,City of Anaheim - (CA),CA,CISO,.,51,12,.,63,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,636,City of Anderson - (IN),IN,PJM,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,691,City of Anoka,MN,MISO,.,2,.,.,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2018,719,Town of Apex- (NC),NC,CPLE,47,85,0,0,132,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2018,727,Appalachian Electric Coop,TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,733,Appalachian Power Co,VA,PJM,"1,198",525,22,0,"1,745",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,733,Appalachian Power Co,WV,PJM,269,728,10,0,"1,007",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,803,Arizona Public Service Co,AZ,AZPS,"614,180",.,.,.,"614,180",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,814,Entergy Arkansas LLC,AR,MISO,70,406,269,.,745,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,887,"Arrowhead Electric Coop, Inc",MN,MISO,.,2,.,.,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,944,City of Athens - (AL),AL,TVA,0,3,3,0,6,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,947,Athens Utility Board,TN,TVA,0,0,5,0,5,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,970,Homefield Energy,IL,MISO,0,0,14,0,14,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,994,City of Auburn - (IN),IN,PJM,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1009,City of Austin - (MN),MN,MISO,.,9,.,.,9,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1015,Austin Energy,TX,ERCO,16,31,5,.,52,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1036,Town of Ayden - (NC),NC,CPLE,.,.,1,.,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
2018,1050,City of Azusa,CA,CISO,123,4,31,.,158,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1167,Baltimore Gas & Electric Co,MD,PJM,"1,115,503",.,.,.,"1,115,503",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
2018,1175,"Bandera Electric Coop, Inc",TX,ERCO,"1,199",.,.,.,"1,199",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1181,Village of Bangor - (WI),WI,MISO,.,1,2,.,3,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1192,City of Banning - (CA),CA,CISO,0,0,12,0,12,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1283,Bartholomew County Rural E M C,IN,MISO,262,.,.,.,262,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1366,City of Bay City - (MI),MI,MISO,.,23,14,.,37,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1529,"Beltrami Electric Coop, Inc",MN,MISO,.,27,.,.,27,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2018,1578,Benton County,TN,TVA,"8,472","1,696",1,0,"10,169",Y,X,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1591,"Big Country Electric Coop, Inc",TX,ERCO,.,.,14,.,14,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1613,Berkeley Electric Coop Inc,SC,SC,0,11,2,0,13,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1675,Big Horn Rural Electric Co,WY,WACM,1,2,.,.,3,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1769,"Black Hills Electric Coop, Inc",SD,SWPP,"5,407","1,020",86,0,"6,513",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1776,City of Black River Falls,WI,MISO,0,17,0,0,17,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1883,Blue Earth Light & Water,MN,MISO,4,.,.,.,4,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1884,BENCO Electric Cooperative,MN,MISO,18,.,2,.,20,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1889,Blue Ridge Elec Member Corp - (NC),NC,DUK,47,11,.,.,58,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,1997,City of Boscobel - (WI),WI,MISO,0,7,1,0,8,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,2008,City of Boulder City - (NV),NV,WALC,0,2,0,0,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,2056,City of Bowling Green - (KY),KY,TVA,0,1,2,0,3,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,2192,Bremen Electric Light & Power Co,IN,MISO,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,2212,"Broad River Electric Coop, Inc",NC,DUK,5,.,.,.,5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,2247,City of Bristol - (TN),TN,TVA,0,0,4,0,4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,2248,Bristol Virginia Utilities,VA,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,2273,Brodhead Water & Lighting Comm,WI,MISO,1,2,2,0,5,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,2411,City of Brownsville,TN,TVA,0,0,4,0,4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,2439,City of Bryan - (OH),OH,PJM,.,4,7,.,11,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,2442,City of Bryan - (TX),TX,ERCO,.,23,.,.,23,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,2507,City of Burbank Water and Power,CA,LDWP,249,"6,829",.,.,"7,078",Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,2548,City of Burlington Electric - (VT),VT,ISNE,38,15,9,0,62,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,2641,"Butler Rural El Coop Assn, Inc - (KS)",KS,SWPP,"6,662",780,8,.,"7,450",Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N
2018,2651,Butler Rural Electric Coop Inc - (OH),OH,PJM,0,1,2,0,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N
2018,2830,Calpine Power America LLC,ME,ISNE,0,0,1,0,1,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,2830,Calpine Power America LLC,TX,ERCO,0,0,1,0,1,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,2849,Central Electric Power Assn - (MS),MS,TVA,0,1,5,0,6,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,2960,"Caney Fork Electric Coop, Inc",TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,2998,"Carbon Power & Light, Inc",WY,WACM,44,73,4,.,121,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
