Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2018,122,Village of Arcade - (NY),NY,NYIS,24,280,.,.,304,4.1,10.7,.,.,14.8,"2,406",336,.,.,"2,742",4.1,11.0,.,.,15.1,16,17,.,.,33,3,4,.,.,7,46,16,.,.,61,18,8,.,.,26,10.000,12.000,.,.,
2018,150,Adrian Public Utilities Comm,MN,MISO,46,66,8,0,120,0.0,0.0,0.0,0.0,0.0,560,795,98,0,"1,453",0.0,0.0,0.0,0.0,0.0,3,5,1,0,8,1,2,0,0,3,3,5,1,0,8,1,2,0,0,3,12.300,12.000,12.000,.,
2018,162,Aiken Electric Coop Inc,SC,SC,6,0,0,0,6,0.2,0.0,0.0,0.0,0.2,118,0,0,0,118,0.2,0.0,0.0,0.0,0.2,0,0,0,0,0,33,0,0,0,33,0,0,0,0,0,33,0,0,0,33,20.000,0.000,0.000,0.000,
2018,189,PowerSouth Energy Cooperative,AL,AEC,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,964,.,.,.,964,494,.,.,.,494,"1,879",.,.,.,"1,879","1,050",.,.,.,"1,050",15.000,.,.,.,
2018,195,Alabama Power Co,AL,SOCO,"9,509","5,299",585,.,"15,393",2.8,2.8,0.0,.,5.6,"68,620","32,161","2,735",.,"103,516",1.9,2.9,0.0,.,4.8,93,0,0,.,93,"2,687",369,151,.,"3,207",93,0,0,.,93,"2,687",369,151,.,"3,207",8.430,14.010,5.000,.,
2018,207,City of Alameda,CA,CISO,52,"1,420",.,.,"1,472",0.0,0.2,.,.,0.2,525,"20,218",.,.,"20,743",0.0,0.2,.,.,0.2,15,269,.,.,284,220,346,.,.,566,15,269,.,.,284,220,346,.,.,566,12.548,14.357,.,.,
2018,295,City of Alexandria - (MN),MN,MISO,278,904,"3,205",.,"4,387",0.1,0.1,0.5,.,0.7,"4,142","11,509","40,805",.,"56,455",0.1,0.1,0.5,.,0.7,38,35,124,.,196,14,13,46,.,73,38,35,124,.,196,14,13,46,.,73,14.900,12.700,12.700,.,
2018,309,City of Algona - (IA),IA,SWPP,142,471,156,.,769,0.1,0.1,0.0,.,0.2,"2,198","9,400","3,113",.,"14,711",0.1,0.1,0.0,.,0.2,47,50,15,.,111,14,72,4,.,90,47,50,15,.,111,14,72,4,.,90,15.420,19.970,19.940,.,
2018,329,"Allamakee-Clayton El Coop, Inc",IA,MISO,"1,057",131,.,.,"1,188",0.1,0.0,.,.,0.1,"14,828","1,839",.,.,"16,667",0.1,0.0,.,.,0.1,58,3,.,.,61,20,1,.,.,21,58,3,.,.,61,20,1,.,.,21,14.028,14.013,.,.,
