Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2018,34,City of Abbeville - (SC),Y,SC,DUK,"2,940",460,0,.,"3,400",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.,"2,940",460,0,0,"3,400",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.
2018,55,City of Aberdeen - (MS),,MS,TVA,0,0,0,0,0,0,19,1,0,20,0,0,0,0,0,"2,552",622,0,0,"3,174","2,552",641,1,0,"3,194",0,607,"118,670",0,"119,277",0,0,0,0,0,0,0,0,0,0
2018,59,City of Abbeville - (LA),,LA,MISO,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,655","1,032",27,.,"5,714","4,655","1,032",27,0,"5,714",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,84,A & N Electric Coop,,MD,PJM,271,43,.,.,314,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,271,43,0,0,314,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,84,A & N Electric Coop,,VA,PJM,"31,260","2,801",4,.,"34,065",.,.,.,.,.,.,.,.,.,.,122,"1,329",4,.,"1,455","31,382","4,130",8,0,"35,520",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,87,City of Ada - (MN),Y,MN,MISO,870,158,59,.,"1,087",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,870,158,59,0,"1,087",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,97,Adams Electric Coop,,IL,MISO,.,.,.,.,.,"11,698",225,.,.,"11,923",.,.,.,.,.,.,.,.,.,.,"11,698",225,0,0,"11,923","119,449","55,527",.,.,"174,976","8,664",225,.,.,"8,889","4,309",.,.,.,"4,309"
2018,108,Adams-Columbia Electric Coop,,WI,MISO,"34,207","2,200",932,.,"37,339",.,.,.,.,.,.,.,.,.,.,.,11,.,.,11,"34,207","2,211",932,0,"37,350",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,118,"Adams Rural Electric Coop, Inc",,OH,PJM,.,.,.,.,.,"7,091",372,.,.,"7,463",.,.,.,.,.,.,.,.,.,.,"7,091",372,0,0,"7,463","96,940","15,722",.,.,"112,662",.,.,.,.,.,.,.,.,.,.
2018,122,Village of Arcade - (NY),,NY,NYIS,"3,645",504,99,0,"4,248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,645",504,99,0,"4,248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
