|Utility Characteristics..Year|,|Utility Characteristics..State|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Customers.Residential|,|Photovoltaic.Customers.Commercial|,|Photovoltaic.Customers.Industrial|,|Photovoltaic.Customers.Transportation|,|Photovoltaic.Customers.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Customers.Residential|,|Photovoltaic.Storage Customers.Commercial|,|Photovoltaic.Storage Customers.Industrial|,|Photovoltaic.Storage Customers.Transportation|,|Photovoltaic.Storage Customers.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Customers.Residential|,|Wind.Customers.Commercial|,|Wind.Customers.Industrial|,|Wind.Customers.Transportation|,|Wind.Customers.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Customers.Residential|,|Other.Customers.Commercial|,|Other.Customers.Industrial|,|Other.Customers.Transportation|,|Other.Customers.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Customers.Residential|,|All Technologies.Customers.Commercial|,|All Technologies.Customers.Industrial|,|All Technologies.Customers.Transportation|,|All Technologies.Customers.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
2018,AK,219,Alaska Power and Telephone Co,NA,AC,0.012,0.021,.,.,0.033,3,2,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.468,2.380,.,.,4.848,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.012,0.021,0.000,0.000,0.033,3,2,0,0,5,2.468,2.380,0.000,0.000,4.848
2018,AK,599,Anchorage Municipal Light and Power,AMPL,AC,0.220,0.212,.,.,0.432,66,17,.,.,83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5.398,34.943,.,.,40.341,.,0.002,.,.,0.002,.,1,.,.,1,.,0.398,.,.,0.398,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.220,0.214,0.000,0.000,0.434,66,18,0,0,84,5.398,35.341,0.000,0.000,40.739
2018,AK,3522,Chugach Electric Assn Inc,CEA,AC,0.301,0.200,.,.,0.501,117,30,.,.,147,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,0.008,.,.,0.008,.,3,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.301,0.208,0.000,0.000,0.509,117,33,0,0,150,0.000,0.000,0.000,0.000,0.000
2018,AK,4329,"Copper Valley Elec Assn, Inc",NA,DC,0.038,0.034,.,.,0.072,8,2,.,.,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11.500,.,.,.,11.500,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.038,0.034,0.000,0.000,0.072,8,2,0,0,10,11.500,0.000,0.000,0.000,11.500
2018,AK,7353,Golden Valley Elec Assn Inc,NA,AC,0.731,0.257,0.043,.,1.031,179,24,4,.,207,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44.165,9.904,0.000,.,54.069,0.013,0.015,.,.,0.028,4,3,.,.,7,0.000,0.000,0.000,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.744,0.272,0.043,0.000,1.059,183,27,4,0,214,44.165,9.904,0.000,0.000,54.069
2018,AK,11824,Matanuska Electric Assn Inc,NA,AC,0.457,0.072,.,.,0.529,102,9,.,.,111,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.057,0.018,.,.,0.075,18,4,.,.,22,.,.,.,.,0.000,0.030,0.004,.,.,0.034,6,1,.,.,7,.,.,.,.,0.000,0.544,0.094,0.000,0.000,0.638,126,14,0,0,140,0.000,0.000,0.000,0.000,0.000
2018,AK,16955,City of Seward - (AK),NA,AC,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000
2018,AK,19558,Homer Electric Assn Inc,NA,DC,0.385,0.055,.,.,0.440,97,10,.,.,107,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,123.927,9.600,.,.,133.527,0.097,0.015,.,.,0.112,28,4,.,.,32,12.433,7.495,.,.,19.928,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.482,0.070,0.000,0.000,0.552,125,14,0,0,139,136.360,17.095,0.000,0.000,153.455
2018,AK,99999,Adjustment 2018,NA,,-0.074,-0.016,.,.,-0.089,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.074,-0.016,.,.,-0.089,.,.,.,.,.,.,.,.,.,.
2018,AL,3222,Central Alabama Electric Coop,AEC,DC,0.054,.,.,.,0.054,15,.,.,.,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.465,.,.,.,3.465,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.054,0.000,0.000,0.000,0.054,15,0,0,0,15,3.465,0.000,0.000,0.000,3.465
