Data Year,Utility Number,Utility Name,Ownership,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2020,34,City of Abbeville - (SC),Municipal,Y,SC,DUK,"3,386",456,0,.,"3,842",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.,"3,386",456,0,0,"3,842",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.
2020,55,City of Aberdeen - (MS),Municipal,,MS,TVA,0,0,0,0,0,0,19,1,0,20,0,0,0,0,0,"2,533",621,0,0,"3,154","2,533",640,1,0,"3,174",0,531,"87,360",0,"87,891",0,0,0,0,0,0,0,0,0,0
2020,84,A & N Electric Coop,Cooperative,,MD,PJM,0,0,0,0,0,269,44,0,0,313,0,0,0,0,0,0,0,0,0,0,269,44,0,0,313,"2,078",541,0,0,"2,619",269,44,0,0,313,0,0,0,0,0
2020,84,A & N Electric Coop,Cooperative,,VA,PJM,53,580,0,0,633,"31,712","3,788",8,0,"35,508",0,0,0,0,0,0,0,0,0,0,"31,765","4,368",8,0,"36,141","347,735","133,508","170,017",0,"651,260","31,765","4,368",8,0,"36,141",0,0,0,0,0
2020,87,City of Ada - (MN),Municipal,Y,MN,MISO,872,160,55,.,"1,087",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,872,160,55,0,"1,087",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,97,Adams Electric Coop,Cooperative,Y,IL,MISO,.,.,.,.,.,"11,740",225,.,.,"11,965",.,.,.,.,.,.,.,.,.,.,"11,740",225,0,0,"11,965","115,367","55,865",.,.,"171,232",.,.,.,.,.,.,.,.,.,.
2020,108,Adams-Columbia Electric Coop,Cooperative,,WI,MISO,.,.,.,.,0,"34,633","2,387",966,.,"37,986",.,.,.,.,.,.,.,3,.,3,"34,633","2,387",969,0,"37,989","274,080","82,909","174,673",.,"531,662","34,633","2,387",966,.,"37,986",.,.,.,.,.
2020,118,"Adams Rural Electric Coop, Inc",Cooperative,Y,OH,PJM,.,.,.,.,.,"7,151",388,.,.,"7,539",.,.,.,.,.,.,.,.,.,.,"7,151",388,0,0,"7,539","13,399","2,447",.,.,"15,846",.,.,.,.,.,.,.,.,.,.
2020,122,Village of Arcade - (NY),Municipal,Y,NY,NYIS,"3,671",491,81,.,"4,243",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,671",491,81,0,"4,243",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,123,City of Adel- (GA),Municipal,Y,GA,SOCO,.,.,.,.,.,"2,385",751,21,.,"3,157",.,.,.,.,.,.,.,.,.,.,"2,385",751,21,0,"3,157","27,822","38,138","10,232",.,"76,192",.,.,.,.,.,.,.,.,.,.
2020,149,City of Afton- (IA),Municipal,Y,IA,MISO,437,78,.,.,515,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,437,78,0,0,515,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,155,Agralite Electric Coop,Cooperative,,MN,MISO,0,8,1,.,9,"4,391",288,579,.,"5,258",.,.,.,.,.,0,0,0,.,0,"4,391",296,580,0,"5,267","82,000","79,877","67,251",.,"229,128","4,391",296,580,.,"5,267","2,610",296,413,.,"3,319"
2020,162,Aiken Electric Coop Inc,Cooperative,,SC,SC,.,.,.,.,.,"46,101","3,190",16,.,"49,307",.,.,.,.,.,.,.,.,.,.,"46,101","3,190",16,0,"49,307","609,749","130,760","159,520",.,"900,029","46,101","3,190",.,.,"49,291","7,268",.,.,.,"7,268"
2020,174,Aitkin Public Utilities Comm,Municipal,Y,MN,MISO,0,0,0,.,0,"1,531",312,56,.,"1,899",.,.,.,.,.,.,.,.,.,.,"1,531",312,56,0,"1,899","12,576","8,752","12,224",.,"33,552",.,.,.,.,.,.,.,.,.,.
2020,176,Ajo Improvement Co,Investor Owned,,AZ,AZPS,823,215,0,0,"1,038",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,823,215,0,0,"1,038",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,182,City of Akron - (IA),Municipal,Y,IA,MISO,700,141,50,.,891,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,700,141,50,0,891,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,183,Village of Akron - (NY),Municipal,Y,NY,NYIS,"1,444",146,.,.,"1,590",.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,"1,444",146,0,0,"1,590",.,.,.,.,0,.,.,.,.,.,.,.,.,.,.
2020,192,Akiachak Native Community Electric,Cooperative,Y,AK,NA,184,55,.,.,239,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,184,55,0,0,239,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
