|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Residential|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Commercial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Industrial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Transportation|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Total|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Residential|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Commercial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Industrial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Transportation|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Total|,|Incremental Life Cycle Savings.Energy Savings (MWh).Residential|,|Incremental Life Cycle Savings.Energy Savings (MWh).Commercial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Industrial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Transportation|,|Incremental Life Cycle Savings.Energy Savings (MWh).Total|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Residential|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Commercial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Industrial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Transportation|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Total|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Total|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Total|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Total|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Total|,|Weighted Average Life.(Years).Residential|,|Weighted Average Life.(Years).Commercial|,|Weighted Average Life.(Years).Industrial|,|Weighted Average Life.(Years).Transportation|,|..Website|
2020,162,Aiken Electric Coop Inc,SC,SC,213,0,0,0,213,0.0,0.0,0.0,0.0,0.0,"80,746",0,"1,190",0,"81,936",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,24,0,0,0,24,0,0,0,0,0,"3,019",0,11,0,"3,031",9.940,.,10.000,.,
2020,189,PowerSouth Energy Cooperative,AL,AEC,"1,898",.,.,.,"1,898",2.3,.,.,.,2.3,"29,091",.,.,.,"29,091",2.3,.,.,.,2.3,772,.,.,.,772,423,.,.,.,423,772,.,.,.,772,423,.,.,.,423,12.000,.,.,.,
2020,195,Alabama Power Co,AL,SOCO,"2,841",991,0,.,"3,832",8.8,0.3,0.0,.,9.1,"45,684","3,104","1,708",.,"50,496",5.7,0.2,0.2,.,6.1,110,0,0,.,110,"1,313",373,0,.,"1,686",110,0,0,.,110,"1,313",373,0,.,"1,686",9.930,5.100,5.000,.,
2020,207,Alameda Municipal Power,CA,CISO,119,"1,021",0,.,"1,140",0.3,0.1,0.0,.,0.4,"1,535","14,341",0,.,"15,876",0.3,0.1,0.0,.,0.4,99,229,0,.,328,275,399,0,.,674,99,229,0,.,328,275,399,0,.,674,14.029,14.185,0.000,.,
2020,295,City of Alexandria - (MN),MN,MISO,338,535,"1,897",.,"2,770",0.1,0.1,0.3,.,0.5,"4,709","6,995","24,800",.,"36,503",0.1,0.1,0.3,.,0.5,48,18,64,.,130,24,9,33,.,66,48,18,64,.,130,24,9,33,.,66,13.931,13.073,13.043,.,
2020,407,Altamaha Electric Member Corp,GA,SOCO,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2020,554,City of Ames - (IA),IA,MISO,589,"2,695",0,0,"3,284",0.7,0.8,0.0,0.0,1.5,"9,300","43,120",0,0,"52,420",0.7,0.8,0.0,0.0,1.5,275,93,0,0,367,36,13,0,0,49,275,93,0,0,367,36,13,0,0,49,11.180,10.040,.,.,
2020,590,City of Anaheim - (CA),CA,CISO,"3,477","10,995","2,736",.,"17,208",0.6,2.0,0.2,.,2.7,"40,243","125,751","29,543",.,"195,537",0.6,2.0,0.2,.,2.7,714,"2,145",0,.,"2,859","1,170",722,1,.,"1,892",714,"2,145",0,.,"2,859","1,170",722,1,.,"1,892",11.574,11.437,10.798,.,
2020,691,City of Anoka,MN,MISO,140,"2,000",.,.,"2,139",0.0,0.4,.,.,0.4,"2,338","18,058",.,.,"20,395",0.0,0.4,.,.,0.4,30,162,.,.,192,96,12,.,.,108,30,162,.,.,192,96,12,.,.,108,12.000,14.000,.,.,
2020,733,Appalachian Power Co,VA,PJM,"1,172","20,020","2,224",0,"23,416",0.2,3.1,0.3,0.0,3.6,"16,699","169,799","18,867",0,"205,365",0.2,3.1,0.3,0.0,3.6,787,"1,097",122,0,"2,006",846,983,109,0,"1,938",787,"1,097",122,0,"2,006",846,983,109,0,"1,938",14.200,8.500,8.500,0.000,
