Data Year,Utility Number,Utility Name,Short Form,Ownership Code,Ownership,Monthly,Advanced Metering,Delivery Company,Demand Response,Distribution Systems,Dynamic Pricing,Energy Efficiency,Mergers,Net Metering,Non Net Metering Distributed,Operational Data,Reliablity,Sales to Ultimate Customers,Service Territory,Utility Data
2020,34,City of Abbeville - (SC),Y,M,Municipal,,X,,,,,,,,X,,,,X,
2020,55,City of Aberdeen - (MS),,M,Municipal,,X,,,X,X,,,,X,X,,X,X,X
2020,59,City of Abbeville - (LA),Y,M,Municipal,,,,,,,,,,,,,,X,
2020,84,A & N Electric Coop,,C,Cooperative,X,X,,,X,X,,,X,,X,X,X,X,X
2020,87,City of Ada - (MN),Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,97,Adams Electric Coop,Y,C,Cooperative,,X,,,,X,,,,X,,,,X,
2020,108,Adams-Columbia Electric Coop,,C,Cooperative,,X,,X,X,X,,,X,,X,X,X,X,X
2020,113,"Agway Energy Services, LLC",,R,Retail Power Marketer,X,,,,,,,,,,X,,X,,X
2020,118,"Adams Rural Electric Coop, Inc",Y,C,Cooperative,,X,,,,,,,,,,,,X,
2020,122,Village of Arcade - (NY),Y,M,Municipal,,X,,,,,,,,X,,,,X,
2020,123,City of Adel- (GA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,149,City of Afton- (IA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,150,Adrian Public Utilities Comm,Y,M,Municipal,,,,,,,,,,,,,,X,
2020,155,Agralite Electric Coop,,C,Cooperative,,X,,,X,,,,X,X,X,X,X,X,X
2020,157,Town of Advance - (IN),Y,M,Municipal,,,,,,,,,,,,,,X,
2020,162,Aiken Electric Coop Inc,,C,Cooperative,,X,,X,X,X,X,,X,,X,X,X,X,X
2020,174,Aitkin Public Utilities Comm,Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,176,Ajo Improvement Co,,I,Investor Owned,X,X,,,X,,,,X,,X,,X,X,X
2020,182,City of Akron - (IA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,183,Village of Akron - (NY),Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,189,PowerSouth Energy Cooperative,,C,Cooperative,,,,X,,,X,,,,X,,,,X
2020,191,Alamo Power District No 3,Y,P,Political Subdivision,,,,,,,,,,,,,,X,
2020,192,Akiachak Native Community Electric,Y,C,Cooperative,,X,,,,,,,,,,,,X,
2020,195,Alabama Power Co,,I,Investor Owned,X,X,,X,X,X,X,,,X,X,X,X,X,X
2020,198,City of Alton,Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,201,City of Alachua - (FL),Y,M,Municipal,,,,,,,,,,,,,,X,
2020,202,Town of Black Creek - (NC),Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,207,Alameda Municipal Power,,M,Municipal,,X,,X,X,,X,,X,X,X,X,X,X,X
2020,213,Alaska Electric Light&Power Co,,I,Investor Owned,X,X,,X,X,X,,,,X,X,X,X,X,X
2020,219,Alaska Power and Telephone Co,,I,Investor Owned,X,X,,,X,,,,X,X,X,X,X,X,X
2020,221,"Alaska Village Elec Coop, Inc",,C,Cooperative,X,X,,,X,,,,,X,X,,X,X,X
2020,228,City of Albany - (MO),Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,229,City of Albany - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,230,Albany Utility Board,,M,Municipal,,X,,,X,,,,,,X,,X,X,X
2020,232,City of Albemarle - (NC),,M,Municipal,,X,,,X,,,,,X,X,X,X,X,X
2020,240,Albemarle Electric Member Corp,,C,Cooperative,,X,,,X,X,,,X,X,X,X,X,X,X
2020,241,Albertville Municipal Utilities Board,,M,Municipal,,X,,,X,X,,,,X,X,X,X,X,X
2020,244,City of Albion - (ID),Y,M,Municipal,,,,,,,,,,,,,,X,
2020,261,AGC Division of APG Inc,,I,Investor Owned,X,X,,,X,,,,,,X,,X,X,X
2020,266,City of Alpha - (MN),Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,276,Alcorn County Elec Power Assn,,C,Cooperative,,X,,,X,X,,,,X,X,X,X,X,X
2020,282,Village of Arcadia - (OH),Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,287,"Alder Mutual Light Co, Inc",Y,C,Cooperative,,,,,,,,,,,,,,X,
2020,289,City of Alexander City,Y,M,Municipal,,,,,,,,,,,,,,X,
2020,295,City of Alexandria - (MN),,M,Municipal,,X,,X,X,,X,,X,,X,X,X,X,X
2020,296,"Alfalfa Electric Coop, Inc",,C,Cooperative,,X,,,X,,,,X,,X,X,X,X,X
2020,298,City of Alexandria - (LA),,M,Municipal,,X,,,X,X,,,,,X,,X,X,X
2020,305,Alger-Delta Coop Electric Assn,,C,Cooperative,,X,,,X,,,,X,,X,X,X,X,X
2020,307,Algoma Utility Comm,,M,Municipal,,X,,,X,X,,,X,,X,,X,X,X
2020,308,City of Acworth - (GA),Y,M,Municipal,,,,,,,,,,,,,,X,
2020,309,City of Algona - (IA),Y,M,Municipal,,X,,,,,,,,X,,,,X,
2020,329,"Allamakee-Clayton El Coop, Inc",Y,C,Cooperative,,X,,,,,,,,X,,,,X,
2020,332,Allegheny Electric Coop Inc,,C,Cooperative,,,,X,,,,,,,X,,,,X
2020,343,AEP Generating Company,,I,Investor Owned,,,,,,,,,,,X,,,,X
2020,366,City of Allendale- (IL),Y,M,Municipal,,,,,,,,,,,,,,X,
2020,367,City of Alliance- (NE),Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,385,City of Alma - (KS),Y,M,Municipal,,,,,,,,,,,,,,X,
2020,392,Alpena Power Co,,I,Investor Owned,X,X,,,X,,,,X,X,X,X,X,X,X
2020,405,City of Alta - (IA),Y,M,Municipal,,,,,,,,,,,,,,X,
2020,406,City of Altamont - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,407,Altamaha Electric Member Corp,,C,Cooperative,,X,,X,X,X,X,,X,,X,X,X,X,X
2020,408,City of Altamont - (KS),Y,M,Municipal,,,,,,,,,,,,,,X,
2020,416,City of Altus - (OK),Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,432,City of Alta Vista- (IA),Y,M,Municipal,,,,,,,,,,,,,,X,
2020,471,Amana Society Service Co,,I,Investor Owned,X,X,,,X,,,,,,X,,X,X,X
2020,482,City of Alvarado - (MN),Y,M,Municipal,,,,,,,,,,,,,,X,
2020,540,BP Energy Company,,R,Retail Power Marketer,X,,,,,X,,,,,X,,X,,X
2020,554,City of Ames - (IA),,M,Municipal,,X,,X,X,X,X,,X,,X,X,X,X,X
2020,560,City of Amherst- (OH),Y,M,Municipal,,,,,,,,,,,,,,X,
2020,562,Amicalola Electric Member Corp,,C,Cooperative,,X,,,X,,,,X,,X,X,X,X,X
2020,571,City of Amory,,M,Municipal,,X,,,X,X,,,,X,X,,X,X,X
2020,577,City of Alcoa Utilities,,M,Municipal,,X,,,X,X,,,,X,X,,X,X,X
2020,588,Anadarko Public Works Authority,Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,590,City of Anaheim - (CA),,M,Municipal,,X,,X,X,X,X,,X,,X,X,X,X,X
2020,599,Anchorage Municipal Light and Power,,M,Municipal,X,X,,,X,X,,,,,X,X,X,X,X
2020,604,City of Andalusia,,M,Municipal,,X,,,X,,,,,,X,,X,X,X
2020,636,City of Anderson - (IN),,M,Municipal,,X,,,X,X,,,X,,X,X,X,X,X
2020,659,American Transmission Co,,T,Transmission,,,,,,,,,,,X,,,,X
2020,661,Village of Andover - (NY),Y,M,Municipal,,,,,,,,,,,,,,X,
2020,669,Village of Angelica - (NY),Y,M,Municipal,,,,,,,,,,,,,,X,
2020,682,City of Anita - (IA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,689,Connexus Energy,,C,Cooperative,X,X,,,X,,,,X,,X,X,X,X,X
2020,690,City of Bardstown - (KY),,M,Municipal,,X,,,X,,,,X,,X,,X,X,X
2020,691,City of Anoka,,M,Municipal,,X,,,X,X,X,,X,,X,X,X,X,X
2020,694,Anza Electric Coop Inc,Y,C,Cooperative,,X,,,,,,,,,,,,X,
2020,695,City of Ansley - (NE),Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,700,City of Anthon - (IA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,701,City of Anthony - (KS),Y,M,Municipal,,X,,,,,,,,,,,,X,
2020,712,Arkansas River Power Authority,,P,Political Subdivision,,,,,,,,,,,X,,,,X
