|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership Type|,|Utility Characteristics..NERC Region|,|Demand.(Megawatts).Summer Peak Demand|,|Demand.(Megawatts).Winter Peak Demand|,|Energy Sources (Megawatthours).(Megawatts).Net Generation|,|Energy Sources (Megawatthours).(Megawatts).Wholesale Power Purchases|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Received|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Delivered|,|Energy Sources (Megawatthours).Power Exchanged.Net Power Exchanged|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Received|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Delivered|,|Energy Sources (Megawatthours).Wheeled Power.Net Wheeled Power|,|Energy Sources (Megawatthours).Wheeled Power.Transmission by Other Losses|,|Energy Sources (Megawatthours).Wheeled Power.Total Sources|,|Disposition.(Megawatthours).Sales to Ultimate Customers|,|Disposition.(Megawatthours).Sales for Resale|,|Disposition.(Megawatthours).Furnished without Charge|,|Disposition.(Megawatthours).Consumed by Respondent without Charge|,|Disposition.(Megawatthours).Total Energy Losses|,|Disposition.(Megawatthours).Total Disposition|,|Electric Revenues.(Thousands Dollars).From Retail Sales|,|Electric Revenues.(Thousands Dollars).From Delivery Customers|,|Electric Revenues.(Thousands Dollars).From Sales for Resale|,|Electric Revenues.(Thousands Dollars).From Credits or Adjustments|,|Electric Revenues.(Thousands Dollars).From Transmission|,|Electric Revenues.(Thousands Dollars).From Other|,|Electric Revenues.(Thousands Dollars).Total|,|.."Data Type O = Observed I = Imputed"|
2020,55,City of Aberdeen - (MS),MS,Municipal,SERC,31.0,30.0,0,"176,293",0,.,0,0,0,0,0,"176,293","161,870",0,0,31,"14,392","176,293","11,973.0",.,0.0,0.0,0.0,280.1,"12,253.1",O
2020,84,A & N Electric Coop,VA,Cooperative,RFC,162.0,147.0,423,"712,367",.,.,0,.,.,0,.,"712,790","674,902",.,.,"1,667","36,221","712,790","72,623.0",.,.,.,.,710.0,"73,333.0",O
2020,108,Adams-Columbia Electric Coop,WI,Cooperative,MRO,146.6,81.2,.,"562,640",.,.,0,.,.,0,.,"562,640","531,662",92,.,"1,012","29,874","562,640","70,708.0",.,7.0,.,.,94.0,"70,809.0",O
2020,113,"Agway Energy Services, LLC",NY,Retail Power Marketer,NPCC,53.0,42.0,.,"249,193",.,.,0,.,.,0,.,"249,193","245,140",.,.,.,"4,053","249,193","18,056.6",.,.,.,.,.,"18,056.6",O
2020,155,Agralite Electric Coop,MN,Cooperative,MRO,43.6,39.7,492,"245,723",.,.,0,.,.,0,.,"246,215","233,020",.,301,.,"12,894","246,215","22,581.0",.,.,.,.,-421.0,"22,160.0",O
2020,162,Aiken Electric Coop Inc,SC,Cooperative,SERC,218.2,223.9,.,"939,239",.,.,0,.,.,0,.,"939,239","900,029",.,.,"1,021","38,189","939,239","109,814.0",.,.,.,.,"1,223.0","111,037.0",O
2020,176,Ajo Improvement Co,AZ,Investor Owned,WECC,3.1,1.7,.,"8,847",.,.,0,.,.,0,.,"8,847","8,847",.,.,.,.,"8,847",812.0,.,.,.,.,.,812.0,O
2020,189,PowerSouth Energy Cooperative,AL,Cooperative,SERC,"1,944.0","2,027.0","5,305,213","3,771,963",0,0,0,0,0,0,0,"9,077,176",0,"8,762,482",0,"7,973","306,721","9,077,176",0.0,0.0,"546,378.9",0.0,468.1,372.1,"547,219.1",O
2020,195,Alabama Power Co,AL,Investor Owned,SERC,"10,730.6","10,353.8","55,238,260","6,417,417",.,.,0,"24,307,494","23,811,991","495,503",.,"62,151,180","50,603,071","8,821,850","1,150","112,010","2,613,099","62,151,180","5,212,950.3",.,"317,729.2","6,444.0","59,610.9","147,535.8","5,744,270.2",O
2020,207,Alameda Municipal Power,CA,Municipal,WECC,57.7,62.0,.,"347,553",.,.,0,.,.,0,.,"347,553","339,583",.,.,.,"7,970","347,553","62,941.2",.,.,.,.,.,"62,941.2",O
2020,213,Alaska Electric Light&Power Co,AK,Investor Owned,AK,52.0,75.0,"128,506","276,902",.,.,0,.,.,0,.,"405,408","384,981",.,.,"4,740","15,687","405,408","44,688.6",.,.,.,.,376.1,"45,064.7",O
2020,219,Alaska Power and Telephone Co,WA,Investor Owned,AK,1.0,1.0,"23,343","48,379",.,.,0,.,.,0,.,"71,722","64,407",.,"1,694",.,"5,621","71,722","17,068.0",.,.,.,.,"2,348.0","19,416.0",O
2020,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,AK,15.1,21.6,"129,374",.,.,.,0,.,.,0,.,"129,374","120,835",.,.,"3,243","5,296","129,374","53,906.3",.,.,.,.,661.0,"54,567.3",O
2020,230,Albany Utility Board,GA,Municipal,SERC,176.2,162.2,.,"884,265",.,.,0,.,.,0,.,"884,265","883,218",.,.,.,"1,047","884,265","94,635.0",.,.,.,.,549.0,"95,184.0",O
2020,232,City of Albemarle - (NC),NC,Municipal,SERC,62.9,55.9,.,"279,487",.,.,0,.,.,0,.,"279,487","261,018",.,93,.,"18,376","279,487","29,687.8",.,.,.,.,120.9,"29,808.7",O
2020,240,Albemarle Electric Member Corp,NC,Cooperative,SERC,58.3,57.5,.,"227,857",.,.,0,.,.,0,.,"227,857","213,955",.,.,577,"13,325","227,857","28,479.0",.,.,.,.,975.0,"29,454.0",O
2020,241,Albertville Municipal Utilities Board,AL,Municipal,SERC,103.0,101.0,0,"616,356",0,.,0,0,0,0,0,"616,356","593,337",0,0,0,"23,019","616,356","45,079.0",.,0.0,0.0,0.0,692.4,"45,771.4",O
2020,261,AGC Division of APG Inc,PA,Investor Owned,RFC,347.5,354.1,"4,191,822","224,094",.,.,0,.,.,0,.,"4,415,916","3,204,302","1,161,480",.,.,"50,134","4,415,916","144,014.1",.,"26,634.7",885.2,.,"1,893.0","173,427.0",O
2020,276,Alcorn County Elec Power Assn,MS,Cooperative,SERC,120.0,95.0,0,"586,452",0,.,0,0,0,0,0,"586,452","561,493",0,0,842,"24,116","586,452","51,515.0",.,0.0,0.0,0.0,"1,414.0","52,929.0",O
2020,295,City of Alexandria - (MN),MN,Municipal,MRO,55.5,46.2,64,"282,352",.,.,0,.,.,0,.,"282,416","273,321",.,.,.,"9,095","282,416","24,853.1",.,.,.,.,"1,837.3","26,690.4",O
2020,296,"Alfalfa Electric Coop, Inc",OK,Cooperative,SPP,81.5,90.5,.,"541,887",.,.,0,"1,842","1,842",0,.,"541,887","524,777",.,.,410,"16,700","541,887","41,473.0",.,.,.,.,223.0,"41,696.0",O
2020,298,City of Alexandria - (LA),LA,Municipal,SERC,161.0,116.0,"86,754","707,782",.,.,0,.,.,0,.,"794,536","645,218","86,754",.,"12,183","50,381","794,536","59,284.0",.,"2,949.0",.,.,.,"62,233.0",O
2020,305,Alger-Delta Coop Electric Assn,MI,Cooperative,MISO,17.9,14.7,.,"90,047",.,.,0,.,.,0,.,"90,047","80,410",.,.,.,"9,637","90,047","15,351.5",.,.,.,.,.,"15,351.5",O
2020,307,Algoma Utility Comm,WI,Municipal,MISO,7.3,6.0,.,"38,250",.,.,.,.,.,.,.,"38,250","36,462",.,.,76,"1,712","38,250","3,831.8",.,.,.,.,29.7,"3,861.5",O
2020,332,Allegheny Electric Coop Inc,PA,Cooperative,RFC,764.0,735.0,"2,084,249","1,721,345","3,062",.,"3,062",.,.,0,.,"3,808,656",.,"3,741,220",.,.,"67,436","3,808,656",.,.,"182,862.0",.,"2,600.0","3,764.0","189,226.0",O
2020,343,AEP Generating Company,OH,Investor Owned,RFC,"1,192.0","1,194.0","2,019,392",.,.,.,0,.,.,0,.,"2,019,392",.,"2,019,392",.,.,.,"2,019,392",.,.,"246,848.0",.,.,435.0,"247,283.0",O
2020,392,Alpena Power Co,MI,Investor Owned,RFC,62.0,49.0,.,"375,110",.,.,0,.,.,0,.,"375,110","360,874",.,.,105,"14,131","375,110","34,706.8",.,.,.,.,283.1,"34,989.9",O
2020,407,Altamaha Electric Member Corp,GA,Cooperative,SERC,93.2,93.4,.,"403,701",.,.,0,.,.,0,.,"403,701","403,701",.,.,.,.,"403,701","51,248.0",.,.,.,.,295.0,"51,543.0",O
2020,471,Amana Society Service Co,IA,Investor Owned,MRO,15.0,14.0,"1,575","86,736",.,.,0,0,0,0,0,"88,311","85,371",.,.,.,"2,940","88,311","7,352.0",0.0,0.0,0.0,0.0,130.0,"7,482.0",O
2020,540,BP Energy Company,TX,Retail Power Marketer,TRE,.,.,.,"968,831",.,.,0,.,.,0,.,"968,831","968,831",.,.,.,.,"968,831","30,069.0",.,.,.,.,.,"30,069.0",O
2020,554,City of Ames - (IA),IA,Municipal,MRO,154.3,112.1,"244,280","503,290",.,.,0,.,.,0,.,"747,570","618,595","102,606",0,426,"25,943","747,570","55,830.8",0.0,"2,346.3",.,"1,324.7","7,566.0","67,067.8",O
2020,562,Amicalola Electric Member Corp,GA,Cooperative,SERC,192.6,217.0,.,"807,278",.,.,0,.,.,0,.,"807,278","750,747",.,.,"1,056","55,475","807,278","86,788.8",.,.,.,.,"3,218.4","90,007.2",O
2020,571,City of Amory,MS,Municipal,SERC,28.0,20.0,0,"124,032",0,.,0,0,0,0,0,"124,032","120,030",0,0,0,"4,002","124,032","12,065.0",.,0.0,0.0,0.0,333.1,"12,398.1",O
2020,577,City of Alcoa Utilities,TN,Municipal,SERC,143.0,141.0,0,"627,259",0,.,0,0,0,0,0,"627,259","597,611",0,0,6,"29,642","627,259","63,584.0",.,0.0,0.0,0.0,"1,795.2","65,379.2",O
2020,590,City of Anaheim - (CA),CA,Municipal,WECC,559.0,372.0,.,"2,678,663",.,.,0,.,.,0,.,"2,678,663","2,085,895","523,592",.,.,"69,176","2,678,663","351,449.0",.,"14,498.0",.,"39,673.0","21,116.0","426,736.0",O
2020,599,Anchorage Municipal Light and Power,AK,Municipal,AK,132.0,153.0,"722,291","111,829",.,.,0,.,.,0,.,"834,120","732,828","101,292",.,.,.,"834,120","121,486.1",.,"1,850.5","1,754.2",.,.,"125,090.8",O
2020,604,City of Andalusia,AL,Municipal,SERC,56.1,50.0,.,"382,183",.,.,0,.,.,0,.,"382,183","377,860",.,.,.,"4,323","382,183","27,881.0",.,.,.,.,.,"27,881.0",O
2020,636,City of Anderson - (IN),IN,Municipal,RFC,174.8,134.5,0,"906,627",0,0,0,0,0,0,0,"906,627","834,696",0,0,"39,563","32,368","906,627","81,987.7",0.0,0.0,0.0,0.0,-70.7,"81,917.0",O
2020,659,American Transmission Co,WI,Transmission,,"12,067.9","8,904.6",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"15,856.7","740,321.9","1,937.7","758,116.3",O
2020,689,Connexus Energy,MN,Cooperative,MRO,453.5,283.5,"17,244","2,043,095",.,.,0,.,.,0,.,"2,060,339","1,991,732",0,0,0,"68,607","2,060,339","245,373.6",.,.,.,.,.,"245,373.6",O
2020,690,City of Bardstown - (KY),KY,Municipal,RFC,41.4,30.9,.,"179,514",.,.,0,.,.,0,.,"179,514","172,317",.,.,.,"7,197","179,514","13,504.0",.,.,.,.,.,"13,504.0",O
2020,691,City of Anoka,MN,Municipal,MRO,63.6,38.5,.,"276,799",.,.,0,.,.,0,.,"276,799","270,004",.,.,.,"6,795","276,799","29,270.0",.,.,.,.,27.0,"29,297.0",O
2020,712,Arkansas River Power Authority,CO,Political Subdivision,WECC,63.7,40.5,"23,523","261,863",.,.,0,.,.,0,.,"285,386",.,"281,063",.,.,"4,323","285,386",.,.,"28,711.4",.,.,.,"28,711.4",O
2020,719,Town of Apex- (NC),NC,Municipal,SERC,109.6,75.3,.,"373,243",.,.,0,.,.,0,.,"373,243","347,491",.,"1,995","10,190","13,567","373,243","34,109.7",.,.,.,.,.,"34,109.7",O
2020,727,Appalachian Electric Coop,TN,Cooperative,SERC,202.0,242.0,0,"970,696",0,.,0,0,0,0,0,"970,696","914,954",0,0,"1,091","54,651","970,696","99,731.0",.,0.0,0.0,0.0,"3,618.4","103,349.4",O
2020,733,Appalachian Power Co,OH,Investor Owned,RFC,"5,503.0","6,521.0","21,625,273","12,114,712",.,.,0,.,.,0,.,"33,739,985","26,094,403","5,600,008",687,.,"2,044,887","33,739,985","2,431,974.0",557.0,"253,242.0","-4,671.0","123,846.0","52,299.0","2,857,247.0",O
2020,750,Arab Electric Coop Inc,AL,Cooperative,SERC,69.0,75.0,0,"319,998",0,.,0,0,0,0,0,"319,998","293,501",0,0,377,"26,120","319,998","31,773.0",.,0.0,0.0,0.0,"1,055.7","32,828.7",O
2020,796,Arizona Electric Pwr Coop Inc,AZ,Cooperative,WECC,781.5,394.3,"2,211,730","1,595,620","38,328","86,564","-48,236","347,392","337,372","10,020",.,"3,769,134","200,797","3,451,303",.,.,"117,034","3,769,134","5,524.0",.,"143,794.0",.,"22,173.0","6,930.0","178,421.0",O
2020,798,Arizona Power Authority,AZ,State,WECC,401.0,337.4,.,"1,266,632",.,.,0,.,.,0,.,"1,266,632",.,"1,266,632",.,.,.,"1,266,632",.,.,"39,790.5",.,.,.,"39,790.5",O
2020,803,Arizona Public Service Co,AZ,Investor Owned,WECC,"7,659.0","4,368.0","26,677,771","7,598,416","624,782","672,650","-47,868","50,011,337","50,011,337",0,.,"34,228,319","29,344,407","3,088,308",.,"65,576","1,730,028","34,228,319","3,439,273.7",.,"102,794.0","7,758.9","66,157.4",.,"3,615,984.0",O
2020,807,Arkansas Electric Coop Corp,AR,Cooperative,SPP,"2,802.0","2,492.0","7,026,114","8,519,776","5,537","7,725","-2,188",.,.,0,.,"15,543,702",.,"15,418,476",.,.,"125,226","15,543,702",.,.,"721,461.6",.,"18,534.6","2,547.4","742,543.6",O
2020,814,Entergy Arkansas LLC,AR,Investor Owned,SERC,"4,582.0","3,410.0","24,434,101","3,638,001",.,.,0,.,.,0,.,"28,072,102","20,748,189","5,856,219",.,"58,781","1,408,913","28,072,102","1,781,021.2",.,"173,115.3",-631.9,"99,512.4","25,268.4","2,078,285.4",O
2020,817,Arkansas Valley Elec Coop Corp,AR,Cooperative,SERC,308.5,255.4,.,"1,228,859",.,.,0,.,.,0,.,"1,228,859","1,163,998",.,.,359,"64,502","1,228,859","111,546.5",.,.,.,.,"4,241.4","115,787.9",O
2020,924,"Associated Electric Coop, Inc",MO,Transmission,SERC,"4,006.0","4,369.0","23,325,319","5,560,913",.,.,0,.,.,0,.,"28,886,232",.,"27,762,367",.,"4,281","1,119,584","28,886,232",.,.,"1,111,032.4","34,535.2",.,.,"1,145,567.6",O
2020,944,City of Athens - (AL),AL,Municipal,SERC,278.0,292.0,0,"1,275,038",0,.,0,0,0,0,0,"1,275,038","1,211,084",0,0,0,"63,954","1,275,038","114,938.0",.,0.0,0.0,0.0,"2,447.7","117,385.7",O
2020,947,Athens Utility Board,TN,Municipal,SERC,116.0,110.0,0,"649,065",0,.,0,0,0,0,0,"649,065","628,755",0,0,"1,111","19,199","649,065","47,349.0",.,0.0,0.0,0.0,767.7,"48,116.7",O
2020,963,Atlantic City Electric Co,NJ,Investor Owned,RFC,"2,489.0","1,300.0",.,"6,187,246",.,.,0,.,.,0,.,"6,187,246","4,804,403","902,941",.,"9,647","470,255","6,187,246","827,156.0","224,504.1","45,651.4","9,632.9","132,438.2","6,129.0","1,245,511.6",O
2020,970,Homefield Energy,TX,Retail Power Marketer,RFC,.,.,.,"7,516,202",.,.,0,.,.,0,.,"7,516,202","7,516,202",.,.,.,.,"7,516,202","385,150.8",.,.,.,.,.,"385,150.8",O
2020,994,City of Auburn - (IN),IN,Municipal,RFC,78.2,67.0,.,"411,495",.,.,0,.,.,0,.,"411,495","400,677",.,"1,300",.,"9,518","411,495","38,401.4",.,.,.,.,"1,214.0","39,615.4",O
2020,1009,City of Austin - (MN),MN,Municipal,MRO,69.5,47.4,.,"344,261",.,.,0,.,.,0,.,"344,261","336,408",.,.,.,"7,853","344,261","35,315.0",.,.,.,.,340.0,"35,655.0",O
2020,1015,Austin Energy,TX,Municipal,TRE,"2,810.0","2,031.0","8,625,175","6,120,068","933,981","1,319,205","-385,224",.,.,0,.,"14,360,019","13,087,868","786,275",.,.,"485,876","14,360,019","1,178,922.3",.,"32,105.9",.,"84,269.5",.,"1,295,297.7",O
2020,1050,City of Azusa,CA,Municipal,WECC,65.4,36.7,.,"324,717",.,.,0,.,.,0,"-8,231","316,486","242,612","62,777",.,.,"11,097","316,486","35,474.0",.,"2,735.0",.,.,"1,766.0","39,975.0",O
2020,1149,Baldwin County El Member Corp,AL,Cooperative,SERC,331.3,319.0,.,"1,482,838",.,.,0,.,.,0,.,"1,482,838","1,441,005",.,.,.,"41,833","1,482,838","157,176.0",.,.,.,.,.,"157,176.0",O
2020,1167,Baltimore Gas & Electric Co,MD,Investor Owned,RFC,"6,700.0","5,182.0",.,"14,524,048",.,.,0,.,.,0,.,"14,524,048","12,382,526",.,.,"18,326","2,123,196","14,524,048","1,486,227.6","532,477.9",.,.,"253,755.0","60,173.6","2,332,634.1",O
2020,1169,Bailey County Elec Coop Assn,TX,Cooperative,SPP,89.3,45.2,.,"398,882",.,.,0,.,.,0,.,"398,882","366,121",.,77,.,"32,684","398,882","32,429.3",.,.,.,.,168.5,"32,597.8",O
2020,1175,"Bandera Electric Coop, Inc",TX,Cooperative,TRE,172.9,173.0,.,"702,286",.,.,0,.,.,0,.,"702,286","645,256",.,.,962,"56,068","702,286","68,210.4",.,.,.,.,.,"68,210.4",O
2020,1179,Versant Power,ME,Investor Owned,NPCC,374.0,388.0,.,"1,498,496",.,.,0,"2,076,211","2,072,481","3,730","-3,730","1,498,496","1,254,824","237,056",.,"6,616",0,"1,498,496","193,350.4","40,420.9","4,007.3",838.3,"3,893.9","8,734.3","251,245.1",O
2020,1196,Village of Baraga - (MI),MI,Municipal,MISO,3.6,3.5,.,"19,329",.,.,.,.,.,.,.,"19,329","17,567",.,.,.,"1,762","19,329","2,286.7",.,.,.,.,.,"2,286.7",O
2020,1251,Barron Electric Coop,WI,Cooperative,MRO,65.5,54.7,133,"347,761",.,.,0,.,.,0,.,"347,894","325,103",.,.,707,"22,084","347,894","37,102.0",.,.,.,.,100.0,"37,202.0",O
2020,1273,"Bartlett Electric Coop, Inc",TX,Cooperative,TRE,56.2,59.1,.,"220,113",.,.,0,.,.,0,.,"220,113","208,568",.,.,.,"11,545","220,113","23,309.7",0.0,0.0,0.0,0.0,340.9,"23,650.6",O
