|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|IEEE Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.All Events (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.All Events (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard.Without Major Event Days.SAIDI (minutes per year)|,|IEEE Standard.Without Major Event Days.SAIFI (times per year)|,|IEEE Standard.Without Major Event Days.CAIDI (minutes per interruption)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard...Number of Customers|,|IEEE Standard...Highest Dist. Voltage|,|IEEE Standard...Outages Recorded Automatically|,|Other Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|Other Standard.All Events (With Major Event Days).SAIFI (times per year)|,|Other Standard.All Events (With Major Event Days).CAIDI With MED|,|Other Standard.Without Major Event Days.SAIDI (minutes per year)|,|Other Standard.Without Major Event Days.SAIFI (times per year)|,|Other Standard.Without Major Event Days.CAIDI Without MED|,|Other Standard...Number of Customers|,|Other Standard...Inactive Accounts Included|,|Other Standard...Momentary Interruptions|,|Other Standard...Highest Dist. Voltage|,|..Outages Recorded Automatically|
2020,84,A & N Electric Coop,MD,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,1.400,0.003,466.667,0.150,0.001,150.000,313,Y,O,12.5,Y
2020,84,A & N Electric Coop,VA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,329.540,1.210,272.347,67.170,1.130,59.442,"36,141",Y,O,24.9,Y
2020,108,Adams-Columbia Electric Coop,WI,Cooperative,156.100,0.710,219.859,156.100,0.710,219.859,156.100,0.710,219.859,"38,019",12.0,Y,.,.,.,.,.,.,.,,,.,
2020,155,Agralite Electric Coop,MN,Cooperative,155.506,1.682,92.453,123.155,1.503,81.939,137.441,1.243,110.572,"5,412",12.4,Y,.,.,.,.,.,.,.,,,.,
2020,162,Aiken Electric Coop Inc,SC,Cooperative,203.710,.,.,107.610,.,.,196.930,.,.,"48,912",25.0,Y,.,.,.,.,.,.,.,,,.,
2020,195,Alabama Power Co,AL,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,"1,434.400",2.188,655.576,120.400,1.030,116.893,"1,484,464",N,F,34.5,Y
2020,207,Alameda Municipal Power,CA,Municipal,57.606,0.883,65.239,57.606,0.883,65.239,0.000,0.000,.,"34,965",12.0,Y,.,.,.,.,.,.,.,,,.,
2020,213,Alaska Electric Light&Power Co,AK,Investor Owned,574.000,8.260,69.492,395.000,7.260,54.408,63.000,1.240,50.806,"17,210",12.5,N,.,.,.,.,.,.,.,,,.,
2020,219,Alaska Power and Telephone Co,AK,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,367.200,7.080,51.864,.,.,.,"8,174",N,L,12.5,Y
2020,232,City of Albemarle - (NC),NC,Municipal,264.470,0.820,322.524,51.130,0.420,121.738,.,.,.,"11,821",14.4,N,.,.,.,.,.,.,.,,,.,
2020,240,Albemarle Electric Member Corp,NC,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,282.800,1.784,158.520,103.500,1.248,82.933,"12,980",N,F,12.5,Y
2020,241,Albertville Municipal Utilities Board,AL,Municipal,18.929,0.417,45.393,18.929,0.417,45.393,18.929,0.417,45.393,"10,054",13.0,N,.,.,.,.,.,.,.,,,.,
