,Data Year,Utility Number,Utility Name,Ownership,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential.1,Commercial.1,Industrial.1,Transportation.1,Total.1,Residential.2,Commercial.2,Industrial.2,Transportation.2,Total.2,Residential.3,Commercial.3,Industrial.3,Transportation.3,Total.3,Residential.4,Commercial.4,Industrial.4,Transportation.4,Total.4,Residential.5,Commercial.5,Industrial.5,Transportation.5,Total.5,Residential.6,Commercial.6,Industrial.6,Transportation.6,Total.6,Residential.7,Commercial.7,Industrial.7,Transportation.7,Total.7
0,2020,97.0,Adams Electric Coop,Cooperative,Y,IL,MISO,.,.,.,.,.,"11,740",225,.,.,"11,965",.,.,.,.,.,.,.,.,.,.,"11,740",225,0,0.0,"11,965","115,367","55,865",.,.,"171,232",.,.,.,.,.,.,.,.,.,.
1,2020,229.0,City of Albany - (IL),Municipal,Y,IL,MISO,440,20,.,.,460,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,440,20,0,0.0,460,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,2020,406.0,City of Altamont - (IL),Municipal,Y,IL,MISO,"1,333",173,.,.,"1,506",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,333",173,0,0.0,"1,506",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3,2020,1325.0,City of Batavia - (IL),Municipal,,IL,PJM,"6,024",300,2,.,"6,326",.,.,.,.,.,.,.,.,.,.,"3,620","1,118",37,.,"4,775","9,644","1,418",39,0.0,"11,101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
4,2020,2188.0,City of Breese - (IL),Municipal,Y,IL,MISO,"2,132",298,.,.,"2,430",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,132",298,0,0.0,"2,430",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,2020,2776.0,Cairo Public Utility Company,Municipal,Y,IL,MISO,0,0,1,.,1,0,0,0,.,0,.,.,.,.,.,.,.,.,.,.,0,0,1,0.0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
6,2020,3037.0,City of Carlyle - (IL),Municipal,Y,IL,MISO,"1,723",298,6,.,"2,027",.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,"1,723",298,6,0.0,"2,027",.,.,.,.,0,.,.,.,.,.,.,.,.,.,.
7,2020,3153.0,City of Casey - (IL),Municipal,Y,IL,MISO,"1,574",302,.,.,"1,876",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,574",302,0,0.0,"1,876",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8,2020,3405.0,Village of Chatham - (IL),Municipal,Y,IL,MISO,"6,418",276,7,.,"6,701",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,418",276,7,0.0,"6,701",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
9,2020,3726.0,Clay Electric Coop Inc,Cooperative,Y,IL,MISO,"2,057",270,.,.,"2,327",900,40,.,.,940,.,.,.,.,.,.,.,.,.,.,"2,957",310,0,0.0,"3,267","10,959","1,622",.,.,"12,581",.,.,.,.,.,.,.,.,.,.
10,2020,3806.0,"Clinton County Elec Coop, Inc",Cooperative,Y,IL,MISO,0,0,0,.,0,"5,184",911,0,.,"6,095",.,.,.,.,.,.,.,.,.,.,"5,184",911,0,0.0,"6,095","75,512","63,569",0,.,"139,081",.,.,.,.,.,.,.,.,.,.
11,2020,3931.0,Coles-Moultrie Electric Coop,Cooperative,,IL,MISO,.,.,.,.,0,"12,734","1,130",9,.,"13,873",.,.,.,.,.,26,2,1,.,29,"12,760","1,132",10,0.0,"13,902","117,724","48,914","30,676",.,"197,314",.,.,.,.,.,.,.,.,.,.
12,2020,4110.0,Commonwealth Edison Co,Investor Owned,,IL,PJM,0,1,7,0,8,"3,705,037","458,116","14,594",155,"4,177,902","3,705,037","458,116","14,594",155,"4,177,902","5,514",674,377,2,"6,567","3,710,551","458,791","14,978",157.0,"4,184,477","27,995,541","28,880,327","25,176,860","427,400","82,480,128",.,.,.,.,.,"393,766",0,0,0,"393,766"
13,2020,4362.0,Corn Belt Energy Corporation,Cooperative,,IL,MISO,"34,072","2,320",3,.,"36,395",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"34,072","2,320",3,0.0,"36,395",.,.,.,.,.,"34,072","2,320",3,.,"36,395","1,894",.,.,.,"1,894"
14,2020,5531.0,Enerstar Power Corp,Cooperative,Y,IL,MISO,"5,160",88,0,.,"5,248",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,160",88,0,0.0,"5,248",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15,2020,5535.0,Egyptian Electric Coop Assn,Cooperative,,IL,MISO,"13,644","1,663",.,.,"15,307",.,.,.,.,.,.,.,.,.,.,.,57,.,.,57,"13,644","1,720",0,0.0,"15,364",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
16,2020,5585.0,Eastern Illinois Elec Coop,Cooperative,,IL,MISO,"11,192","2,313",15,.,"13,520",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"11,192","2,313",15,0.0,"13,520",.,.,.,.,.,"11,192","2,313",15,.,"13,520",.,.,.,.,.
17,2020,6192.0,City of Farmer City - (IL),Municipal,Y,IL,MISO,"1,114",58,11,.,"1,183",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,114",58,11,0.0,"1,183",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18,2020,6764.0,Village of Freeburg - (IL),Municipal,Y,IL,MISO,"2,025",194,29,.,"2,248",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,025",194,29,0.0,"2,248",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
19,2020,7095.0,City of Geneseo - (IL),Municipal,Y,IL,MISO,"3,123",542,9,.,"3,674",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,123",542,9,0.0,"3,674",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20,2020,7096.0,City of Geneva- (IL),Municipal,,IL,PJM,"7,562",948,4,.,"8,514",.,.,.,.,.,.,.,.,.,.,"1,401",626,57,.,"2,084","8,963","1,574",61,0.0,"10,598",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
21,2020,8573.0,City of Highland,Municipal,Y,IL,MISO,"2,126",538,136,.,"2,800","3,940",130,9,.,"4,079",.,.,.,.,.,.,.,.,.,.,"6,066",668,145,0.0,"6,879","42,898",510,37,.,"43,445",.,.,.,.,.,.,.,.,.,.
22,2020,8824.0,M J M Electric Cooperative Inc,Cooperative,Y,IL,MISO,.,.,.,.,.,"9,128",200,.,.,"9,328",.,.,.,.,.,.,.,.,.,.,"9,128",200,0,0.0,"9,328","111,320","18,094",.,.,"129,414",.,.,.,.,.,.,.,.,.,.
23,2020,9209.0,Illinois Rural Electric Coop,Cooperative,Y,IL,MISO,.,.,.,.,0,"9,833",289,.,.,"10,122",.,.,.,.,.,.,.,.,.,.,"9,833",289,0,0.0,"10,122","123,666","59,230",.,.,"182,896",.,.,.,.,.,.,.,.,.,.
24,2020,9750.0,"Jo-Carroll Energy, Inc",Cooperative,,IL,MISO,.,.,.,.,0,"17,514","2,944",62,0,"20,520",.,.,.,.,.,3,.,5,.,8,"17,517","2,944",67,0.0,"20,528","155,495","92,932","28,788",0,"277,215",.,.,.,.,.,"1,853",.,.,.,"1,853"
25,2020,11736.0,City of Marshall - (IL),Municipal,Y,IL,MISO,"2,086",271,0,.,"2,357",399,0,0,.,399,.,.,.,.,.,.,.,.,.,.,"2,485",271,0,0.0,"2,756","3,730",.,.,.,"3,730",.,.,.,.,.,.,.,.,.,.
26,2020,11790.0,City of Mascoutah - (IL),Municipal,Y,IL,MISO,"4,213",354,4,.,"4,571",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,213",354,4,0.0,"4,571",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
27,2020,12070.0,McDonough Power Coop,Cooperative,Y,IL,MISO,"4,611",456,.,.,"5,067",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,611",456,0,0.0,"5,067",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
28,2020,12341.0,MidAmerican Energy Co,Investor Owned,,IL,MISO,"73,934","11,125",12,.,"85,071",.,.,.,.,.,.,.,.,.,.,1,216,65,.,282,"73,935","11,341",77,0.0,"85,353",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
29,2020,12388.0,City of Metropolis - (IL),Municipal,Y,IL,MISO,"3,164",465,1,.,"3,630",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,164",465,1,0.0,"3,630",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
30,2020,12395.0,Menard Electric Coop,Cooperative,,IL,MISO,.,.,1,.,1,"9,104",581,"1,254",.,"10,939",.,.,.,.,.,.,.,.,.,.,"9,104",581,"1,255",0.0,"10,940","115,683","27,444","27,782",.,"170,909","2,532",50,31,.,"2,613",966,8,"1,254",.,"2,228"
31,2020,12803.0,"Monroe County Elec Coop, Inc",Cooperative,Y,IL,MISO,.,.,.,.,.,"7,266",159,34,.,"7,459",.,.,.,.,.,.,.,.,.,.,"7,266",159,34,0.0,"7,459","100,846","13,933",171,.,"114,950",.,.,.,.,.,.,.,.,.,.
32,2020,13032.0,Mt Carmel Public Utility Co,Investor Owned,,IL,MISO,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,"4,684",838,97,0,"5,619","4,684",838,97,0.0,"5,619",.,.,.,.,0,.,.,.,.,0,.,.,.,.,0
