,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Residential|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Commercial|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Industrial|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Transportation|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Total|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Residential|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Commercial|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Industrial|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Transportation|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Total|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Residential|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Commercial|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Industrial|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Transportation|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Total|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Residential|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Commercial|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Industrial|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Transportation|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Total|,|Program Costs.Customer Incentives (Thousand Dollars).Residential|,|Program Costs.Customer Incentives (Thousand Dollars).Commercial|,|Program Costs.Customer Incentives (Thousand Dollars).Industrial|,|Program Costs.Customer Incentives (Thousand Dollars).Transportation|,|Program Costs.Customer Incentives (Thousand Dollars).Total|,|Program Costs.All Other Costs (Thousand Dollars).Residential|,|Program Costs.All Other Costs (Thousand Dollars).Commercial|,|Program Costs.All Other Costs (Thousand Dollars).Industrial|,|Program Costs.All Other Costs (Thousand Dollars).Transportation|,|Program Costs.All Other Costs (Thousand Dollars).Total|,|DSM Program.Grid Connected.Water Heater|
0,2020,3931,Coles-Moultrie Electric Coop,IL,MISO,"4,411",151,6,.,"4,568",.,.,.,.,.,3.0,8.0,3.0,.,14.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2020,4110,Commonwealth Edison Co,IL,PJM,"393,766","1,457","1,259",.,"396,482",963,.,.,.,963,141.0,248.0,608.0,.,997.0,141.0,.,.,.,141.0,"8,979",.,.,.,"8,979","4,977",20,18,.,"5,015",0
2,2020,4362,Corn Belt Energy Corporation,IL,MISO,.,53,.,.,53,.,.,.,.,.,.,3.0,.,.,3.0,.,3.0,.,.,3.0,.,830,.,.,830,.,.,.,.,.,.
3,2020,9286,Illinois Municipal Elec Agency,IL,MISO,.,1,.,.,1,.,0,.,.,0,.,0.5,.,.,0.5,.,0.0,.,.,0.0,.,12,.,.,12,.,0,.,.,0,.
4,2020,9750,"Jo-Carroll Energy, Inc",IL,MISO,"1,853",.,.,.,"1,853",.,.,.,.,.,1.6,.,.,.,1.6,1.4,.,.,.,1.4,.,.,.,.,.,46,.,.,.,46,0
5,2020,12341,MidAmerican Energy Co,IL,MISO,"3,250",2,3,.,"3,255",0,9,49,.,57,0.0,4.2,23.7,.,27.9,0.0,4.2,23.7,.,27.9,65,104,592,.,761,71,10,54,.,135,.
6,2020,12395,Menard Electric Coop,IL,MISO,974,19,"1,257",.,"2,250",20,0,302,.,322,2.0,10.8,49.6,.,62.4,0.2,0.0,15.5,.,15.8,49,1,.,.,49,.,.,259,.,259,.
7,2020,13208,City of Naperville - (IL),IL,PJM,.,1,.,.,1,.,4,.,.,4,.,0.5,.,.,0.5,.,0.5,.,.,0.5,.,23,.,.,23,.,.,.,.,.,.
8,2020,17040,"Shelby Electric Coop, Inc",IL,MISO,"1,110",43,.,.,"1,153",.,.,.,.,.,6.3,7.2,.,.,13.5,2.7,3.0,.,.,5.7,.,.,.,.,.,4,1,.,.,5,.
9,2020,17860,City of St Charles - (IL),IL,PJM,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10,2020,40211,"Wabash Valley Power Assn, Inc",IL,MISO,"4,496",3,.,.,"4,499",.,.,.,.,.,9.2,0.1,.,.,9.3,8.3,0.1,.,.,8.4,502,.,.,.,502,.,.,.,.,.,.
