,Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
0,2020,1325,City of Batavia - (IL),IL,22,.
1,2020,3931,Coles-Moultrie Electric Coop,IL,50,0
2,2020,4110,Commonwealth Edison Co,IL,"5,629",373
3,2020,4362,Corn Belt Energy Corporation,IL,144,81
4,2020,5535,Egyptian Electric Coop Assn,IL,68,64
5,2020,5585,Eastern Illinois Elec Coop,IL,76,76
6,2020,7096,City of Geneva- (IL),IL,33,0
7,2020,9750,"Jo-Carroll Energy, Inc",IL,90,2
8,2020,12341,MidAmerican Energy Co,IL,111,0
9,2020,12395,Menard Electric Coop,IL,59,36
10,2020,13032,Mt Carmel Public Utility Co,IL,15,6
11,2020,13208,City of Naperville - (IL),IL,117,117
12,2020,13292,Norris Electric Coop,IL,110,.
13,2020,14840,City of Peru - (IL),IL,20,13
14,2020,16179,Rochelle Municipal Utilities,IL,21,6
15,2020,16196,Rock Energy Cooperative,IL,23,19
16,2020,16740,Scenic Rivers Energy Coop,IL,4,.
17,2020,17040,"Shelby Electric Coop, Inc",IL,62,0
18,2020,17585,"Southeastern IL Elec Coop, Inc",IL,131,1
19,2020,17697,Southwestern Electric Coop Inc - (IL),IL,87,0
20,2020,17828,City of Springfield - (IL),IL,117,117
21,2020,17860,City of St Charles - (IL),IL,51,0
22,2020,18955,"Tri-County Electric Coop, Inc (IL)",IL,86,86
23,2020,20222,Wayne-White Counties Elec Coop,IL,67,0
24,2020,56697,Ameren Illinois Company,IL,"2,806",144
