,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Number of.Customers Enrolled.Residential|,|Number of.Customers Enrolled.Commercial|,|Number of.Customers Enrolled.Industrial|,|Number of.Customers Enrolled.Transportation|,|Number of.Customers Enrolled.Total|,|Types of Program.Time of Use Pricing.Residential|,|Types of Program.Time of Use Pricing.Commercial|,|Types of Program.Time of Use Pricing.Industrial|,|Types of Program.Time of Use Pricing.Transportation|,|Types of Program.Real Time Pricing.Residential|,|Types of Program.Real Time Pricing.Commercial|,|Types of Program.Real Time Pricing.Industrial|,|Types of Program.Real Time Pricing.Transportation|,|Types of Program.Variable Peak Pricing.Residential|,|Types of Program.Variable Peak Pricing.Commercial|,|Types of Program.Variable Peak Pricing.Industrial|,|Types of Program.Variable Peak Pricing.Transportation|,|Types of Program.Critical Peak Pricing.Residential|,|Types of Program.Critical Peak Pricing.Commercial|,|Types of Program.Critical Peak Pricing.Industrial|,|Types of Program.Critical Peak Pricing.Transportation|,|Types of Program.Critical Peak Rebate.Residential|,|Types of Program.Critical Peak Rebate.Commercial|,|Types of Program.Critical Peak Rebate.Industrial|,|Types of Program.Critical Peak Rebate.Transportation|
0,97,Adams Electric Coop,Y,IL,MISO,52,8,.,.,60,,,,,,,,,,,,,,,,,,,,
1,970,Homefield Energy,,IL,MISO,.,10,5,.,15,,Y,Y,,,,,,,,,,,,,,,,,
2,4110,Commonwealth Edison Co,,IL,PJM,"326,396","9,296",156,.,"335,848",Y,,,,Y,Y,Y,,,,,,,,,,Y,,,
3,4362,Corn Belt Energy Corporation,,IL,MISO,45,.,.,.,45,Y,,,,,,,,,,,,,,,,,,,
4,5535,Egyptian Electric Coop Assn,,IL,MISO,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
5,5585,Eastern Illinois Elec Coop,,IL,MISO,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
6,7096,City of Geneva- (IL),,IL,PJM,.,.,5,.,5,,,Y,,,,,,,,,,,,,,,,,
7,7279,"NextEra Energy Services, LLC",,IL,MISO,.,1,.,.,1,,,,,,Y,,,,,,,,,,,,,,
8,9209,Illinois Rural Electric Coop,Y,IL,PJM,.,.,.,.,0,,,,,,,,,,,,,,,,,,,,
9,9750,"Jo-Carroll Energy, Inc",,IL,MISO,.,.,13,.,13,,,Y,,,,,,,,,,,,,,,,,
10,12341,MidAmerican Energy Co,,IL,MISO,9,164,47,.,220,Y,Y,Y,,,,,,,,,,,,,,,,,
11,12395,Menard Electric Coop,,IL,MISO,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
12,13374,"Constellation NewEnergy, Inc",,IL,PJM,28,"9,558",432,.,"10,018",,Y,Y,,Y,Y,Y,,,,,,,,,,,,,
13,14840,City of Peru - (IL),,IL,MISO,.,1,.,.,1,,Y,,,,,,,,,,,,,,,,,,
14,16179,Rochelle Municipal Utilities,,IL,PJM,.,.,34,.,34,,,Y,,,,,,,,,,,,,,,,,
15,17828,City of Springfield - (IL),,IL,MISO,5,.,.,.,5,Y,,,,,,,,,,,,,,,,,,,
16,17860,City of St Charles - (IL),,IL,PJM,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
17,20222,Wayne-White Counties Elec Coop,,IL,MISO,5,.,.,.,5,Y,,,,,,,,,,,,,,,,,,,
18,50046,"Texas Retail Energy, LLC",,IL,MISO,0,77,0,0,77,,,,,,Y,,,,,,,,,,,,,,
19,50046,"Texas Retail Energy, LLC",,IL,PJM,0,110,0,0,110,,,,,,Y,,,,,,,,,,,,,,
20,56379,"MC Squared Energy Services, LLC",,IL,PJM,0,"1,013",23,.,"1,036",,Y,Y,Y,,,,,,,,,,,,,,,,
21,56697,Ameren Illinois Company,,IL,MISO,"137,906","1,575",57,0,"139,538",,,,,Y,Y,Y,,,,,,,,,,Y,,,
22,59385,"Dynegy Energy Services, LLC",,IL,PJM,.,16,.,.,16,,Y,,,,,,,,,,,,,,,,,,
23,59619,"EDF Energy Services, LLC",,IL,PJM,.,13,7,.,20,,,,,,Y,Y,,,,,,,,,,,,,
24,59808,MP2 Energy LLC,,IL,PJM,0,"1,688",99,0,"1,787",,,,,,Y,Y,,,,,,,,,,,,,
25,59931,"MidAmerican Energy Services, LLC",,IL,MISO,0,484,25,0,509,,,,,,Y,Y,,,,,,,,,,,,,
26,59931,"MidAmerican Energy Services, LLC",,IL,PJM,0,192,9,0,201,,,,,,Y,Y,,,,,,,,,,,,,
27,61131,Freepoint Energy Solutions LLC,,IL,PJM,.,26,.,.,26,,,,,,Y,,,,,,,,,,,,,,
28,63489,"Tenaska Power Management, LLC",,IL,MISO,.,2,.,.,2,,,,,,Y,,,,,,,,,,,,,,
