,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|IEEE Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.All Events (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.All Events (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard.Without Major Event Days.SAIDI (minutes per year)|,|IEEE Standard.Without Major Event Days.SAIFI (times per year)|,|IEEE Standard.Without Major Event Days.CAIDI (minutes per interruption)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard...Number of Customers|,|IEEE Standard...Highest Dist. Voltage|,|IEEE Standard...Outages Recorded Automatically|,|Other Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|Other Standard.All Events (With Major Event Days).SAIFI (times per year)|,|Other Standard.All Events (With Major Event Days).CAIDI With MED|,|Other Standard.Without Major Event Days.SAIDI (minutes per year)|,|Other Standard.Without Major Event Days.SAIFI (times per year)|,|Other Standard.Without Major Event Days.CAIDI Without MED|,|Other Standard...Number of Customers|,|Other Standard...Inactive Accounts Included|,|Other Standard...Momentary Interruptions|,|Other Standard...Highest Dist. Voltage|,|..Outages Recorded Automatically|
0,2020,4110.0,Commonwealth Edison Co,IL,Investor Owned,341.100,0.830,410.964,39.950,0.550,72.636,333.650,0.810,411.914,"4,153,856",34.0,Y,.,.,.,.,.,.,.,,,.,
1,2020,4362.0,Corn Belt Energy Corporation,IL,Cooperative,314.900,4.460,70.605,166.900,3.970,42.040,247.800,4.360,56.835,"36,418",69.0,Y,.,.,.,.,.,.,.,,,.,
2,2020,5585.0,Eastern Illinois Elec Coop,IL,Cooperative,148.900,1.470,101.293,108.900,1.210,90.000,129.900,1.180,110.085,"13,488",7.2,Y,.,.,.,.,.,.,.,,,.,
3,2020,7096.0,City of Geneva- (IL),IL,Municipal,83.285,0.716,116.320,83.285,0.716,116.320,.,.,.,"10,153",.,N,.,.,.,.,.,.,.,,,.,
4,2020,9750.0,"Jo-Carroll Energy, Inc",IL,Cooperative,86.450,0.690,125.290,49.220,0.500,98.440,37.260,0.190,196.105,"19,651",34.5,Y,.,.,.,.,.,.,.,,,.,
5,2020,12341.0,MidAmerican Energy Co,IL,Investor Owned,"2,267.000",2.600,871.923,129.000,1.240,104.032,"2,262.000",2.520,897.619,"85,375",13.8,Y,.,.,.,.,.,.,.,,,.,
6,2020,12395.0,Menard Electric Coop,IL,Cooperative,151.880,1.722,88.200,125.180,1.606,77.945,121.691,1.453,83.752,"11,140",12.5,Y,.,.,.,.,.,.,.,,,.,
7,2020,13032.0,Mt Carmel Public Utility Co,IL,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,103.670,1.140,90.939,103.670,1.140,90.939,"5,304",N,L,7.2,Y
8,2020,13208.0,City of Naperville - (IL),IL,Municipal,13.930,0.220,63.318,.,.,.,.,.,.,"61,072",12.4,Y,.,.,.,.,.,.,.,,,.,
9,2020,16179.0,Rochelle Municipal Utilities,IL,Municipal,93.067,0.725,128.368,.,.,.,.,.,.,"6,899",15.0,N,.,.,.,.,.,.,.,,,.,
10,2020,16196.0,Rock Energy Cooperative,IL,Cooperative,18.619,0.185,100.643,.,.,.,.,.,.,"11,494",12.5,Y,.,.,.,.,.,.,.,,,.,
11,2020,17585.0,"Southeastern IL Elec Coop, Inc",IL,Cooperative,170.335,1.228,138.709,92.159,0.988,93.278,.,.,.,"24,373",12.4,Y,.,.,.,.,.,.,.,,,.,
12,2020,17697.0,Southwestern Electric Coop Inc - (IL),IL,Cooperative,201.460,1.510,133.417,187.970,1.470,127.871,134.070,1.220,109.893,"23,618",13.0,Y,.,.,.,.,.,.,.,,,.,
13,2020,17828.0,City of Springfield - (IL),IL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,53.950,0.814,66.278,.,.,.,"70,648",N,L,12.5,Y
14,2020,17860.0,City of St Charles - (IL),IL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,30.160,0.793,38.033,30.160,0.793,38.033,"16,048",Y,L,12.4,N
15,2020,18955.0,"Tri-County Electric Coop, Inc (IL)",IL,Cooperative,160.500,1.140,140.789,83.100,0.850,97.765,112.300,0.780,143.974,"16,501",12.5,Y,.,.,.,.,.,.,.,,,.,
16,2020,56697.0,Ameren Illinois Company,IL,Investor Owned,223.600,1.040,215.000,101.300,0.820,123.537,220.900,1.000,220.900,"1,249,150",69.0,Y,.,.,.,.,.,.,.,,,.,
