,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Part|,|Utility Characteristics..Service Type|,"|Utility Characteristics..""Data Type O = Observed I = Imputed""|",|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|Utility Characteristics.BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
0,2020,970.0,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,PJM,0.0,0,0,0.0,0,0,"1,604.1","19,653",9,0.0,0,0,"1,604.1","19,653",9
1,2020,970.0,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,MISO,"228,621.1","4,215,830","401,790","127,696.9","2,600,537","3,319","25,622.0","658,320",86,"1,606.7","21,862",1,"383,546.7","7,496,549","405,196"
2,2020,1325.0,City of Batavia - (IL),A,Bundled,O,IL,Municipal,PJM,"12,612.0","89,816","9,763","16,139.0","135,608","1,339","16,301.0","181,400",9,.,.,.,"45,052.0","406,824","11,111"
3,2020,1611.0,"Messer Energy Services, Inc.",B,Energy,O,IL,Retail Power Marketer,MISO,0.0,0,0,0.0,0,0,"6,399.0","160,583",3,0.0,0,0,"6,399.0","160,583",3
4,2020,3931.0,Coles-Moultrie Electric Coop,A,Bundled,O,IL,Cooperative,MISO,"17,364.0","117,724","8,446","6,147.0","48,914","1,116","3,198.0","33,025",8,.,.,.,"26,709.0","199,663","9,570"
5,2020,4100.0,"Commerce Energy, Inc.",B,Energy,O,IL,Retail Power Marketer,PJM,"29,981.2","361,667","37,517","3,067.9","41,990","2,434",0.0,0,0,0.0,0,0,"33,049.1","403,657","39,951"
6,2020,4110.0,Commonwealth Edison Co,A,Bundled,O,IL,Investor Owned,PJM,"2,547,676.2","19,250,047","2,637,056","786,494.6","7,841,717","215,127","54,721.4","858,862",174,0.0,0,0,"3,388,892.2","27,950,626","2,852,357"
7,2020,4110.0,Commonwealth Edison Co,C,Delivery,O,IL,Investor Owned,PJM,"543,084.6","8,783,712","1,044,873","651,184.3","21,369,962","176,067","459,610.9","25,020,423","1,780","6,809.7","433,045",2,"1,660,689.5","55,607,142","1,222,722"
8,2020,4362.0,Corn Belt Energy Corporation,A,Bundled,O,IL,Cooperative,MISO,"53,350.0","399,300","34,072","19,245.3","160,831","2,320","4,740.6","68,998",3,.,.,.,"77,335.9","629,129","36,395"
9,2020,5535.0,Egyptian Electric Coop Assn,A,Bundled,O,IL,Cooperative,MISO,"27,457.5","194,458","13,644","12,656.3","117,272","1,743",.,.,.,.,.,.,"40,113.8","311,730","15,387"
