,|Utility Characteristics..Data Year|,|Utility Characteristics..Facility Number|,|Utility Characteristics..Facility Name|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..STATE|,|Utility Characteristics..BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
0,2020,62681.0,CED Champaign Solar LLC,56769.0,Consolidated Edison Development Inc.,IL,MISO,0.0,0,0,0.0,0,0.0,22.0,675,1.0,0.0,0.0,0.0,22.0,675,1
1,2020,63889.0,"ESIL-PFCHICAGO 2, LLC",62915.0,Madison Energy Holdings LLC,IL,MISO,0.0,0,0,2.0,70,1.0,0.0,0,0.0,0.0,0.0,0.0,2.0,70,1
2,2020,63888.0,"ESIL-PFCHICAGO 3, LLC",62915.0,Madison Energy Holdings LLC,IL,MISO,0.0,0,0,17.0,843,1.0,0.0,0,0.0,0.0,0.0,0.0,17.0,843,1
3,2020,63399.0,Galesburg Solar Array,60571.0,"AEP Onsite Partners, LLC",IL,MISO,0.0,0,0,89.0,"2,461",1.0,0.0,0,0.0,0.0,0.0,0.0,89.0,"2,461",1
4,2020,63069.0,Harmony Road Solar,62856.0,"Forefront Power, LLC",IL,PJM,0.0,0,0,12.0,624,1.0,0.0,0,0.0,0.0,0.0,0.0,12.0,624,1
5,2020,61878.0,John A Logan College Solar,63359.0,"REA Investments, LLC",IL,MISO,87.0,"2,453",1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,87.0,"2,453",1
6,2020,64368.0,Mooseheart School - (IL),62856.0,"Forefront Power, LLC",IL,PJM,0.0,0,0,2.0,197,1.0,0.0,0,0.0,0.0,0.0,0.0,2.0,197,1
7,2020,63073.0,Mooseheart School Solar,62856.0,"Forefront Power, LLC",IL,PJM,0.0,0,0,7.0,305,1.0,0.0,0,0.0,0.0,0.0,0.0,7.0,305,1
8,2020,55216.0,Morris Cogeneration LLC,54755.0,Morris Cogeneration LLC,IL,PJM,0.0,0,0,0.0,0,0.0,"7,647.0","446,774",1.0,0.0,0.0,0.0,"7,647.0","446,774",1
9,2020,62735.0,Phoenix Solar South Farms LLC Solar Farm,62656.0,Phoenix Solar South Farms LLC,IL,MISO,0.0,0,0,"1,413.0","7,210",1.0,0.0,0,0.0,0.0,0.0,0.0,"1,413.0","7,210",1
10,2020,63071.0,Reed Road Solar,62856.0,"Forefront Power, LLC",IL,PJM,0.0,0,0,11.0,743,1.0,0.0,0,0.0,0.0,0.0,0.0,11.0,743,1
11,2020,64362.0,"SCS American Bottoms 009885 Sauget, LLC",61677.0,Sol Systems,IL,MISO,0.0,0,0,20.0,685,1.0,0.0,0,0.0,0.0,0.0,0.0,20.0,685,1
12,2020,63070.0,Square Barn Solar,62856.0,"Forefront Power, LLC",IL,PJM,0.0,0,0,11.0,745,1.0,0.0,0,0.0,0.0,0.0,0.0,11.0,745,1
13,2020,54780.0,University of Illinois Abbott Power Plt,19528.0,University of Illinois,IL,MISO,82.0,984,236,"1,186.0","14,551",89.0,0.0,0,0.0,0.0,0.0,0.0,"1,268.0","15,535",325
